Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34713,52.1%,1145,51.9%,1491,50.1%,296,52.6%,31249,52.3%,840,54.8%,211,60.8%,1
Female,31832,47.8%,1061,48.1%,1488,49.9%,267,47.4%,28526,47.7%,692,45.2%,136,39.2%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.0%,0,0.0%,0,0.0%,3
<10 Years,4870,7.3%,73,3.3%,286,9.6%,20,3.6%,4443,7.4%,16,1.0%,0,0.0%,4
10-19 Years,8699,13.1%,223,10.1%,403,13.5%,73,13.0%,7893,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13648,20.5%,546,24.8%,632,21.2%,97,17.2%,12165,20.3%,65,4.2%,6,1.7%,6
30-39 Years,12554,18.9%,383,17.4%,481,16.1%,98,17.4%,11428,19.1%,124,8.1%,7,2.0%,7
40-49 Years,9053,13.6%,303,13.7%,348,11.7%,82,14.6%,8186,13.7%,156,10.2%,16,4.6%,8
50-59 Years,8421,12.6%,276,12.5%,368,12.4%,81,14.4%,7576,12.7%,269,17.6%,24,6.9%,9
60-69 Years,5802,8.7%,233,10.6%,221,7.4%,71,12.6%,5140,8.6%,340,22.2%,67,19.3%,10
70-79 Years,2500,3.8%,108,4.9%,135,4.5%,36,6.4%,2154,3.6%,322,21.0%,107,30.8%,11
80+ Years,1027,1.5%,61,2.8%,105,3.5%,5,0.9%,819,1.4%,225,14.7%,120,34.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3377,5.1%,139,6.3%,224,7.5%,58,10.3%,2920,4.9%,79,5.2%,16,4.6%,14
Non-Hispanic,34884,52.4%,1777,80.6%,2346,78.8%,425,75.5%,29909,50.0%,1138,74.3%,326,93.9%,15
UI Ethnicity,26975,40.5%,0,0.0%,0,0.0%,0,0.0%,26975,45.1%,292,19.1%,3,0.9%,16
Unknown Ethnicity,1338,2.0%,290,13.1%,409,13.7%,80,14.2%,0,0.0%,23,1.5%,2,0.6%,17
White,22027,33.1%,923,41.8%,1169,39.2%,330,58.6%,19330,32.3%,559,36.5%,156,45.0%,18
Black,1608,2.4%,98,4.4%,134,4.5%,22,3.9%,1334,2.2%,55,3.6%,10,2.9%,19
AI/AN,13815,20.8%,750,34.0%,916,30.7%,79,14.0%,11841,19.8%,389,25.4%,119,34.3%,20
Asian,2558,3.8%,95,4.3%,181,6.1%,26,4.6%,2224,3.7%,125,8.2%,33,9.5%,21
NHOPI,1714,2.6%,82,3.7%,161,5.4%,6,1.1%,1456,2.4%,139,9.1%,20,5.8%,22
Multiple,4997,7.5%,91,4.1%,132,4.4%,22,3.9%,4711,7.9%,82,5.4%,7,2.0%,23
Other,7702,11.6%,57,2.6%,77,2.6%,22,3.9%,7403,12.4%,74,4.8%,1,0.3%,24
UI Race,11505,17.3%,0,0.0%,0,0.0%,0,0.0%,11505,19.2%,99,6.5%,0,0.0%,25
Unknown Race,648,1.0%,110,5.0%,209,7.0%,56,9.9%,0,0.0%,10,0.7%,1,0.3%,26
