Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,5931,50.1%,680,52.3%,859,50.6%,178,52.0%,4157,49.5%,198,52.4%,43,63.2%,1,3046,49.4%
Female,5901,49.9%,619,47.7%,839,49.4%,164,48.0%,4233,50.4%,180,47.6%,25,36.8%,2,3124,50.6%
Unknown Sex,5,0.0%,0,0.0%,0,0.0%,0,0.0%,5,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,635,5.4%,27,2.1%,106,6.2%,8,2.3%,491,5.8%,3,0.8%,0,0.0%,4,313,5.1%
10-19 Years,1302,11.0%,111,8.5%,188,11.1%,50,14.6%,938,11.2%,3,0.8%,0,0.0%,5,650,10.5%
20-29 Years,2760,23.3%,371,28.6%,452,26.6%,60,17.5%,1851,22.0%,20,5.3%,1,1.5%,6,1485,24.1%
30-39 Years,2248,19.0%,240,18.5%,308,18.1%,68,19.9%,1611,19.2%,32,8.5%,2,2.9%,7,1198,19.4%
40-49 Years,1607,13.6%,198,15.2%,214,12.6%,54,15.8%,1125,13.4%,52,13.8%,4,5.9%,8,818,13.3%
50-59 Years,1543,13.0%,156,12.0%,221,13.0%,47,13.7%,1114,13.3%,66,17.5%,7,10.3%,9,802,13.0%
60-69 Years,1088,9.2%,132,10.2%,120,7.1%,35,10.2%,792,9.4%,76,20.1%,13,19.1%,10,586,9.5%
70-79 Years,453,3.8%,48,3.7%,58,3.4%,19,5.6%,323,3.8%,77,20.4%,23,33.8%,11,229,3.7%
80+ Years,201,1.7%,16,1.2%,31,1.8%,1,0.3%,150,1.8%,49,13.0%,18,26.5%,12,89,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,815,6.9%,104,8.0%,168,9.9%,37,10.8%,499,5.9%,19,5.0%,1,1.5%,14,590,9.6%
Non-Hispanic,6650,56.2%,986,75.9%,1257,74.0%,260,76.0%,4098,48.8%,287,75.9%,61,89.7%,15,4686,75.9%
UI Ethnicity,3798,32.1%,0,0.0%,0,0.0%,0,0.0%,3798,45.2%,56,14.8%,3,4.4%,16,551,8.9%
Unknown Ethnicity,574,4.8%,209,16.1%,273,16.1%,45,13.2%,0,0.0%,16,4.2%,3,4.4%,17,343,5.6%
White,3882,32.8%,570,43.9%,722,42.5%,210,61.4%,2355,28.1%,95,25.1%,25,36.8%,18,2687,43.5%
Black,468,4.0%,87,6.7%,112,6.6%,19,5.6%,245,2.9%,17,4.5%,3,4.4%,19,285,4.6%
AI/AN,2786,23.5%,314,24.2%,373,22.0%,35,10.2%,2037,24.3%,121,32.0%,24,35.3%,20,1367,22.2%
Asian,559,4.7%,68,5.2%,87,5.1%,18,5.3%,384,4.6%,28,7.4%,7,10.3%,21,397,6.4%
NHOPI,549,4.6%,71,5.5%,122,7.2%,4,1.2%,350,4.2%,55,14.6%,7,10.3%,22,368,6.0%
Multiple,567,4.8%,62,4.8%,73,4.3%,11,3.2%,417,5.0%,15,4.0%,0,0.0%,23,316,5.1%
Other,414,3.5%,33,2.5%,45,2.7%,13,3.8%,322,3.8%,12,3.2%,0,0.0%,24,189,3.1%
UI Race,2285,19.3%,0,0.0%,0,0.0%,0,0.0%,2285,27.2%,27,7.1%,2,2.9%,25,353,5.7%
Unknown Race,327,2.8%,94,7.2%,164,9.7%,32,9.4%,0,0.0%,8,2.1%,0,0.0%,26,208,3.4%
