Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,All Ages,182095,1957766,186116,81691,6687,292214,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,Under 1 year,20,10876,103,3,16,136,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,0-17 years,92,19295,313,17,123,511,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,1-4 years,14,2083,72,2,42,126,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,5-14 years,30,3226,102,8,52,176,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,15-24 years,333,20786,424,119,53,687,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,18-29 years,798,36946,997,332,100,1553,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,25-34 years,1405,42919,1555,626,151,2471,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,30-49 years,8360,128909,7781,3743,565,12885,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,35-44 years,3675,60673,3506,1619,247,5780,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,45-54 years,9694,111610,9089,4510,577,14745,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,50-64 years,29055,322794,30099,13986,1588,46472,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,55-64 years,23134,255771,24339,11191,1238,37300,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,65-74 years,39129,387801,41218,18788,1450,62772,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,75-84 years,48136,473523,50803,22276,1476,77932,
09/16/2020,02/01/2020,09/12/2020,United States,All Sexes,85 years and over,56525,588498,54905,22549,1385,90089,
09/16/2020,02/01/2020,09/12/2020,United States,Male,Under 1 year,13,6006,65,2,8,84,
09/16/2020,02/01/2020,09/12/2020,United States,Male,0-17 years,55,11327,177,11,64,285,
09/16/2020,02/01/2020,09/12/2020,United States,Male,1-4 years,7,1213,36,1,25,67,
09/16/2020,02/01/2020,09/12/2020,United States,Male,5-14 years,21,1911,53,7,23,90,
09/16/2020,02/01/2020,09/12/2020,United States,Male,15-24 years,207,15398,265,74,27,422,
09/16/2020,02/01/2020,09/12/2020,United States,Male,18-29 years,521,27110,615,204,53,978,
09/16/2020,02/01/2020,09/12/2020,United States,Male,25-34 years,934,30289,962,406,76,1557,
09/16/2020,02/01/2020,09/12/2020,United States,Male,30-49 years,5735,84586,4928,2577,304,8334,
