Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,23149,52.1%,757,52.4%,962,51.2%,203,53.3%,20926,52.1%,528,54.2%,122,61.3%,1
Female,21238,47.8%,688,47.6%,918,48.8%,178,46.7%,19193,47.8%,445,45.7%,77,38.7%,2
Unknown Sex,19,0.0%,0,0.0%,0,0.0%,0,0.0%,19,0.0%,1,0.1%,0,0.0%,3
<10 Years,2741,6.2%,30,2.1%,125,6.6%,10,2.6%,2562,6.4%,9,0.9%,0,0.0%,4
10-19 Years,5181,11.7%,122,8.4%,212,11.3%,56,14.7%,4724,11.8%,8,0.8%,0,0.0%,5
20-29 Years,9127,20.6%,404,28.0%,477,25.4%,62,16.3%,8068,20.1%,46,4.7%,3,1.5%,6
30-39 Years,8574,19.3%,260,18.0%,332,17.7%,78,20.5%,7795,19.4%,85,8.7%,5,2.5%,7
40-49 Years,6249,14.1%,218,15.1%,237,12.6%,59,15.5%,5663,14.1%,89,9.1%,8,4.0%,8
50-59 Years,5756,13.0%,177,12.2%,244,13.0%,50,13.1%,5223,13.0%,156,16.0%,13,6.5%,9
60-69 Years,4155,9.4%,150,10.4%,139,7.4%,42,11.0%,3749,9.3%,218,22.4%,40,20.1%,10
70-79 Years,1846,4.2%,56,3.9%,72,3.8%,22,5.8%,1663,4.1%,212,21.8%,60,30.2%,11
80+ Years,777,1.7%,28,1.9%,42,2.2%,2,0.5%,691,1.7%,151,15.5%,70,35.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2426,5.5%,115,8.0%,175,9.3%,41,10.8%,2071,5.2%,47,4.8%,6,3.0%,14
Non-Hispanic,22990,51.8%,1126,77.9%,1435,76.3%,292,76.6%,19972,49.8%,720,73.9%,165,82.9%,15
UI Ethnicity,18095,40.7%,0,0.0%,0,0.0%,0,0.0%,18095,45.1%,187,19.2%,17,8.5%,16
Unknown Ethnicity,895,2.0%,204,14.1%,270,14.4%,48,12.6%,0,0.0%,20,2.1%,11,5.5%,17
White,13868,31.2%,656,45.4%,802,42.7%,230,60.4%,12054,30.0%,313,32.1%,73,36.7%,18
Black,1171,2.6%,91,6.3%,116,6.2%,21,5.5%,931,2.3%,38,3.9%,8,4.0%,19
AI/AN,8962,20.2%,354,24.5%,430,22.9%,44,11.5%,8060,20.1%,256,26.3%,74,37.2%,20
Asian,1802,4.1%,74,5.1%,97,5.2%,18,4.7%,1597,4.0%,91,9.3%,19,9.5%,21
NHOPI,1287,2.9%,73,5.1%,135,7.2%,4,1.0%,1071,2.7%,109,11.2%,11,5.5%,22
Multiple,3522,7.9%,72,5.0%,90,4.8%,13,3.4%,3317,8.3%,63,6.5%,5,2.5%,23
Other,5720,12.9%,37,2.6%,50,2.7%,16,4.2%,5494,13.7%,45,4.6%,3,1.5%,24
UI Race,7614,17.1%,0,0.0%,0,0.0%,0,0.0%,7614,19.0%,51,5.2%,5,2.5%,25
Unknown Race,460,1.0%,88,6.1%,160,8.5%,35,9.2%,0,0.0%,8,0.8%,1,0.5%,26
