ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,557,50.1%,121,51.1%,184,47.9%,78,58.2%,174,48.9%,58.3%,56.3%,42,9,276,50.7%
2,Female,554,49.9%,116,48.9%,200,52.1%,56,41.8%,182,51.1%,41.7%,43.8%,30,7,268,49.3%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,39,3.5%,4,1.7%,19,4.9%,2,1.5%,14,3.9%,0.0%,0.0%,0,0,15,2.8%
5,10-19 Years,87,7.8%,17,7.2%,32,8.3%,9,6.7%,29,8.1%,1.4%,0.0%,1,0,42,7.7%
6,20-29 Years,227,20.4%,41,17.3%,83,21.6%,18,13.4%,85,23.9%,8.3%,0.0%,6,0,105,19.3%
7,30-39 Years,222,20.0%,50,21.1%,70,18.2%,26,19.4%,76,21.3%,9.7%,12.5%,7,2,108,19.9%
8,40-49 Years,169,15.2%,42,17.7%,51,13.3%,26,19.4%,50,14.0%,5.6%,0.0%,4,0,83,15.3%
9,50-59 Years,175,15.8%,37,15.6%,70,18.2%,19,14.2%,49,13.8%,18.1%,6.3%,13,1,94,17.3%
10,60-69 Years,111,10.0%,25,10.5%,35,9.1%,20,14.9%,31,8.7%,16.7%,12.5%,12,2,64,11.8%
11,70-79 Years,60,5.4%,16,6.8%,15,3.9%,13,9.7%,16,4.5%,30.6%,50.0%,22,8,26,4.8%
12,80+ Years,21,1.9%,5,2.1%,9,2.3%,1,0.7%,6,1.7%,9.7%,18.8%,7,3,7,1.3%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,62,5.6%,13,5.5%,32,8.3%,14,10.4%,3,0.8%,6.9%,0.0%,5,0,45,8.3%
15,Non-Hispanic,718,64.6%,206,86.9%,323,84.1%,112,83.6%,77,21.6%,84.7%,100.0%,61,16,470,86.4%
16,Unknown Ethnicity,331,29.8%,18,7.6%,29,7.6%,8,6.0%,276,77.5%,8.3%,0.0%,6,0,29,5.3%
17,White,533,48.0%,148,62.4%,231,60.2%,105,78.4%,49,13.8%,56.9%,62.5%,41,10,356,65.4%
18,Black,25,2.3%,11,4.6%,7,1.8%,6,4.5%,1,0.3%,0.0%,0.0%,0,0,17,3.1%
19,AI/AN,131,11.8%,39,16.5%,43,11.2%,3,2.2%,46,12.9%,15.3%,18.8%,11,3,54,9.9%
20,Asian,60,5.4%,13,5.5%,41,10.7%,5,3.7%,1,0.3%,11.1%,12.5%,8,2,53,9.7%
21,NHOPI,29,2.6%,6,2.5%,15,3.9%,1,0.7%,7,2.0%,8.3%,6.3%,6,1,13,2.4%
22,Multiple,36,3.2%,10,4.2%,16,4.2%,6,4.5%,4,1.1%,0.0%,0.0%,0,0,23,4.2%
23,Other,21,1.9%,2,0.8%,8,2.1%,4,3.0%,7,2.0%,5.6%,0.0%,4,0,12,2.2%
24,Unknown Race,276,24.8%,8,3.4%,23,6.0%,4,3.0%,241,67.7%,2.8%,0.0%,2,0,16,2.9%
