Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34987,52.1%,1196,52.2%,1541,50.0%,303,51.9%,31398,52.2%,851,54.8%,220,60.8%,1
Female,32091,47.8%,1096,47.8%,1540,50.0%,281,48.1%,28670,47.7%,702,45.2%,142,39.2%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.0%,0,0.0%,0,0.0%,3
<10 Years,4953,7.4%,79,3.4%,299,9.7%,22,3.8%,4502,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8801,13.1%,232,10.1%,426,13.8%,77,13.2%,7956,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13756,20.5%,567,24.7%,643,20.9%,97,16.6%,12238,20.4%,67,4.3%,6,1.7%,6
30-39 Years,12644,18.8%,402,17.5%,497,16.1%,104,17.8%,11473,19.1%,126,8.1%,8,2.2%,7
40-49 Years,9106,13.6%,312,13.6%,356,11.6%,86,14.7%,8214,13.7%,159,10.2%,16,4.4%,8
50-59 Years,8476,12.6%,281,12.3%,380,12.3%,82,14.0%,7609,12.7%,271,17.5%,27,7.5%,9
60-69 Years,5832,8.7%,242,10.6%,230,7.5%,75,12.8%,5141,8.6%,347,22.3%,72,19.9%,10
70-79 Years,2512,3.7%,113,4.9%,144,4.7%,36,6.2%,2150,3.6%,328,21.1%,111,30.7%,11
80+ Years,1027,1.5%,64,2.8%,106,3.4%,5,0.9%,814,1.4%,224,14.4%,122,33.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3404,5.1%,144,6.3%,225,7.3%,58,9.9%,2936,4.9%,82,5.3%,18,5.0%,14
Non-Hispanic,35177,52.4%,1837,80.1%,2425,78.7%,443,75.9%,30031,50.0%,1157,74.5%,336,92.8%,15
UI Ethnicity,27130,40.4%,0,0.0%,0,0.0%,0,0.0%,27130,45.1%,289,18.6%,4,1.1%,16
Unknown Ethnicity,1396,2.1%,311,13.6%,431,14.0%,83,14.2%,0,0.0%,25,1.6%,4,1.1%,17
White,22241,33.1%,968,42.2%,1228,39.9%,342,58.6%,19407,32.3%,572,36.8%,165,45.6%,18
Black,1623,2.4%,106,4.6%,135,4.4%,22,3.8%,1340,2.2%,57,3.7%,10,2.8%,19
AI/AN,13915,20.7%,760,33.2%,932,30.2%,79,13.5%,11912,19.8%,393,25.3%,121,33.4%,20
Asian,2576,3.8%,100,4.4%,185,6.0%,28,4.8%,2229,3.7%,126,8.1%,35,9.7%,21
NHOPI,1733,2.6%,85,3.7%,166,5.4%,10,1.7%,1464,2.4%,141,9.1%,21,5.8%,22
Multiple,5041,7.5%,95,4.1%,137,4.4%,24,4.1%,4743,7.9%,84,5.4%,7,1.9%,23
Other,7723,11.5%,60,2.6%,78,2.5%,23,3.9%,7419,12.3%,74,4.8%,1,0.3%,24
UI Race,11583,17.3%,0,0.0%,0,0.0%,0,0.0%,11583,19.3%,95,6.1%,1,0.3%,25
Unknown Race,672,1.0%,118,5.1%,220,7.1%,56,9.6%,0,0.0%,11,0.7%,1,0.3%,26
