Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3674,50.6%,496,52.7%,649,51.1%,144,50.3%,2350,50.1%,150,54.2%,34,65.4%,1,1357,48.8%
Female,3580,49.4%,446,47.3%,622,48.9%,142,49.7%,2342,49.9%,127,45.8%,18,34.6%,2,1421,51.2%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,362,5.0%,16,1.7%,77,6.1%,8,2.8%,260,5.5%,3,1.1%,0,0.0%,4,137,4.9%
10-19 Years,741,10.2%,75,8.0%,126,9.9%,42,14.7%,485,10.3%,1,0.4%,0,0.0%,5,326,11.7%
20-29 Years,1792,24.7%,262,27.8%,344,27.1%,53,18.5%,1119,23.8%,15,5.4%,0,0.0%,6,697,25.1%
30-39 Years,1380,19.0%,188,20.0%,237,18.6%,57,19.9%,886,18.9%,24,8.7%,2,3.8%,7,540,19.4%
40-49 Years,982,13.5%,146,15.5%,150,11.8%,43,15.0%,631,13.4%,39,14.1%,4,7.7%,8,359,12.9%
50-59 Years,944,13.0%,113,12.0%,173,13.6%,37,12.9%,620,13.2%,52,18.8%,6,11.5%,9,348,12.5%
60-69 Years,651,9.0%,96,10.2%,92,7.2%,28,9.8%,431,9.2%,52,18.8%,8,15.4%,10,245,8.8%
70-79 Years,288,4.0%,36,3.8%,44,3.5%,17,5.9%,188,4.0%,58,20.9%,19,36.5%,11,97,3.5%
80+ Years,114,1.6%,10,1.1%,28,2.2%,1,0.3%,72,1.5%,33,11.9%,13,25.0%,12,29,1.0%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,420,5.8%,76,8.1%,119,9.4%,28,9.8%,192,4.1%,14,5.1%,1,1.9%,14,251,9.0%
Non-Hispanic,2885,39.8%,694,73.7%,870,68.5%,200,69.9%,1091,23.3%,204,73.6%,46,88.5%,15,1685,60.7%
UI Ethnicity,3409,47.0%,0,0.0%,0,0.0%,0,0.0%,3409,72.7%,43,15.5%,1,1.9%,16,544,19.6%
Unknown Ethnicity,540,7.4%,172,18.3%,282,22.2%,58,20.3%,0,0.0%,16,5.8%,4,7.7%,17,298,10.7%
White,1779,24.5%,390,41.4%,513,40.4%,179,62.6%,683,14.6%,76,27.4%,22,42.3%,18,1069,38.5%
Black,269,3.7%,65,6.9%,85,6.7%,17,5.9%,98,2.1%,8,2.9%,1,1.9%,19,136,4.9%
AI/AN,1383,19.1%,227,24.1%,242,19.0%,18,6.3%,880,18.8%,87,31.4%,18,34.6%,20,462,16.6%
Asian,200,2.8%,33,3.5%,58,4.6%,9,3.1%,99,2.1%,16,5.8%,3,5.8%,21,110,4.0%
NHOPI,287,4.0%,59,6.3%,92,7.2%,2,0.7%,133,2.8%,44,15.9%,6,11.5%,22,160,5.8%
Multiple,294,4.1%,50,5.3%,49,3.9%,11,3.8%,182,3.9%,9,3.2%,0,0.0%,23,116,4.2%
Other,240,3.3%,22,2.3%,33,2.6%,11,3.8%,173,3.7%,8,2.9%,0,0.0%,24,92,3.3%
UI Race,2444,33.7%,0,0.0%,0,0.0%,0,0.0%,2444,52.1%,19,6.9%,1,1.9%,25,422,15.2%
Unknown Race,358,4.9%,96,10.2%,199,15.7%,39,13.6%,0,0.0%,10,3.6%,1,1.9%,26,211,7.6%
