Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,6072,50.1%,690,52.5%,862,50.6%,179,52.2%,4284,49.5%,204,53.0%,43,63.2%,1,3101,49.5%
Female,6041,49.9%,624,47.5%,840,49.4%,164,47.8%,4367,50.5%,181,47.0%,25,36.8%,2,3169,50.5%
Unknown Sex,5,0.0%,0,0.0%,0,0.0%,0,0.0%,5,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,644,5.3%,27,2.1%,107,6.3%,8,2.3%,499,5.8%,3,0.8%,0,0.0%,4,316,5.0%
10-19 Years,1327,11.0%,112,8.5%,190,11.2%,50,14.6%,960,11.1%,3,0.8%,0,0.0%,5,661,10.5%
20-29 Years,2819,23.3%,377,28.7%,452,26.6%,60,17.5%,1904,22.0%,20,5.2%,1,1.5%,6,1511,24.1%
30-39 Years,2298,19.0%,241,18.3%,308,18.1%,68,19.8%,1660,19.2%,33,8.6%,2,2.9%,7,1208,19.3%
40-49 Years,1640,13.5%,201,15.3%,214,12.6%,54,15.7%,1155,13.3%,53,13.8%,4,5.9%,8,833,13.3%
50-59 Years,1585,13.1%,159,12.1%,222,13.0%,47,13.7%,1152,13.3%,66,17.1%,7,10.3%,9,820,13.1%
60-69 Years,1124,9.3%,132,10.0%,120,7.1%,36,10.5%,827,9.6%,78,20.3%,13,19.1%,10,598,9.5%
70-79 Years,474,3.9%,48,3.7%,58,3.4%,19,5.5%,344,4.0%,80,20.8%,23,33.8%,11,233,3.7%
80+ Years,207,1.7%,17,1.3%,31,1.8%,1,0.3%,155,1.8%,49,12.7%,18,26.5%,12,90,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,819,6.8%,105,8.0%,168,9.9%,36,10.5%,503,5.8%,19,4.9%,1,1.5%,14,590,9.4%
Non-Hispanic,6757,55.8%,997,75.9%,1261,74.1%,262,76.4%,4188,48.4%,291,75.6%,61,89.7%,15,4766,76.0%
UI Ethnicity,3965,32.7%,0,0.0%,0,0.0%,0,0.0%,3965,45.8%,59,15.3%,3,4.4%,16,567,9.0%
Unknown Ethnicity,577,4.8%,212,16.1%,273,16.0%,45,13.1%,0,0.0%,16,4.2%,3,4.4%,17,347,5.5%
White,3969,32.8%,579,44.1%,724,42.5%,211,61.5%,2430,28.1%,96,24.9%,25,36.8%,18,2733,43.6%
Black,470,3.9%,88,6.7%,113,6.6%,19,5.5%,245,2.8%,18,4.7%,3,4.4%,19,287,4.6%
AI/AN,2840,23.4%,314,23.9%,373,21.9%,35,10.2%,2091,24.2%,123,31.9%,24,35.3%,20,1383,22.1%
Asian,573,4.7%,68,5.2%,87,5.1%,18,5.2%,398,4.6%,28,7.3%,7,10.3%,21,406,6.5%
NHOPI,556,4.6%,72,5.5%,122,7.2%,4,1.2%,356,4.1%,57,14.8%,7,10.3%,22,375,6.0%
Multiple,587,4.8%,64,4.9%,74,4.3%,11,3.2%,434,5.0%,15,3.9%,0,0.0%,23,325,5.2%
Other,429,3.5%,33,2.5%,45,2.6%,13,3.8%,337,3.9%,12,3.1%,0,0.0%,24,192,3.1%
UI Race,2365,19.5%,0,0.0%,0,0.0%,0,0.0%,2365,27.3%,28,7.3%,2,2.9%,25,358,5.7%
Unknown Race,329,2.7%,96,7.3%,164,9.6%,32,9.3%,0,0.0%,8,2.1%,0,0.0%,26,211,3.4%
