,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=772,630",,"N=127,986",,"N=9,346",,"N=2,604",,"N=300,320",,"N=166,971",,"N=457,085",
0-4,25008,3%,2962,2%,78,1%,<5,--,0,0%,0,0%,0,0%
5-9,32843,4%,3727,3%,23,<1%,0,0%,0,0%,0,0%,0,0%
10-14,34152,4%,4792,4%,34,<1%,<5,--,<5,--,0,0%,<5,--
15-18,39565,5%,6485,5%,61,1%,0,0%,1091,<1%,529,<1%,1588,<1%
19-24,83371,11%,15446,12%,236,3%,<5,--,10642,4%,6625,4%,16865,4%
25-29,64730,8%,11297,9%,296,3%,<5,--,12041,4%,8031,5%,19650,4%
30-39,115381,15%,19957,16%,576,6%,11,<1%,27274,9%,17323,10%,43514,10%
40-49,94179,12%,17043,13%,805,9%,32,1%,29896,10%,18020,11%,46479,10%
50-59,110314,14%,18883,15%,1333,14%,114,4%,43119,14%,24623,15%,64735,14%
60-69,92025,12%,13524,11%,1804,19%,308,12%,76381,25%,35402,21%,108838,24%
70-79,49403,6%,7037,5%,1925,21%,593,23%,63899,21%,33212,20%,96424,21%
80-89,21690,3%,4373,3%,1498,16%,829,32%,27664,9%,17253,10%,44767,10%
90+,8866,1%,2453,2%,677,7%,707,27%,8310,3%,5953,4%,14222,3%
Pending further information,1103,--,7,--,0,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,57064,16%,32448,29%,1952,26%,215,10%,23270,9%,11836,8%,33676,8%
American Indian or Alaska Native*,4790,1%,339,<1%,25,<1%,<5,--,716,<1%,354,<1%,1041,<1%
Asian*,9210,3%,2457,2%,170,2%,41,2%,4962,2%,2693,2%,7448,2%
Black or African American*,19209,6%,8076,7%,622,8%,107,5%,9153,3%,5187,4%,13965,3%
Native Hawaiian or Other Pacific Islander*,541,<1%,0,0%,0,0%,0,0%,414,<1%,203,<1%,607,<1%
White*,231672,67%,63364,57%,4510,60%,1872,84%,213697,80%,116807,81%,323622,81%
Other race*,20885,6%,2465,2%,207,3%,<5,--,13485,5%,7698,5%,20636,5%
Multiple race*,4587,1%,1321,1%,48,1%,<5,--,--,--,--,--,--,--
Declined,10223,--,2642,--,100,--,0,--,0,--,0,--,0,--
Unknown or pending further information,414449,--,14874,--,1712,--,360,--,34623,--,22193,--,56090,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,359002,54%,64909,53%,4464,50%,1342,52%,180287,60%,102928,62%,277382,61%
Male,304541,46%,57631,47%,4482,50%,1257,48%,119752,40%,63873,38%,179293,39%
Other,194,<1%,173,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,108893,--,5273,--,386,--,<5,--,281,--,170,--,410,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3116,5%,103,3%,--,--,--,--,--,--,--,--
No,--,--,63537,95%,3271,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,61333,--,5972,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,41076,53%,4663,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,36111,46%,4670,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,549,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,246,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,23735,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,26269,--,10,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,40,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,642,1%,8,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1150,2%,40,1%,--,--,--,--,--,--,--,--
Queer,--,--,136,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,67115,96%,3473,98%,--,--,--,--,--,--,--,--
Other,--,--,628,1%,18,<1%,--,--,--,--,--,--,--,--
Declined,--,--,29180,--,2143,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,29095,--,3658,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,3/24/2021,,,,,,,,,,,,,
