Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30896,52.0%,1022,51.9%,1270,50.6%,257,52.3%,27895,52.1%,737,55.2%,183,59.4%,1
Female,28465,47.9%,946,48.1%,1241,49.4%,234,47.7%,25630,47.9%,599,44.8%,125,40.6%,2
Unknown Sex,22,0.0%,0,0.0%,0,0.0%,0,0.0%,22,0.0%,0,0.0%,0,0.0%,3
<10 Years,4107,6.9%,52,2.6%,205,8.2%,16,3.3%,3798,7.1%,14,1.0%,0,0.0%,4
10-19 Years,7471,12.6%,183,9.3%,306,12.2%,65,13.2%,6819,12.7%,13,1.0%,0,0.0%,5
20-29 Years,12103,20.4%,499,25.4%,574,22.9%,85,17.3%,10773,20.1%,52,3.9%,3,1.0%,6
30-39 Years,11258,19.0%,339,17.2%,414,16.5%,87,17.7%,10273,19.2%,110,8.2%,6,1.9%,7
40-49 Years,8156,13.7%,287,14.6%,304,12.1%,75,15.3%,7383,13.8%,130,9.7%,12,3.9%,8
50-59 Years,7659,12.9%,241,12.2%,326,13.0%,66,13.4%,6924,12.9%,220,16.5%,20,6.5%,9
60-69 Years,5344,9.0%,209,10.6%,179,7.1%,62,12.6%,4779,8.9%,301,22.5%,60,19.5%,10
70-79 Years,2314,3.9%,102,5.2%,115,4.6%,31,6.3%,2008,3.7%,285,21.3%,95,30.8%,11
80+ Years,971,1.6%,56,2.8%,88,3.5%,4,0.8%,790,1.5%,211,15.8%,112,36.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3172,5.3%,138,7.0%,213,8.5%,52,10.6%,2739,5.1%,69,5.2%,13,4.2%,14
Non-Hispanic,32331,54.4%,1570,79.8%,1936,77.1%,374,76.2%,28102,52.5%,1023,76.6%,289,93.8%,15
UI Ethnicity,22706,38.2%,0,0.0%,0,0.0%,0,0.0%,22706,42.4%,224,16.8%,4,1.3%,16
Unknown Ethnicity,1174,2.0%,260,13.2%,362,14.4%,65,13.2%,0,0.0%,20,1.5%,2,0.6%,17
White,19637,33.1%,838,42.6%,1016,40.5%,300,61.1%,17258,32.2%,468,35.0%,130,42.2%,18
Black,1474,2.5%,96,4.9%,127,5.1%,21,4.3%,1213,2.3%,49,3.7%,10,3.2%,19
AI/AN,12741,21.5%,619,31.5%,685,27.3%,61,12.4%,11198,20.9%,365,27.3%,113,36.7%,20
Asian,2401,4.0%,90,4.6%,161,6.4%,20,4.1%,2101,3.9%,117,8.8%,30,9.7%,21
NHOPI,1580,2.7%,80,4.1%,155,6.2%,4,0.8%,1332,2.5%,130,9.7%,17,5.5%,22
Multiple,4582,7.7%,87,4.4%,106,4.2%,19,3.9%,4336,8.1%,70,5.2%,5,1.6%,23
Other,7132,12.0%,56,2.8%,71,2.8%,19,3.9%,6845,12.8%,58,4.3%,1,0.3%,24
UI Race,9264,15.6%,0,0.0%,0,0.0%,0,0.0%,9264,17.3%,70,5.2%,1,0.3%,25
Unknown Race,572,1.0%,102,5.2%,190,7.6%,47,9.6%,0,0.0%,9,0.7%,1,0.3%,26
