,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=718,462",,"N=116,351",,"N=8,754",,"N=2,334",
0-4,22089,3%,2607,2%,72,1%,<5,--
5-9,28875,4%,3238,3%,20,<1%,0,0%
10-14,30207,4%,4212,4%,33,<1%,<5,--
15-18,36680,5%,5532,5%,54,1%,0,0%
19-24,78951,11%,13044,11%,211,2%,<5,--
25-29,60905,8%,10435,9%,271,3%,<5,--
30-39,107737,15%,18305,16%,539,6%,11,<1%
40-49,87882,12%,15705,13%,742,8%,30,1%
50-59,103075,14%,17465,15%,1230,14%,101,4%
60-69,85876,12%,12547,11%,1704,19%,287,12%
70-79,46294,6%,6621,6%,1789,20%,526,23%
80-89,20439,3%,4225,4%,1441,16%,742,32%
90+,8411,1%,2406,2%,647,7%,628,27%
Pending further information,1041,--,9,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,52654,17%,30114,30%,1847,26%,195,10%
American Indian or Alaska Native*,4659,1%,280,<1%,17,<1%,<5,--
Asian*,8293,3%,2238,2%,157,2%,36,2%
Black or African American*,17752,6%,7556,8%,591,8%,103,5%
Native Hawaiian or Other Pacific Islander*,507,<1%,0,0%,0,0%,0,0%
White*,211190,66%,56855,57%,4134,59%,1710,84%
Other race*,19720,6%,2249,2%,200,3%,<5,--
Multiple race*,3083,1%,1135,1%,36,<1%,<5,--
Declined,8597,--,2368,--,95,--,0,--
Unknown or pending further information,392007,--,13556,--,1677,--,285,--
Sex Assigned at Birth,,,,,,,,
Female,344327,54%,59574,53%,4177,50%,1207,52%
Male,290780,46%,52281,47%,4216,50%,1125,48%
Other,183,<1%,160,<1%,26,<1%,<5,--
Pending further information,83172,--,4336,--,335,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,2739,5%,85,3%,--,--
No,--,--,57464,95%,2964,97%,--,--
Unknown or pending,--,--,56148,--,5705,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,37126,53%,4361,50%,--,--
Cisgender man,--,--,32253,46%,4382,50%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,456,1%,0,0%,--,--
Other,--,--,211,<1%,<5,--,--,--
Declined,--,--,20613,--,0,--,--,--
Unknown or pending,--,--,25692,--,8,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,38,<1%,<5,--,--,--
Bisexual,--,--,563,1%,5,<1%,--,--
Lesbian or gay,--,--,1015,2%,37,1%,--,--
Queer,--,--,119,<1%,<5,--,--,--
Straight,--,--,60339,96%,3117,98%,--,--
Other,--,--,572,1%,12,<1%,--,--
Declined,--,--,25453,--,1892,--,--,--
Unknown or pending,--,--,28252,--,3687,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,2/17/2021,,,,,,,
