Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,All Ages,460234,3658769,401250,219974,8875,649194,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,Under 1 year,45,19831,218,7,21,277,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,0-17 years,197,34806,592,33,177,933,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,1-4 years,23,3593,124,3,60,204,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,5-14 years,72,5810,170,13,75,304,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,15-24 years,648,37548,803,250,81,1277,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,18-29 years,1612,66372,1861,694,148,2916,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,25-34 years,2922,77543,2982,1303,235,4819,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,30-49 years,17799,235779,15774,8429,809,25863,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,35-44 years,7711,111034,6971,3557,356,11446,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,45-54 years,21251,204360,18769,10646,772,30031,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,50-64 years,67198,596234,62756,34771,2097,96967,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,55-64 years,54134,473472,50946,28148,1631,78321,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,65-74 years,99019,730382,91258,51988,1904,139895,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,75-84 years,128192,893259,113298,64018,1922,179134,
02/17/2021,01/01/2020,02/13/2021,United States,All Sexes,85 years and over,146217,1101937,115711,60041,1818,203486,
02/17/2021,01/01/2020,02/13/2021,United States,Male,All Ages,250660,1914775,223761,126516,4588,351759,
02/17/2021,01/01/2020,02/13/2021,United States,Male,Under 1 year,30,10984,129,5,10,164,
02/17/2021,01/01/2020,02/13/2021,United States,Male,0-17 years,115,20485,328,19,97,521,
02/17/2021,01/01/2020,02/13/2021,United States,Male,1-4 years,14,2062,59,2,38,109,
02/17/2021,01/01/2020,02/13/2021,United States,Male,5-14 years,40,3467,95,10,37,162,
