Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28478,52.0%,907,52.2%,1113,51.4%,235,53.7%,25816,51.9%,664,55.2%,173,60.5%,1
Female,26309,48.0%,829,47.8%,1052,48.6%,203,46.3%,23872,48.0%,538,44.8%,113,39.5%,2
Unknown Sex,12,0.0%,0,0.0%,0,0.0%,0,0.0%,12,0.0%,0,0.0%,0,0.0%,3
<10 Years,3680,6.7%,39,2.2%,159,7.3%,14,3.2%,3438,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6673,12.2%,145,8.4%,262,12.1%,64,14.6%,6118,12.3%,9,0.7%,0,0.0%,5
20-29 Years,11275,20.6%,457,26.3%,521,24.1%,76,17.4%,10070,20.3%,49,4.1%,3,1.0%,6
30-39 Years,10390,19.0%,302,17.4%,371,17.1%,83,18.9%,9500,19.1%,92,7.7%,6,2.1%,7
40-49 Years,7550,13.8%,257,14.8%,262,12.1%,68,15.5%,6871,13.8%,114,9.5%,11,3.8%,8
50-59 Years,7067,12.9%,217,12.5%,268,12.4%,60,13.7%,6434,12.9%,195,16.2%,20,7.0%,9
60-69 Years,5026,9.2%,184,10.6%,159,7.3%,49,11.2%,4529,9.1%,265,22.0%,58,20.3%,10
70-79 Years,2206,4.0%,87,5.0%,93,4.3%,22,5.0%,1953,3.9%,268,22.3%,86,30.1%,11
80+ Years,932,1.7%,48,2.8%,70,3.2%,2,0.5%,787,1.6%,199,16.6%,102,35.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2828,5.2%,129,7.4%,194,9.0%,46,10.5%,2432,4.9%,62,5.2%,12,4.2%,14
Non-Hispanic,27938,51.0%,1370,78.9%,1668,77.0%,336,76.7%,24283,48.9%,907,75.5%,267,93.4%,15
UI Ethnicity,22985,41.9%,0,0.0%,0,0.0%,0,0.0%,22985,46.2%,213,17.7%,5,1.7%,16
Unknown Ethnicity,1048,1.9%,237,13.7%,303,14.0%,56,12.8%,0,0.0%,20,1.7%,2,0.7%,17
White,16767,30.6%,768,44.2%,903,41.7%,271,61.9%,14625,29.4%,399,33.2%,121,42.3%,18
Black,1354,2.5%,95,5.5%,117,5.4%,21,4.8%,1105,2.2%,46,3.8%,9,3.1%,19
AI/AN,11889,21.7%,489,28.2%,553,25.5%,52,11.9%,10673,21.5%,324,27.0%,104,36.4%,20
Asian,2174,4.0%,83,4.8%,120,5.5%,19,4.3%,1925,3.9%,116,9.7%,29,10.1%,21
NHOPI,1452,2.6%,79,4.6%,148,6.8%,4,0.9%,1212,2.4%,122,10.1%,16,5.6%,22
Multiple,4258,7.8%,79,4.6%,95,4.4%,15,3.4%,4037,8.1%,67,5.6%,4,1.4%,23
Other,6692,12.2%,48,2.8%,58,2.7%,16,3.7%,6434,12.9%,51,4.2%,1,0.3%,24
UI Race,9689,17.7%,0,0.0%,0,0.0%,0,0.0%,9689,19.5%,68,5.7%,1,0.3%,25
Unknown Race,524,1.0%,95,5.5%,171,7.9%,40,9.1%,0,0.0%,9,0.7%,1,0.3%,26
