Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,25462,52.1%,823,52.0%,1023,51.4%,218,53.4%,23044,52.1%,609,55.5%,137,61.2%,1
Female,23452,47.9%,759,48.0%,968,48.6%,190,46.6%,21224,47.9%,489,44.5%,87,38.8%,2
Unknown Sex,4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,0,0.0%,3
<10 Years,3114,6.4%,34,2.1%,138,6.9%,14,3.4%,2904,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5792,11.8%,136,8.6%,237,11.9%,60,14.7%,5289,11.9%,8,0.7%,0,0.0%,5
20-29 Years,10141,20.7%,425,26.9%,493,24.8%,67,16.4%,9016,20.4%,50,4.6%,3,1.3%,6
30-39 Years,9395,19.2%,284,18.0%,350,17.6%,81,19.9%,8555,19.3%,89,8.1%,6,2.7%,7
40-49 Years,6804,13.9%,233,14.7%,249,12.5%,63,15.4%,6176,14.0%,103,9.4%,8,3.6%,8
50-59 Years,6329,12.9%,196,12.4%,254,12.8%,53,13.0%,5751,13.0%,181,16.5%,18,8.0%,9
60-69 Years,4514,9.2%,164,10.4%,140,7.0%,45,11.0%,4074,9.2%,242,22.0%,41,18.3%,10
70-79 Years,1983,4.1%,72,4.6%,83,4.2%,23,5.6%,1767,4.0%,243,22.1%,69,30.8%,11
80+ Years,846,1.7%,38,2.4%,47,2.4%,2,0.5%,740,1.7%,171,15.6%,79,35.3%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2699,5.5%,121,7.6%,181,9.1%,43,10.5%,2329,5.3%,56,5.1%,9,4.0%,14
Non-Hispanic,25942,53.0%,1247,78.8%,1542,77.4%,313,76.7%,22616,51.1%,827,75.3%,210,93.8%,15
UI Ethnicity,19327,39.5%,0,0.0%,0,0.0%,0,0.0%,19327,43.7%,197,17.9%,4,1.8%,16
Unknown Ethnicity,950,1.9%,214,13.5%,268,13.5%,52,12.7%,0,0.0%,18,1.6%,1,0.4%,17
White,15444,31.6%,706,44.6%,843,42.3%,250,61.3%,13477,30.4%,355,32.3%,84,37.5%,18
Black,1264,2.6%,92,5.8%,116,5.8%,21,5.1%,1021,2.3%,43,3.9%,9,4.0%,19
AI/AN,10308,21.1%,424,26.8%,485,24.4%,49,12.0%,9250,20.9%,294,26.8%,89,39.7%,20
Asian,1969,4.0%,75,4.7%,101,5.1%,19,4.7%,1752,4.0%,106,9.7%,22,9.8%,21
NHOPI,1381,2.8%,75,4.7%,139,7.0%,4,1.0%,1158,2.6%,119,10.8%,15,6.7%,22
Multiple,3900,8.0%,74,4.7%,91,4.6%,13,3.2%,3692,8.3%,67,6.1%,4,1.8%,23
Other,6213,12.7%,42,2.7%,55,2.8%,16,3.9%,5977,13.5%,46,4.2%,0,0.0%,24
UI Race,7945,16.2%,0,0.0%,0,0.0%,0,0.0%,7945,17.9%,59,5.4%,0,0.0%,25
Unknown Race,494,1.0%,94,5.9%,161,8.1%,36,8.8%,0,0.0%,9,0.8%,1,0.4%,26
