ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1861,48.7%,296,48.4%,423,48.9%,115,54.0%,1008,48.0%,58.4%,65.4%,94,17,573,49.2%
2,Female,1960,51.3%,315,51.6%,442,51.1%,98,46.0%,1090,52.0%,41.6%,34.6%,67,9,592,50.8%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,178,4.7%,13,2.1%,55,6.4%,3,1.4%,107,5.1%,0.0%,0.0%,0,0,50,4.3%
5,10-19 Years,400,10.5%,47,7.7%,82,9.5%,23,10.8%,240,11.4%,0.6%,0.0%,1,0,113,9.7%
6,20-29 Years,935,24.5%,159,26.0%,221,25.5%,36,16.9%,510,24.3%,7.5%,0.0%,12,0,284,24.4%
7,30-39 Years,719,18.8%,124,20.3%,162,18.7%,44,20.7%,384,18.3%,9.9%,7.7%,16,2,239,20.5%
8,40-49 Years,533,13.9%,99,16.2%,102,11.8%,38,17.8%,286,13.6%,10.6%,3.8%,17,1,160,13.7%
9,50-59 Years,478,12.5%,76,12.4%,123,14.2%,29,13.6%,249,11.9%,16.8%,11.5%,27,3,154,13.2%
10,60-69 Years,358,9.4%,55,9.0%,75,8.7%,25,11.7%,201,9.6%,20.5%,15.4%,33,4,114,9.8%
11,70-79 Years,164,4.3%,29,4.7%,30,3.5%,14,6.6%,91,4.3%,24.8%,46.2%,40,12,41,3.5%
12,80+ Years,56,1.5%,9,1.5%,15,1.7%,1,0.5%,30,1.4%,9.3%,15.4%,15,4,10,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,202,5.3%,46,7.5%,80,9.2%,26,12.2%,48,2.3%,5.6%,0.0%,9,0,117,10.0%
15,Non-Hispanic,1496,39.2%,461,75.5%,580,67.1%,155,72.8%,286,13.6%,77.6%,100.0%,125,26,888,76.2%
16,UI Ethnicity,1764,46.2%,0,0.0%,0,0.0%,0,0.0%,1764,84.1%,11.8%,0.0%,19,0,14,1.2%
17,Unknown Ethnicity,359,9.4%,104,17.0%,205,23.7%,32,15.0%,0,0.0%,5.0%,0.0%,8,0,146,12.5%
18,White,1007,26.4%,282,46.2%,377,43.6%,147,69.0%,197,9.4%,34.2%,42.3%,55,11,602,51.7%
19,Black,119,3.1%,39,6.4%,34,3.9%,13,6.1%,31,1.5%,3.7%,0.0%,6,0,58,5.0%
20,AI/AN,510,13.3%,131,21.4%,143,16.5%,8,3.8%,220,10.5%,23.6%,34.6%,38,9,188,16.1%
21,Asian,105,2.7%,24,3.9%,47,5.4%,8,3.8%,25,1.2%,7.5%,7.7%,12,2,67,5.8%
22,NHOPI,160,4.2%,38,6.2%,56,6.5%,1,0.5%,65,3.1%,17.4%,15.4%,28,4,54,4.6%
23,Multiple,108,2.8%,26,4.3%,32,3.7%,8,3.8%,41,2.0%,0.6%,0.0%,1,0,49,4.2%
24,Other,92,2.4%,11,1.8%,23,2.7%,10,4.7%,47,2.2%,3.1%,0.0%,5,0,36,3.1%
25,UI Race,1472,38.5%,0,0.0%,0,0.0%,0,0.0%,1472,70.2%,7.5%,0.0%,12,0,12,1.0%
26,Unknown Race,248,6.5%,60,9.8%,153,17.7%,18,8.5%,0,0.0%,2.5%,0.0%,4,0,99,8.5%
