ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,785,49.7%,158,49.2%,223,47.5%,86,56.6%,318,50.1%,59.8%,52.9%,55,9,322,50.2%
2,Female,793,50.2%,163,50.8%,246,52.5%,66,43.4%,316,49.8%,40.2%,47.1%,37,8,320,49.8%
3,Unknown Sex,1,0.1%,0,0.0%,0,0.0%,0,0.0%,1,0.2%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,63,4.0%,4,1.2%,25,5.3%,2,1.3%,32,5.0%,0.0%,0.0%,0,0,19,3.0%
5,10-19 Years,147,9.3%,23,7.2%,37,7.9%,12,7.9%,75,11.8%,1.1%,0.0%,1,0,49,7.6%
6,20-29 Years,368,23.3%,70,21.8%,103,22.0%,21,13.8%,174,27.4%,8.7%,0.0%,8,0,126,19.6%
7,30-39 Years,304,19.3%,63,19.6%,88,18.8%,30,19.7%,121,19.1%,8.7%,11.8%,8,2,133,20.7%
8,40-49 Years,233,14.8%,60,18.7%,62,13.2%,29,19.1%,82,12.9%,5.4%,0.0%,5,0,104,16.2%
9,50-59 Years,219,13.9%,46,14.3%,82,17.5%,22,14.5%,69,10.9%,21.7%,5.9%,20,1,101,15.7%
10,60-69 Years,148,9.4%,29,9.0%,45,9.6%,22,14.5%,52,8.2%,19.6%,11.8%,18,2,72,11.2%
11,70-79 Years,73,4.6%,20,6.2%,18,3.8%,13,8.6%,22,3.5%,26.1%,52.9%,24,9,31,4.8%
12,80+ Years,24,1.5%,6,1.9%,9,1.9%,1,0.7%,8,1.3%,8.7%,17.6%,8,3,7,1.1%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,92,5.8%,21,6.5%,39,8.3%,19,12.5%,13,2.0%,7.6%,0.0%,7,0,58,9.0%
15,Non-Hispanic,889,56.3%,271,84.4%,386,82.3%,122,80.3%,109,17.2%,80.4%,100.0%,74,17,546,85.0%
16,Unknown Ethnicity,598,37.9%,29,9.0%,44,9.4%,11,7.2%,513,80.8%,12.0%,0.0%,11,0,38,5.9%
17,White,653,41.4%,191,59.5%,272,58.0%,115,75.7%,74,11.7%,50.0%,64.7%,46,11,406,63.2%
18,Black,37,2.3%,14,4.4%,8,1.7%,7,4.6%,8,1.3%,1.1%,0.0%,1,0,18,2.8%
19,AI/AN,194,12.3%,56,17.4%,63,13.4%,3,2.0%,72,11.3%,17.4%,17.6%,16,3,72,11.2%
20,Asian,65,4.1%,16,5.0%,42,9.0%,5,3.3%,2,0.3%,9.8%,11.8%,9,2,55,8.6%
21,NHOPI,46,2.9%,10,3.1%,21,4.5%,1,0.7%,14,2.2%,9.8%,5.9%,9,1,17,2.6%
22,Multiple,43,2.7%,13,4.0%,19,4.1%,7,4.6%,4,0.6%,0.0%,0.0%,0,0,29,4.5%
23,Other,34,2.2%,6,1.9%,12,2.6%,8,5.3%,8,1.3%,4.3%,0.0%,4,0,19,3.0%
24,Unknown Race,507,32.1%,15,4.7%,32,6.8%,6,3.9%,453,71.3%,7.6%,0.0%,7,0,26,4.0%
