,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=865,086",,"N=142,755",,"N=10,489",,"N=2,717",,"N=604,844",,"N=525,243",,"N=108,8300",
0-4,31191,4%,3653,3%,89,1%,<5,--,0,0%,0,0%,0,0%
5-9,40552,5%,4721,3%,29,<1%,0,0%,5,<1%,<5,--,6,<1%
10-14,42194,5%,5994,4%,40,<1%,<5,--,12427,2%,3514,<1%,15940,1%
15-18,45848,5%,7837,5%,82,1%,0,0%,25392,4%,17236,3%,42146,4%
19-24,90756,11%,17906,13%,289,3%,<5,--,43592,7%,34390,7%,74711,7%
25-29,71107,8%,12716,9%,360,3%,5,<1%,35296,6%,29043,6%,61690,6%
30-39,128203,15%,22373,16%,700,7%,13,<1%,76726,13%,64604,12%,135358,12%
40-49,104445,12%,18740,13%,942,9%,36,1%,78733,13%,68204,13%,140417,13%
50-59,120942,14%,20441,14%,1565,15%,136,5%,106784,18%,95743,18%,190674,18%
60-69,100600,12%,14266,10%,2018,19%,331,12%,114554,19%,107210,20%,213786,20%
70-79,54320,6%,7237,5%,2070,20%,617,23%,72043,12%,68461,13%,138370,13%
80-89,23925,3%,4418,3%,1580,15%,848,31%,30157,5%,28422,5%,57956,5%
90+,9644,1%,2447,2%,720,7%,725,27%,9132,2%,8415,2%,17243,2%
Pending further information,1359,--,6,--,5,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,67033,17%,36584,29%,2217,26%,224,10%,70473,12%,55069,11%,119396,12%
American Indian or Alaska Native*,5034,1%,412,<1%,30,<1%,<5,--,2079,<1%,1657,<1%,3609,<1%
Asian*,11032,3%,2863,2%,204,2%,49,2%,20906,4%,17762,4%,37363,4%
Black or African American*,22285,6%,9149,7%,734,9%,117,5%,25125,4%,20184,4%,43365,4%
Native Hawaiian or Other Pacific Islander*,590,<1%,0,0%,0,0%,0,0%,946,<1%,822,<1%,1715,<1%
White*,265236,66%,71450,57%,5127,60%,1949,83%,423263,74%,377913,76%,773045,75%
Other race*,23180,6%,2739,2%,220,3%,7,<1%,26549,5%,22194,4%,46817,5%
Multiple race*,7227,2%,1661,1%,56,1%,<5,--,--,--,--,--,--,--
Declined,12511,--,3063,--,115,--,0,--,0,--,0,--,0,--
Unknown or pending further information,450958,--,14834,--,1786,--,365,--,35503,--,29642,--,62990,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,383196,54%,70372,53%,4781,51%,1395,51%,329496,55%,289192,55%,597634,55%
Male,328020,46%,62774,47%,4640,49%,1319,49%,274586,45%,235436,45%,489384,45%
Other,210,<1%,204,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,153660,--,9405,--,1054,--,<5,--,762,--,615,--,1282,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3590,5%,123,3%,--,--,--,--,--,--,--,--
No,--,--,71165,95%,3845,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,68000,--,6521,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,46194,52%,5278,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,40938,46%,5194,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,629,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,282,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27834,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,26878,--,15,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,46,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,777,1%,13,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1316,2%,52,1%,--,--,--,--,--,--,--,--
Queer,--,--,157,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,75595,96%,4086,98%,--,--,--,--,--,--,--,--
Other,--,--,708,1%,19,<1%,--,--,--,--,--,--,--,--
Declined,--,--,34003,--,2578,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,30153,--,3735,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,6/9/2021,,,,,,,,,,,,,
