ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1322,48.4%,222,49.3%,314,48.8%,102,54.8%,670,47.0%,59.2%,54.5%,71,12,418,50.0%
2,Female,1407,51.6%,228,50.7%,329,51.2%,84,45.2%,755,53.0%,40.8%,45.5%,49,10,418,50.0%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,126,4.6%,8,1.8%,42,6.5%,3,1.6%,73,5.1%,0.0%,0.0%,0,0,36,4.3%
5,10-19 Years,262,9.6%,37,8.2%,49,7.6%,19,10.2%,151,10.6%,1.7%,0.0%,2,0,70,8.4%
6,20-29 Years,671,24.6%,117,26.0%,154,24.0%,28,15.1%,365,25.6%,7.5%,0.0%,9,0,185,22.1%
7,30-39 Years,526,19.3%,90,20.0%,124,19.3%,37,19.9%,270,18.9%,12.5%,9.1%,15,2,173,20.7%
8,40-49 Years,371,13.6%,73,16.2%,79,12.3%,35,18.8%,181,12.7%,7.5%,4.5%,9,1,124,14.8%
9,50-59 Years,353,12.9%,56,12.4%,105,16.3%,26,14.0%,165,11.6%,20.0%,9.1%,24,2,118,14.1%
10,60-69 Years,260,9.5%,41,9.1%,59,9.2%,23,12.4%,135,9.5%,19.2%,13.6%,23,3,88,10.5%
11,70-79 Years,119,4.4%,22,4.9%,21,3.3%,14,7.5%,62,4.4%,22.5%,45.5%,27,10,35,4.2%
12,80+ Years,41,1.5%,6,1.3%,10,1.6%,1,0.5%,23,1.6%,9.2%,18.2%,11,4,7,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,148,5.4%,37,8.2%,58,9.0%,23,12.4%,29,2.0%,5.8%,0.0%,7,0,86,10.3%
15,Non-Hispanic,1184,43.4%,369,82.0%,473,73.6%,141,75.8%,189,13.3%,80.0%,100.0%,96,22,689,82.4%
16,UI Ethnicity,1207,44.2%,0,0.0%,0,0.0%,0,0.0%,1207,84.7%,10.8%,0.0%,13,0,0,0.0%
17,Unknown Ethnicity,190,7.0%,44,9.8%,112,17.4%,22,11.8%,0,0.0%,3.3%,0.0%,4,0,61,7.3%
18,White,842,30.9%,230,51.1%,327,50.9%,133,71.5%,148,10.4%,39.2%,50.0%,47,11,497,59.4%
19,Black,77,2.8%,24,5.3%,17,2.6%,10,5.4%,25,1.8%,2.5%,0.0%,3,0,27,3.2%
20,AI/AN,354,13.0%,96,21.3%,102,15.9%,8,4.3%,142,10.0%,22.5%,36.4%,27,8,115,13.8%
21,Asian,82,3.0%,20,4.4%,45,7.0%,6,3.2%,11,0.8%,8.3%,9.1%,10,2,59,7.1%
22,NHOPI,98,3.6%,20,4.4%,34,5.3%,1,0.5%,43,3.0%,14.2%,4.5%,17,1,30,3.6%
23,Multiple,62,2.3%,17,3.8%,23,3.6%,8,4.3%,13,0.9%,0.0%,0.0%,0,0,34,4.1%
24,Other,45,1.6%,8,1.8%,15,2.3%,8,4.3%,13,0.9%,3.3%,0.0%,4,0,22,2.6%
25,UI Race,1030,37.7%,0,0.0%,0,0.0%,0,0.0%,1030,72.3%,6.7%,0.0%,8,0,2,0.2%
26,Unknown Race,139,5.1%,35,7.8%,80,12.4%,12,6.5%,0,0.0%,3.3%,0.0%,4,0,50,6.0%
