Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30034,52.1%,966,51.7%,1185,51.2%,240,53.3%,27216,52.1%,703,55.3%,179,59.5%,1
Female,27630,47.9%,901,48.3%,1129,48.8%,210,46.7%,25011,47.9%,569,44.7%,122,40.5%,2
Unknown Sex,13,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0.0%,0,0.0%,0,0.0%,3
<10 Years,3952,6.9%,45,2.4%,167,7.2%,14,3.1%,3696,7.1%,12,0.9%,0,0.0%,4
10-19 Years,7141,12.4%,158,8.5%,274,11.8%,65,14.4%,6556,12.5%,9,0.7%,0,0.0%,5
20-29 Years,11789,20.4%,477,25.5%,551,23.8%,78,17.3%,10524,20.1%,51,4.0%,3,1.0%,6
30-39 Years,10949,19.0%,326,17.5%,388,16.8%,85,18.9%,10012,19.2%,101,7.9%,6,2.0%,7
40-49 Years,7942,13.8%,276,14.8%,277,12.0%,70,15.6%,7222,13.8%,120,9.4%,12,4.0%,8
50-59 Years,7439,12.9%,236,12.6%,293,12.7%,61,13.6%,6753,12.9%,209,16.4%,20,6.6%,9
60-69 Years,5234,9.1%,196,10.5%,167,7.2%,52,11.6%,4710,9.0%,283,22.2%,59,19.6%,10
70-79 Years,2275,3.9%,98,5.2%,111,4.8%,23,5.1%,1987,3.8%,279,21.9%,93,30.9%,11
80+ Years,956,1.7%,55,2.9%,86,3.7%,2,0.4%,780,1.5%,208,16.4%,108,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2878,5.0%,141,7.6%,201,8.7%,49,10.9%,2458,4.7%,66,5.2%,13,4.3%,14
Non-Hispanic,28712,49.8%,1471,78.8%,1784,77.1%,343,76.2%,24808,47.5%,955,75.1%,281,93.4%,15
UI Ethnicity,24974,43.3%,0,0.0%,0,0.0%,0,0.0%,24974,47.8%,232,18.2%,5,1.7%,16
Unknown Ethnicity,1113,1.9%,255,13.7%,329,14.2%,58,12.9%,0,0.0%,19,1.5%,2,0.7%,17
White,17676,30.6%,832,44.6%,976,42.2%,279,62.0%,15370,29.4%,434,34.1%,126,41.9%,18
Black,1398,2.4%,96,5.1%,120,5.2%,21,4.7%,1144,2.2%,46,3.6%,9,3.0%,19
AI/AN,12313,21.3%,523,28.0%,582,25.2%,52,11.6%,11021,21.1%,338,26.6%,111,36.9%,20
Asian,2245,3.9%,90,4.8%,137,5.9%,19,4.2%,1972,3.8%,116,9.1%,29,9.6%,21
NHOPI,1489,2.6%,80,4.3%,150,6.5%,4,0.9%,1246,2.4%,128,10.1%,17,5.6%,22
Multiple,4377,7.6%,86,4.6%,101,4.4%,15,3.3%,4144,7.9%,67,5.3%,5,1.7%,23
Other,6936,12.0%,58,3.1%,64,2.8%,18,4.0%,6657,12.7%,55,4.3%,1,0.3%,24
UI Race,10686,18.5%,0,0.0%,0,0.0%,0,0.0%,10686,20.5%,79,6.2%,2,0.7%,25
Unknown Race,557,1.0%,102,5.5%,184,8.0%,42,9.3%,0,0.0%,9,0.7%,1,0.3%,26
