Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,25930,52.0%,832,52.0%,1031,51.4%,221,53.6%,23491,52.0%,630,55.8%,140,61.4%,1
Female,23898,48.0%,767,48.0%,974,48.6%,191,46.4%,21653,48.0%,499,44.2%,88,38.6%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3191,6.4%,35,2.2%,140,7.0%,14,3.4%,2978,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5913,11.9%,136,8.5%,243,12.1%,60,14.6%,5404,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10353,20.8%,428,26.8%,493,24.6%,67,16.3%,9225,20.4%,52,4.6%,3,1.3%,6
30-39 Years,9555,19.2%,285,17.8%,352,17.6%,81,19.7%,8712,19.3%,89,7.9%,6,2.6%,7
40-49 Years,6908,13.9%,235,14.7%,250,12.5%,65,15.8%,6275,13.9%,104,9.2%,8,3.5%,8
50-59 Years,6435,12.9%,199,12.4%,255,12.7%,53,12.9%,5851,13.0%,189,16.7%,18,7.9%,9
60-69 Years,4602,9.2%,167,10.4%,140,7.0%,47,11.4%,4157,9.2%,250,22.1%,41,18.0%,10
70-79 Years,2021,4.1%,74,4.6%,84,4.2%,23,5.6%,1801,4.0%,249,22.1%,71,31.1%,11
80+ Years,857,1.7%,40,2.5%,48,2.4%,2,0.5%,748,1.7%,177,15.7%,81,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2716,5.4%,121,7.6%,181,9.0%,44,10.7%,2345,5.2%,58,5.1%,10,4.4%,14
Non-Hispanic,26244,52.7%,1262,78.9%,1555,77.6%,316,76.7%,22886,50.7%,846,74.9%,212,93.0%,15
UI Ethnicity,19920,40.0%,0,0.0%,0,0.0%,0,0.0%,19920,44.1%,205,18.2%,5,2.2%,16
Unknown Ethnicity,955,1.9%,216,13.5%,269,13.4%,52,12.6%,0,0.0%,20,1.8%,1,0.4%,17
White,15643,31.4%,712,44.5%,853,42.5%,252,61.2%,13657,30.2%,368,32.6%,87,38.2%,18
Black,1276,2.6%,93,5.8%,116,5.8%,21,5.1%,1032,2.3%,45,4.0%,9,3.9%,19
AI/AN,10561,21.2%,431,27.0%,488,24.3%,51,12.4%,9490,21.0%,301,26.7%,90,39.5%,20
Asian,1994,4.0%,77,4.8%,101,5.0%,19,4.6%,1775,3.9%,108,9.6%,22,9.6%,21
NHOPI,1389,2.8%,76,4.8%,139,6.9%,4,1.0%,1165,2.6%,120,10.6%,15,6.6%,22
Multiple,3951,7.9%,74,4.6%,92,4.6%,13,3.2%,3742,8.3%,70,6.2%,4,1.8%,23
Other,6279,12.6%,42,2.6%,55,2.7%,16,3.9%,6043,13.4%,46,4.1%,0,0.0%,24
UI Race,8247,16.5%,0,0.0%,0,0.0%,0,0.0%,8247,18.3%,62,5.5%,0,0.0%,25
Unknown Race,495,1.0%,94,5.9%,161,8.0%,36,8.7%,0,0.0%,9,0.8%,1,0.4%,26
