Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34831,52.1%,1161,51.9%,1506,50.1%,299,52.4%,31325,52.2%,844,54.7%,217,60.6%,1
Female,31954,47.8%,1075,48.1%,1501,49.9%,272,47.6%,28607,47.7%,698,45.3%,141,39.4%,2
Unknown Sex,29,0.0%,0,0.0%,0,0.0%,0,0.0%,29,0.0%,0,0.0%,0,0.0%,3
<10 Years,4917,7.4%,75,3.4%,290,9.6%,20,3.5%,4482,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8745,13.1%,227,10.2%,416,13.8%,74,13.0%,7918,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13700,20.5%,551,24.6%,634,21.1%,97,17.0%,12209,20.4%,66,4.3%,6,1.7%,6
30-39 Years,12596,18.9%,392,17.5%,480,16.0%,102,17.9%,11456,19.1%,125,8.1%,8,2.2%,7
40-49 Years,9069,13.6%,308,13.8%,348,11.6%,85,14.9%,8191,13.7%,157,10.2%,16,4.5%,8
50-59 Years,8443,12.6%,277,12.4%,372,12.4%,81,14.2%,7590,12.7%,270,17.5%,27,7.5%,9
60-69 Years,5810,8.7%,235,10.5%,224,7.4%,71,12.4%,5142,8.6%,344,22.3%,69,19.3%,10
70-79 Years,2507,3.8%,109,4.9%,138,4.6%,36,6.3%,2155,3.6%,324,21.0%,110,30.7%,11
80+ Years,1027,1.5%,62,2.8%,105,3.5%,5,0.9%,818,1.4%,225,14.6%,122,34.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3392,5.1%,140,6.3%,225,7.5%,58,10.2%,2931,4.9%,81,5.3%,18,5.0%,14
Non-Hispanic,35014,52.4%,1800,80.5%,2366,78.7%,433,75.8%,29981,50.0%,1145,74.3%,334,93.3%,15
UI Ethnicity,27049,40.5%,0,0.0%,0,0.0%,0,0.0%,27049,45.1%,292,18.9%,3,0.8%,16
Unknown Ethnicity,1359,2.0%,296,13.2%,416,13.8%,80,14.0%,0,0.0%,24,1.6%,3,0.8%,17
White,22105,33.1%,938,41.9%,1183,39.3%,333,58.3%,19366,32.3%,564,36.6%,164,45.8%,18
Black,1614,2.4%,102,4.6%,135,4.5%,22,3.9%,1335,2.2%,56,3.6%,10,2.8%,19
AI/AN,13875,20.8%,755,33.8%,921,30.6%,79,13.8%,11890,19.8%,391,25.4%,120,33.5%,20
Asian,2567,3.8%,97,4.3%,182,6.1%,27,4.7%,2228,3.7%,125,8.1%,34,9.5%,21
NHOPI,1728,2.6%,83,3.7%,163,5.4%,10,1.8%,1463,2.4%,142,9.2%,21,5.9%,22
Multiple,5012,7.5%,92,4.1%,132,4.4%,22,3.9%,4724,7.9%,82,5.3%,7,2.0%,23
Other,7713,11.5%,58,2.6%,77,2.6%,22,3.9%,7413,12.4%,74,4.8%,1,0.3%,24
UI Race,11542,17.3%,0,0.0%,0,0.0%,0,0.0%,11542,19.2%,98,6.4%,0,0.0%,25
Unknown Race,658,1.0%,111,5.0%,214,7.1%,56,9.8%,0,0.0%,10,0.6%,1,0.3%,26
