Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,22436,52.2%,754,52.5%,953,51.3%,198,52.8%,20234,52.2%,506,54.4%,117,60.6%,1
Female,20551,47.8%,682,47.5%,903,48.7%,177,47.2%,18532,47.8%,423,45.5%,76,39.4%,2
Unknown Sex,14,0.0%,0,0.0%,0,0.0%,0,0.0%,14,0.0%,1,0.1%,0,0.0%,3
<10 Years,2654,6.2%,30,2.1%,122,6.6%,9,2.4%,2479,6.4%,9,1.0%,0,0.0%,4
10-19 Years,5022,11.7%,121,8.4%,211,11.4%,56,14.9%,4567,11.8%,7,0.8%,0,0.0%,5
20-29 Years,8835,20.5%,403,28.1%,476,25.6%,62,16.5%,7782,20.1%,44,4.7%,3,1.6%,6
30-39 Years,8287,19.3%,260,18.1%,331,17.8%,78,20.8%,7511,19.4%,81,8.7%,5,2.6%,7
40-49 Years,6061,14.1%,215,15.0%,233,12.6%,58,15.5%,5483,14.1%,85,9.1%,8,4.1%,8
50-59 Years,5571,13.0%,176,12.3%,238,12.8%,50,13.3%,5044,13.0%,150,16.1%,13,6.7%,9
60-69 Years,4021,9.4%,148,10.3%,135,7.3%,39,10.4%,3626,9.4%,209,22.5%,38,19.7%,10
70-79 Years,1796,4.2%,56,3.9%,71,3.8%,22,5.9%,1615,4.2%,199,21.4%,58,30.1%,11
80+ Years,754,1.8%,27,1.9%,39,2.1%,1,0.3%,673,1.7%,146,15.7%,68,35.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2391,5.6%,113,7.9%,175,9.4%,40,10.7%,2039,5.3%,45,4.8%,5,2.6%,14
Non-Hispanic,22504,52.3%,1119,77.9%,1413,76.1%,287,76.5%,19526,50.4%,688,74.0%,158,81.9%,15
UI Ethnicity,17215,40.0%,0,0.0%,0,0.0%,0,0.0%,17215,44.4%,177,19.0%,19,9.8%,16
Unknown Ethnicity,891,2.1%,204,14.2%,268,14.4%,48,12.8%,0,0.0%,20,2.2%,11,5.7%,17
White,13495,31.4%,646,45.0%,792,42.7%,225,60.0%,11708,30.2%,299,32.2%,71,36.8%,18
Black,1142,2.7%,91,6.3%,116,6.3%,21,5.6%,902,2.3%,37,4.0%,8,4.1%,19
AI/AN,8683,20.2%,355,24.7%,418,22.5%,43,11.5%,7796,20.1%,249,26.8%,72,37.3%,20
Asian,1756,4.1%,74,5.2%,97,5.2%,18,4.8%,1552,4.0%,81,8.7%,19,9.8%,21
NHOPI,1254,2.9%,73,5.1%,133,7.2%,4,1.1%,1041,2.7%,105,11.3%,11,5.7%,22
Multiple,3465,8.1%,73,5.1%,90,4.8%,13,3.5%,3260,8.4%,61,6.6%,5,2.6%,23
Other,5564,12.9%,36,2.5%,50,2.7%,16,4.3%,5339,13.8%,41,4.4%,3,1.6%,24
UI Race,7182,16.7%,0,0.0%,0,0.0%,0,0.0%,7182,18.5%,49,5.3%,3,1.6%,25
Unknown Race,460,1.1%,88,6.1%,160,8.6%,35,9.3%,0,0.0%,8,0.9%,1,0.5%,26
