Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/10/2020,02/01/2020,06/06/2020,United States,All,Under 1 year,5,5732,49,1,13,66,
06/10/2020,02/01/2020,06/06/2020,United States,All,1-4 years,3,1109,44,2,40,85,
06/10/2020,02/01/2020,06/06/2020,United States,All,5-14 years,13,1638,55,3,46,111,
06/10/2020,02/01/2020,06/06/2020,United States,All,15-24 years,116,10141,211,38,50,335,
06/10/2020,02/01/2020,06/06/2020,United States,All,25-34 years,640,21548,764,281,143,1253,
06/10/2020,02/01/2020,06/06/2020,United States,All,35-44 years,1649,31028,1772,694,231,2933,
06/10/2020,02/01/2020,06/06/2020,United States,All,45-54 years,4588,58956,4667,2001,556,7709,
06/10/2020,02/01/2020,06/06/2020,United States,All,55-64 years,11439,139380,13167,5214,1185,20369,
06/10/2020,02/01/2020,06/06/2020,United States,All,65-74 years,19857,214427,22755,9109,1391,34670,
06/10/2020,02/01/2020,06/06/2020,United States,All,75-84 years,25520,267201,29259,11475,1412,44524,
06/10/2020,02/01/2020,06/06/2020,United States,All,85 years and over,31778,340096,34090,12820,1323,54210,
06/10/2020,02/01/2020,06/06/2020,United States,All,All Ages,95608,1091256,106833,41638,6390,166265,
06/10/2020,02/01/2020,06/06/2020,United States,Male,Under 1 year,3,3201,34,1,7,43,
06/10/2020,02/01/2020,06/06/2020,United States,Male,1-4 years,1,629,22,1,24,46,
06/10/2020,02/01/2020,06/06/2020,United States,Male,5-14 years,11,988,27,3,19,54,
06/10/2020,02/01/2020,06/06/2020,United States,Male,15-24 years,72,7500,128,21,26,202,
06/10/2020,02/01/2020,06/06/2020,United States,Male,25-34 years,433,15040,475,196,73,776,
06/10/2020,02/01/2020,06/06/2020,United States,Male,35-44 years,1184,20336,1153,498,120,1940,
06/10/2020,02/01/2020,06/06/2020,United States,Male,45-54 years,3236,36893,2951,1431,327,5014,
06/10/2020,02/01/2020,06/06/2020,United States,Male,55-64 years,7558,85610,8020,3409,674,12701,
06/10/2020,02/01/2020,06/06/2020,United States,Male,65-74 years,12375,124388,13563,5671,771,20894,
06/10/2020,02/01/2020,06/06/2020,United States,Male,75-84 years,14018,138788,16225,6404,695,24427,
06/10/2020,02/01/2020,06/06/2020,United States,Male,85 years and over,12506,131137,14859,5458,537,22367,
06/10/2020,02/01/2020,06/06/2020,United States,Male,All ages,51397,564510,57457,23093,3273,88464,
06/10/2020,02/01/2020,06/06/2020,United States,Female,Under 1 year,2,2522,15,0,6,23,
06/10/2020,02/01/2020,06/06/2020,United States,Female,1-4 years,2,480,22,1,16,39,
06/10/2020,02/01/2020,06/06/2020,United States,Female,5-14 years,2,650,28,0,27,57,
06/10/2020,02/01/2020,06/06/2020,United States,Female,15-24 years,44,2640,83,17,24,133,
06/10/2020,02/01/2020,06/06/2020,United States,Female,25-34 years,207,6507,289,85,70,477,
06/10/2020,02/01/2020,06/06/2020,United States,Female,35-44 years,465,10690,619,196,111,993,
06/10/2020,02/01/2020,06/06/2020,United States,Female,45-54 years,1352,22061,1716,570,229,2695,
06/10/2020,02/01/2020,06/06/2020,United States,Female,55-64 years,3881,53767,5146,1805,511,7667,
06/10/2020,02/01/2020,06/06/2020,United States,Female,65-74 years,7482,90033,9192,3438,620,13776,
06/10/2020,02/01/2020,06/06/2020,United States,Female,75-84 years,11501,128408,13033,5070,717,20096,
06/10/2020,02/01/2020,06/06/2020,United States,Female,85 years and over,19271,208942,19230,7361,786,31842,
06/10/2020,02/01/2020,06/06/2020,United States,Female,All ages,44209,526700,49373,18543,3117,77798,
06/10/2020,02/01/2020,06/06/2020,United States,Unknown,All ages,2,46,3,2,0,3,
