Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29334,52.0%,945,52.1%,1162,51.1%,238,53.2%,26574,52.0%,689,55.3%,178,59.5%,1
Female,27084,48.0%,868,47.9%,1113,48.9%,209,46.8%,24533,48.0%,557,44.7%,121,40.5%,2
Unknown Sex,10,0.0%,0,0.0%,0,0.0%,0,0.0%,10,0.0%,0,0.0%,0,0.0%,3
<10 Years,3841,6.8%,41,2.3%,162,7.1%,14,3.1%,3594,7.0%,12,1.0%,0,0.0%,4
10-19 Years,6943,12.3%,153,8.4%,270,11.9%,64,14.3%,6371,12.5%,9,0.7%,0,0.0%,5
20-29 Years,11556,20.5%,473,26.1%,542,23.8%,78,17.4%,10308,20.2%,49,3.9%,3,1.0%,6
30-39 Years,10718,19.0%,314,17.3%,385,16.9%,85,19.0%,9800,19.2%,99,7.9%,6,2.0%,7
40-49 Years,7754,13.7%,269,14.8%,271,11.9%,69,15.4%,7051,13.8%,119,9.6%,12,4.0%,8
50-59 Years,7270,12.9%,227,12.5%,287,12.6%,61,13.6%,6602,12.9%,201,16.1%,20,6.7%,9
60-69 Years,5148,9.1%,190,10.5%,166,7.3%,52,11.6%,4633,9.1%,273,21.9%,59,19.7%,10
70-79 Years,2251,4.0%,94,5.2%,106,4.7%,22,4.9%,1977,3.9%,278,22.3%,93,31.1%,11
80+ Years,947,1.7%,52,2.9%,86,3.8%,2,0.4%,781,1.5%,206,16.5%,106,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2856,5.1%,134,7.4%,199,8.7%,48,10.7%,2448,4.8%,66,5.3%,12,4.0%,14
Non-Hispanic,28444,50.4%,1430,78.9%,1753,77.1%,342,76.5%,24628,48.2%,936,75.1%,280,93.6%,15
UI Ethnicity,24041,42.6%,0,0.0%,0,0.0%,0,0.0%,24041,47.0%,225,18.1%,5,1.7%,16
Unknown Ethnicity,1087,1.9%,249,13.7%,323,14.2%,57,12.8%,0,0.0%,19,1.5%,2,0.7%,17
White,17295,30.6%,806,44.5%,957,42.1%,277,62.0%,15046,29.4%,418,33.5%,126,42.1%,18
Black,1373,2.4%,95,5.2%,120,5.3%,21,4.7%,1120,2.2%,46,3.7%,9,3.0%,19
AI/AN,12151,21.5%,508,28.0%,569,25.0%,52,11.6%,10899,21.3%,335,26.9%,111,37.1%,20
Asian,2228,3.9%,89,4.9%,135,5.9%,19,4.3%,1958,3.8%,116,9.3%,29,9.7%,21
NHOPI,1476,2.6%,79,4.4%,149,6.5%,4,0.9%,1235,2.4%,126,10.1%,17,5.7%,22
Multiple,4319,7.7%,82,4.5%,101,4.4%,15,3.4%,4089,8.0%,67,5.4%,4,1.3%,23
Other,6825,12.1%,54,3.0%,64,2.8%,18,4.0%,6552,12.8%,53,4.3%,1,0.3%,24
UI Race,10218,18.1%,0,0.0%,0,0.0%,0,0.0%,10218,20.0%,76,6.1%,1,0.3%,25
Unknown Race,543,1.0%,100,5.5%,180,7.9%,41,9.2%,0,0.0%,9,0.7%,1,0.3%,26
