Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27897,52.0%,892,52.0%,1103,51.4%,233,53.6%,25277,51.9%,655,55.2%,168,60.6%,1
Female,25781,48.0%,823,48.0%,1045,48.6%,202,46.4%,23368,48.0%,532,44.8%,109,39.4%,2
Unknown Sex,16,0.0%,0,0.0%,0,0.0%,0,0.0%,16,0.0%,0,0.0%,0,0.0%,3
<10 Years,3572,6.7%,38,2.2%,158,7.4%,14,3.2%,3336,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6495,12.1%,145,8.5%,260,12.1%,64,14.7%,5948,12.2%,9,0.8%,0,0.0%,5
20-29 Years,11100,20.7%,456,26.6%,518,24.1%,75,17.2%,9904,20.4%,50,4.2%,3,1.1%,6
30-39 Years,10182,19.0%,300,17.5%,370,17.2%,83,19.1%,9298,19.1%,92,7.8%,6,2.2%,7
40-49 Years,7407,13.8%,252,14.7%,259,12.1%,68,15.6%,6740,13.9%,111,9.4%,11,4.0%,8
50-59 Years,6933,12.9%,213,12.4%,266,12.4%,59,13.6%,6306,13.0%,193,16.3%,21,7.6%,9
60-69 Years,4932,9.2%,179,10.4%,159,7.4%,49,11.3%,4444,9.1%,263,22.2%,54,19.5%,10
70-79 Years,2159,4.0%,86,5.0%,93,4.3%,21,4.8%,1909,3.9%,266,22.4%,86,31.0%,11
80+ Years,914,1.7%,46,2.7%,65,3.0%,2,0.5%,776,1.6%,192,16.2%,96,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2813,5.2%,129,7.5%,192,8.9%,46,10.6%,2419,5.0%,62,5.2%,12,4.3%,14
Non-Hispanic,27606,51.4%,1355,79.0%,1653,77.0%,333,76.6%,23994,49.3%,896,75.5%,258,93.1%,15
UI Ethnicity,22248,41.4%,0,0.0%,0,0.0%,0,0.0%,22248,45.7%,210,17.7%,7,2.5%,16
Unknown Ethnicity,1027,1.9%,231,13.5%,303,14.1%,56,12.9%,0,0.0%,19,1.6%,0,0.0%,17
White,16482,30.7%,757,44.1%,895,41.7%,268,61.6%,14365,29.5%,392,33.0%,114,41.2%,18
Black,1339,2.5%,95,5.5%,117,5.4%,21,4.8%,1091,2.2%,46,3.9%,9,3.2%,19
AI/AN,11673,21.7%,484,28.2%,548,25.5%,52,12.0%,10470,21.5%,321,27.0%,103,37.2%,20
Asian,2116,3.9%,81,4.7%,118,5.5%,19,4.4%,1875,3.9%,113,9.5%,29,10.5%,21
NHOPI,1429,2.7%,79,4.6%,146,6.8%,4,0.9%,1193,2.5%,122,10.3%,16,5.8%,22
Multiple,4200,7.8%,79,4.6%,95,4.4%,15,3.4%,3979,8.2%,67,5.6%,4,1.4%,23
Other,6595,12.3%,47,2.7%,58,2.7%,16,3.7%,6343,13.0%,50,4.2%,1,0.4%,24
UI Race,9345,17.4%,0,0.0%,0,0.0%,0,0.0%,9345,19.2%,68,5.7%,1,0.4%,25
Unknown Race,515,1.0%,93,5.4%,171,8.0%,40,9.2%,0,0.0%,8,0.7%,0,0.0%,26
