"date","age","cum.deaths","daily.deaths","code"
2020-05-14,"0-9",0,NA,"MD"
2020-05-14,"10-19",0,NA,"MD"
2020-05-14,"20-29",10,NA,"MD"
2020-05-14,"30-39",20,NA,"MD"
2020-05-14,"40-49",48,NA,"MD"
2020-05-14,"50-59",116,NA,"MD"
2020-05-14,"60-69",271,NA,"MD"
2020-05-14,"70-79",428,NA,"MD"
2020-05-14,"80+",771,NA,"MD"
2020-05-15,"0-9",0,0,"MD"
2020-05-15,"10-19",0,0,"MD"
2020-05-15,"20-29",10,0,"MD"
2020-05-15,"30-39",21,1,"MD"
2020-05-15,"40-49",51,4,"MD"
2020-05-15,"50-59",118,2,"MD"
2020-05-15,"60-69",280,9,"MD"
2020-05-15,"70-79",441,13,"MD"
2020-05-15,"80+",790,19,"MD"
2020-05-16,"0-9",0,0,"MD"
2020-05-16,"10-19",0,0,"MD"
2020-05-16,"20-29",10,0,"MD"
2020-05-16,"30-39",22,1,"MD"
2020-05-16,"40-49",51,0,"MD"
2020-05-16,"50-59",123,5,"MD"
2020-05-16,"60-69",290,10,"MD"
2020-05-16,"70-79",449,8,"MD"
2020-05-16,"80+",817,27,"MD"
