,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=875,099",,"N=143,094",,"N=10,508",,"N=2,724",,"N=620,806",,"N=563,927",,"N=114,1779",
0-4,32025,4%,3671,3%,85,1%,<5,--,0,0%,0,0%,0,0%
5-9,41390,5%,4746,3%,29,<1%,0,0%,0,0%,0,0%,0,0%
10-14,43137,5%,6015,4%,40,<1%,<5,--,14253,2%,10329,2%,24581,2%
15-18,46530,5%,7860,5%,83,1%,0,0%,27178,4%,22516,4%,49189,4%
19-24,91708,10%,17944,13%,287,3%,<5,--,45670,7%,38682,7%,80904,7%
25-29,71783,8%,12753,9%,360,3%,5,<1%,36694,6%,32022,6%,65946,6%
30-39,129499,15%,22449,16%,701,7%,14,<1%,79603,13%,70558,13%,143937,13%
40-49,105396,12%,18775,13%,947,9%,36,1%,81033,13%,73214,13%,147505,13%
50-59,121902,14%,20468,14%,1572,15%,138,5%,108778,18%,100395,18%,197098,17%
60-69,101487,12%,14285,10%,2025,19%,333,12%,115672,19%,109685,19%,217274,19%
70-79,54921,6%,7251,5%,2073,20%,619,23%,72459,12%,69346,12%,139642,12%
80-89,24187,3%,4425,3%,1583,15%,848,31%,30302,5%,28692,5%,58363,5%
90+,9760,1%,2447,2%,721,7%,725,27%,9164,1%,8488,2%,17340,2%
Pending further information,1374,--,5,--,<5,--,0,--,0,--,0,--,0,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,68090,17%,36711,29%,2219,26%,226,10%,75155,13%,63038,12%,131786,12%
American Indian or Alaska Native*,5060,1%,414,<1%,30,<1%,<5,--,2171,<1%,1874,<1%,3912,<1%
Asian*,11283,3%,2872,2%,204,2%,49,2%,21528,4%,19296,4%,39505,4%
Black or African American*,22644,6%,9175,7%,737,9%,119,5%,26377,5%,22632,4%,47017,4%
Native Hawaiian or Other Pacific Islander*,597,<1%,72,<1%,10,0%,0,0%,966,<1%,872,<1%,1786,<1%
White*,268441,66%,71597,57%,5146,60%,1952,83%,431301,74%,401603,75%,804050,75%
Other race*,23550,6%,2336,2%,144,2%,7,<1%,27618,5%,23962,4%,49606,5%
Multiple race*,7322,2%,2007,2%,124,1%,<5,--,--,--,--,--,--,--
Declined,12669,--,3072,--,116,--,0,--,0,--,0,--,0,--
Unknown or pending further information,455443,--,14838,--,1778,--,365,--,35690,--,30650,--,64117,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,386263,54%,70575,53%,4797,51%,1400,51%,337560,54%,308621,55%,624714,55%
Male,330888,46%,62942,47%,4653,49%,1321,49%,282473,46%,254651,45%,515735,45%
Other,209,<1%,204,<1%,16,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,157739,--,9373,--,1042,--,<5,--,773,--,655,--,1330,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3590,5%,123,3%,--,--,--,--,--,--,--,--
No,--,--,71326,95%,3860,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,68178,--,6525,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,46281,52%,5292,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,40995,46%,5201,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,628,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,278,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27853,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,27059,--,12,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,44,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,780,1%,13,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1322,2%,52,1%,--,--,--,--,--,--,--,--
Queer,--,--,159,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,75753,96%,4102,98%,--,--,--,--,--,--,--,--
Other,--,--,700,1%,19,<1%,--,--,--,--,--,--,--,--
Declined,--,--,34004,--,2576,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,30332,--,3740,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,6/23/2021,,,,,,,,,,,,,
