Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2948,50.5%,389,50.1%,516,49.3%,135,51.7%,1877,50.8%,132,56.2%,27,64.3%,1,1025,48.0%
Female,2883,49.4%,387,49.9%,531,50.7%,126,48.3%,1813,49.1%,103,43.8%,15,35.7%,2,1112,52.0%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,279,4.8%,14,1.8%,66,6.3%,8,3.1%,190,5.1%,1,0.4%,0,0.0%,4,99,4.6%
10-19 Years,599,10.3%,56,7.2%,96,9.2%,37,14.2%,398,10.8%,1,0.4%,0,0.0%,5,233,10.9%
20-29 Years,1423,24.4%,197,25.4%,275,26.3%,49,18.8%,888,24.1%,14,6.0%,0,0.0%,6,550,25.7%
30-39 Years,1087,18.6%,162,20.9%,191,18.2%,50,19.2%,673,18.2%,20,8.5%,2,4.8%,7,422,19.7%
40-49 Years,801,13.7%,127,16.4%,123,11.7%,40,15.3%,500,13.5%,27,11.5%,2,4.8%,8,285,13.3%
50-59 Years,766,13.1%,96,12.4%,143,13.7%,35,13.4%,491,13.3%,43,18.3%,4,9.5%,9,265,12.4%
60-69 Years,539,9.2%,78,10.1%,87,8.3%,26,10.0%,344,9.3%,47,20.0%,5,11.9%,10,183,8.6%
70-79 Years,239,4.1%,36,4.6%,39,3.7%,15,5.7%,148,4.0%,52,22.1%,17,40.5%,11,77,3.6%
80+ Years,100,1.7%,10,1.3%,27,2.6%,1,0.4%,60,1.6%,30,12.8%,12,28.6%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,283,4.9%,56,7.2%,95,9.1%,26,10.0%,103,2.8%,13,5.5%,1,2.4%,14,154,7.2%
Non-Hispanic,2089,35.8%,563,72.6%,692,66.1%,180,69.0%,630,17.1%,174,74.0%,39,92.9%,15,1227,57.4%
UI Ethnicity,2959,50.7%,0,0.0%,0,0.0%,0,0.0%,2959,80.1%,34,14.5%,1,2.4%,16,453,21.2%
Unknown Ethnicity,502,8.6%,157,20.2%,260,24.8%,55,21.1%,0,0.0%,14,6.0%,1,2.4%,17,303,14.2%
White,1313,22.5%,330,42.5%,425,40.6%,169,64.8%,380,10.3%,70,29.8%,18,42.9%,18,810,37.9%
Black,192,3.3%,46,5.9%,53,5.1%,15,5.7%,75,2.0%,7,3.0%,0,0.0%,19,93,4.4%
AI/AN,966,16.6%,177,22.8%,183,17.5%,12,4.6%,580,15.7%,62,26.4%,14,33.3%,20,300,14.0%
Asian,136,2.3%,28,3.6%,53,5.1%,8,3.1%,46,1.2%,13,5.5%,3,7.1%,21,84,3.9%
NHOPI,228,3.9%,50,6.4%,68,6.5%,2,0.8%,107,2.9%,42,17.9%,5,11.9%,22,107,5.0%
Multiple,193,3.3%,32,4.1%,38,3.6%,10,3.8%,111,3.0%,4,1.7%,0,0.0%,23,72,3.4%
Other,171,2.9%,15,1.9%,29,2.8%,10,3.8%,116,3.1%,7,3.0%,0,0.0%,24,56,2.6%
UI Race,2277,39.0%,0,0.0%,0,0.0%,0,0.0%,2277,61.7%,21,8.9%,1,2.4%,25,389,18.2%
Unknown Race,357,6.1%,98,12.6%,198,18.9%,35,13.4%,0,0.0%,9,3.8%,1,2.4%,26,226,10.6%
