Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,11628,50.0%,739,52.4%,930,50.9%,195,52.8%,9685,49.7%,291,53.1%,60,61.2%,1,3238,49.7%
Female,11600,49.9%,671,47.6%,897,49.1%,174,47.2%,9784,50.2%,257,46.9%,38,38.8%,2,3278,50.3%
Unknown Sex,12,0.1%,0,0.0%,0,0.0%,0,0.0%,12,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,1317,5.7%,30,2.1%,121,6.6%,9,2.4%,1153,5.9%,5,0.9%,0,0.0%,4,330,5.1%
10-19 Years,2771,11.9%,120,8.5%,211,11.5%,54,14.6%,2366,12.1%,4,0.7%,0,0.0%,5,693,10.6%
20-29 Years,4965,21.4%,400,28.4%,474,25.9%,62,16.8%,3990,20.5%,27,4.9%,2,2.0%,6,1560,23.9%
30-39 Years,4434,19.1%,258,18.3%,328,18.0%,76,20.6%,3739,19.2%,45,8.2%,3,3.1%,7,1257,19.3%
40-49 Years,3306,14.2%,214,15.2%,230,12.6%,58,15.7%,2782,14.3%,61,11.1%,6,6.1%,8,867,13.3%
50-59 Years,2943,12.7%,175,12.4%,238,13.0%,48,13.0%,2475,12.7%,93,17.0%,7,7.1%,9,856,13.1%
60-69 Years,2162,9.3%,144,10.2%,131,7.2%,39,10.6%,1834,9.4%,128,23.4%,18,18.4%,10,623,9.6%
70-79 Years,941,4.0%,52,3.7%,61,3.3%,22,6.0%,797,4.1%,107,19.5%,28,28.6%,11,242,3.7%
80+ Years,401,1.7%,17,1.2%,33,1.8%,1,0.3%,345,1.8%,78,14.2%,34,34.7%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1136,4.9%,110,7.8%,171,9.4%,38,10.3%,807,4.1%,28,5.1%,1,1.0%,14,598,9.2%
Non-Hispanic,9673,41.6%,1081,76.7%,1362,74.5%,281,76.2%,6867,35.2%,382,69.7%,81,82.7%,15,4969,76.3%
UI Ethnicity,11807,50.8%,0,0.0%,0,0.0%,0,0.0%,11807,60.6%,122,22.3%,13,13.3%,16,576,8.8%
Unknown Ethnicity,624,2.7%,219,15.5%,294,16.1%,50,13.6%,0,0.0%,16,2.9%,3,3.1%,17,373,5.7%
White,6225,26.8%,630,44.7%,769,42.1%,222,60.2%,4569,23.5%,151,27.6%,32,32.7%,18,2800,43.0%
Black,660,2.8%,89,6.3%,114,6.2%,21,5.7%,429,2.2%,29,5.3%,4,4.1%,19,292,4.5%
AI/AN,5088,21.9%,345,24.5%,407,22.3%,43,11.7%,4244,21.8%,159,29.0%,31,31.6%,20,1473,22.6%
Asian,806,3.5%,70,5.0%,94,5.1%,18,4.9%,621,3.2%,33,6.0%,8,8.2%,21,419,6.4%
NHOPI,731,3.1%,73,5.2%,132,7.2%,4,1.1%,520,2.7%,65,11.9%,9,9.2%,22,392,6.0%
Multiple,1320,5.7%,71,5.0%,88,4.8%,13,3.5%,1141,5.9%,31,5.7%,4,4.1%,23,354,5.4%
Other,1448,6.2%,33,2.3%,48,2.6%,14,3.8%,1352,6.9%,22,4.0%,2,2.0%,24,196,3.0%
UI Race,6605,28.4%,0,0.0%,0,0.0%,0,0.0%,6605,33.9%,50,9.1%,8,8.2%,25,369,5.7%
Unknown Race,357,1.5%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.5%,0,0.0%,26,221,3.4%
