ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,363,50.3%,89,48.9%,148,47.9%,66,57.9%,60,51.3%,35,58.3%,6,50.0%
2,Female,359,49.7%,93,51.1%,161,52.1%,48,42.1%,57,48.7%,25,41.7%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,23,3.2%,2,1.1%,13,4.2%,2,1.8%,6,5.1%,0,0.0%,0,0.0%
5,10-19 Years,54,7.5%,16,8.8%,24,7.8%,3,2.6%,11,9.4%,1,1.7%,0,0.0%
6,20-29 Years,133,18.4%,27,14.8%,66,21.4%,15,13.2%,25,21.4%,3,5.0%,0,0.0%
7,30-39 Years,138,19.1%,39,21.4%,54,17.5%,22,19.3%,23,19.7%,6,10.0%,2,16.7%
8,40-49 Years,111,15.4%,30,16.5%,37,12.0%,21,18.4%,23,19.7%,3,5.0%,0,0.0%
9,50-59 Years,122,16.9%,31,17.0%,63,20.4%,19,16.7%,9,7.7%,10,16.7%,1,8.3%
10,60-69 Years,81,11.2%,21,11.5%,31,10.0%,19,16.7%,10,8.5%,11,18.3%,1,8.3%
11,70-79 Years,43,6.0%,12,6.6%,13,4.2%,12,10.5%,6,5.1%,19,31.7%,6,50.0%
12,80+ Years,17,2.4%,4,2.2%,8,2.6%,1,0.9%,4,3.4%,7,11.7%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,50,6.9%,10,5.5%,28,9.1%,10,8.8%,2,1.7%,5,8.3%,0,0.0%
15,Non-Hispanic,563,78.0%,160,87.9%,267,86.4%,97,85.1%,39,33.3%,53,88.3%,12,100.0%
16,Unknown Ethnicity,109,15.1%,12,6.6%,14,4.5%,7,6.1%,76,65.0%,2,3.3%,0,0.0%
17,White,414,57.3%,112,61.5%,188,60.8%,92,80.7%,22,18.8%,36,60.0%,7,58.3%
18,Black,19,2.6%,7,3.8%,5,1.6%,5,4.4%,2,1.7%,0,0.0%,0,0.0%
19,AI/AN,81,11.2%,29,15.9%,33,10.7%,1,0.9%,18,15.4%,7,11.7%,2,16.7%
20,Asian,58,8.0%,12,6.6%,40,12.9%,4,3.5%,2,1.7%,8,13.3%,2,16.7%
21,NHOPI,18,2.5%,4,2.2%,12,3.9%,1,0.9%,1,0.9%,5,8.3%,1,8.3%
22,Multiple,24,3.3%,10,5.5%,11,3.6%,3,2.6%,0,0.0%,0,0.0%,0,0.0%
23,Other,16,2.2%,2,1.1%,9,2.9%,4,3.5%,1,0.9%,4,6.7%,0,0.0%
24,Unknown Race,92,12.7%,6,3.3%,11,3.6%,4,3.5%,71,60.7%,0,0.0%,0,0.0%
25,Grand Total,722,100.0%,182,100.0%,309,100.0%,114,100.0%,117,100.0%,60,100.0%,12,100.0%
