Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27254,51.9%,870,52.0%,1076,51.3%,224,52.7%,24701,51.9%,651,55.2%,158,60.8%,1
Female,25213,48.1%,804,48.0%,1020,48.7%,201,47.3%,22847,48.0%,528,44.8%,102,39.2%,2
Unknown Sex,3,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0.0%,0,0.0%,0,0.0%,3
<10 Years,3442,6.6%,38,2.3%,149,7.1%,14,3.3%,3216,6.8%,10,0.8%,0,0.0%,4
10-19 Years,6274,12.0%,144,8.6%,256,12.2%,62,14.6%,5737,12.1%,9,0.8%,0,0.0%,5
20-29 Years,10883,20.7%,436,26.0%,507,24.2%,70,16.5%,9723,20.4%,52,4.4%,3,1.2%,6
30-39 Years,9989,19.0%,289,17.3%,362,17.3%,81,19.1%,9124,19.2%,92,7.8%,6,2.3%,7
40-49 Years,7242,13.8%,247,14.8%,255,12.2%,68,16.0%,6586,13.9%,107,9.1%,10,3.8%,8
50-59 Years,6785,12.9%,210,12.5%,262,12.5%,59,13.9%,6169,13.0%,193,16.4%,18,6.9%,9
60-69 Years,4832,9.2%,178,10.6%,152,7.3%,48,11.3%,4356,9.2%,262,22.2%,52,20.0%,10
70-79 Years,2121,4.0%,86,5.1%,91,4.3%,21,4.9%,1873,3.9%,264,22.4%,83,31.9%,11
80+ Years,902,1.7%,46,2.7%,62,3.0%,2,0.5%,767,1.6%,190,16.1%,88,33.8%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2789,5.3%,126,7.5%,186,8.9%,44,10.4%,2406,5.1%,62,5.3%,11,4.2%,14
Non-Hispanic,27230,51.9%,1323,79.0%,1616,77.1%,327,76.9%,23700,49.8%,888,75.3%,242,93.1%,15
UI Ethnicity,21445,40.9%,0,0.0%,0,0.0%,0,0.0%,21445,45.1%,210,17.8%,7,2.7%,16
Unknown Ethnicity,1006,1.9%,225,13.4%,294,14.0%,54,12.7%,0,0.0%,19,1.6%,0,0.0%,17
White,16236,30.9%,740,44.2%,878,41.9%,261,61.4%,14162,29.8%,390,33.1%,105,40.4%,18
Black,1316,2.5%,94,5.6%,116,5.5%,21,4.9%,1070,2.3%,46,3.9%,9,3.5%,19
AI/AN,11373,21.7%,469,28.0%,541,25.8%,51,12.0%,10196,21.4%,319,27.1%,99,38.1%,20
Asian,2080,4.0%,80,4.8%,104,5.0%,19,4.5%,1853,3.9%,111,9.4%,27,10.4%,21
NHOPI,1416,2.7%,77,4.6%,139,6.6%,4,0.9%,1190,2.5%,120,10.2%,16,6.2%,22
Multiple,4092,7.8%,77,4.6%,94,4.5%,14,3.3%,3877,8.2%,68,5.8%,3,1.2%,23
Other,6493,12.4%,44,2.6%,57,2.7%,16,3.8%,6247,13.1%,50,4.2%,0,0.0%,24
UI Race,8956,17.1%,0,0.0%,0,0.0%,0,0.0%,8956,18.8%,67,5.7%,1,0.4%,25
Unknown Race,508,1.0%,93,5.6%,167,8.0%,39,9.2%,0,0.0%,8,0.7%,0,0.0%,26
