,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=692,791",,"N=110,931",,"N=8,296",,"N=2,168",
0-4,20870,3%,2441,2%,71,1%,<5,--
5-9,27170,4%,3012,3%,18,<1%,0,0%
10-14,28508,4%,3979,4%,33,<1%,<5,--
15-18,35378,5%,5218,5%,48,1%,0,0%
19-24,76804,11%,12229,11%,203,2%,<5,--
25-29,59023,9%,9986,9%,248,3%,<5,--
30-39,104137,15%,17494,16%,503,6%,11,1%
40-49,84950,12%,15077,14%,710,9%,29,1%
50-59,99709,14%,16762,15%,1179,14%,89,4%
60-69,82690,12%,12004,11%,1613,19%,262,12%
70-79,44632,6%,6300,6%,1697,20%,485,22%
80-89,19771,3%,4076,4%,1363,16%,695,32%
90+,8170,1%,2348,2%,609,7%,588,27%
Pending further information,979,--,5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,50658,17%,29012,30%,1784,27%,182,10%
American Indian or Alaska Native*,4572,2%,255,<1%,13,<1%,<5,--
Asian*,7857,3%,2068,2%,147,2%,34,2%
Black or African American*,17007,6%,7225,8%,563,9%,99,5%
Native Hawaiian or Other Pacific Islander*,499,<1%,0,0%,0,0%,0,0%
White*,201590,66%,53520,56%,3820,58%,1600,84%
Other race*,19090,6%,2133,2%,196,3%,<5,--
Multiple race*,2407,1%,1070,1%,30,<1%,<5,--
Declined,7957,--,2156,--,88,--,0,--
Unknown or pending further information,381154,--,13492,--,1655,--,248,--
Sex Assigned at Birth,,,,,,,,
Female,336840,54%,56607,53%,3926,50%,1116,51%
Male,284054,46%,49413,47%,3961,50%,1051,49%
Other,177,<1%,147,<1%,25,<1%,<5,--
Pending further information,71719,--,4764,--,384,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,2556,5%,80,3%,--,--
No,--,--,54178,95%,2732,97%,--,--
Unknown or pending,--,--,54197,--,5484,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,34955,53%,4124,50%,--,--
Cisgender man,--,--,30161,46%,4162,50%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,428,1%,0,0%,--,--
Other,--,--,196,<1%,<5,--,--,--
Declined,--,--,18236,--,0,--,--,--
Unknown or pending,--,--,26955,--,7,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,34,<1%,<5,--,--,--
Bisexual,--,--,526,1%,5,<1%,--,--
Lesbian or gay,--,--,956,2%,35,1%,--,--
Queer,--,--,109,<1%,<5,--,--,--
Straight,--,--,56690,96%,2860,98%,--,--
Other,--,--,526,1%,12,<1%,--,--
Declined,--,--,22735,--,1649,--,--,--
Unknown or pending,--,--,29355,--,3732,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,2/3/2021,,,,,,,
