Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27500,51.9%,883,52.0%,1096,51.5%,228,53.0%,24906,51.9%,652,55.2%,168,60.6%,1
Female,25451,48.1%,816,48.0%,1031,48.5%,202,47.0%,23061,48.1%,530,44.8%,109,39.4%,2
Unknown Sex,5,0.0%,0,0.0%,0,0.0%,0,0.0%,5,0.0%,0,0.0%,0,0.0%,3
<10 Years,3483,6.6%,38,2.2%,155,7.3%,14,3.3%,3251,6.8%,10,0.8%,0,0.0%,4
10-19 Years,6354,12.0%,145,8.5%,259,12.2%,63,14.7%,5811,12.1%,9,0.8%,0,0.0%,5
20-29 Years,10975,20.7%,449,26.4%,516,24.3%,73,17.0%,9790,20.4%,50,4.2%,3,1.1%,6
30-39 Years,10069,19.0%,294,17.3%,366,17.2%,81,18.8%,9196,19.2%,92,7.8%,6,2.2%,7
40-49 Years,7312,13.8%,250,14.7%,256,12.0%,68,15.8%,6650,13.9%,110,9.3%,11,4.0%,8
50-59 Years,6849,12.9%,212,12.5%,264,12.4%,59,13.7%,6227,13.0%,193,16.3%,21,7.6%,9
60-69 Years,4869,9.2%,179,10.5%,154,7.2%,49,11.4%,4389,9.1%,262,22.2%,54,19.5%,10
70-79 Years,2140,4.0%,86,5.1%,93,4.4%,21,4.9%,1890,3.9%,265,22.4%,86,31.0%,11
80+ Years,905,1.7%,46,2.7%,64,3.0%,2,0.5%,768,1.6%,191,16.2%,96,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2796,5.3%,127,7.5%,188,8.8%,44,10.2%,2410,5.0%,62,5.2%,12,4.3%,14
Non-Hispanic,27400,51.7%,1344,79.1%,1640,77.1%,330,76.7%,23820,49.7%,893,75.5%,258,93.1%,15
UI Ethnicity,21742,41.1%,0,0.0%,0,0.0%,0,0.0%,21742,45.3%,208,17.6%,7,2.5%,16
Unknown Ethnicity,1018,1.9%,228,13.4%,299,14.1%,56,13.0%,0,0.0%,19,1.6%,0,0.0%,17
White,16351,30.9%,747,44.0%,891,41.9%,266,61.9%,14251,29.7%,390,33.0%,114,41.2%,18
Black,1323,2.5%,94,5.5%,117,5.5%,21,4.9%,1076,2.2%,46,3.9%,9,3.2%,19
AI/AN,11481,21.7%,480,28.3%,543,25.5%,51,11.9%,10291,21.5%,320,27.1%,103,37.2%,20
Asian,2097,4.0%,81,4.8%,111,5.2%,19,4.4%,1862,3.9%,112,9.5%,29,10.5%,21
NHOPI,1420,2.7%,79,4.6%,144,6.8%,4,0.9%,1187,2.5%,121,10.2%,16,5.8%,22
Multiple,4125,7.8%,79,4.6%,96,4.5%,14,3.3%,3905,8.1%,68,5.8%,4,1.4%,23
Other,6530,12.3%,46,2.7%,56,2.6%,16,3.7%,6281,13.1%,50,4.2%,1,0.4%,24
UI Race,9119,17.2%,0,0.0%,0,0.0%,0,0.0%,9119,19.0%,67,5.7%,1,0.4%,25
Unknown Race,510,1.0%,93,5.5%,169,7.9%,39,9.1%,0,0.0%,8,0.7%,0,0.0%,26
