Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,All Ages,421378,3509397,374722,199396,8808,604353,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,Under 1 year,44,19044,205,7,21,263,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,0-17 years,186,33504,558,32,176,888,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,1-4 years,23,3470,122,3,59,201,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,5-14 years,67,5623,157,13,75,286,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,15-24 years,601,36171,759,224,81,1212,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,18-29 years,1480,63878,1760,631,147,2745,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,25-34 years,2677,74513,2819,1206,233,4506,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,30-49 years,16317,226107,14747,7700,803,24079,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,35-44 years,7057,106497,6519,3242,354,10654,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,45-54 years,19454,195929,17478,9671,764,27913,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,50-64 years,61071,571582,58331,31292,2083,89886,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,55-64 years,49131,453824,47337,25289,1622,72563,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,65-74 years,89896,698926,84679,46749,1883,129427,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,75-84 years,117104,856102,105607,57895,1911,166469,
02/03/2021,01/01/2020,01/30/2021,United States,All Sexes,85 years and over,135324,1059298,109040,55097,1805,190859,
02/03/2021,01/01/2020,01/30/2021,United States,Male,All Ages,228825,1834618,208471,114501,4551,326632,
02/03/2021,01/01/2020,01/30/2021,United States,Male,Under 1 year,30,10536,121,5,10,156,
02/03/2021,01/01/2020,01/30/2021,United States,Male,0-17 years,109,19710,307,18,97,495,
02/03/2021,01/01/2020,01/30/2021,United States,Male,1-4 years,14,2001,58,2,38,108,
02/03/2021,01/01/2020,01/30/2021,United States,Male,5-14 years,38,3351,86,10,37,151,
02/03/2021,01/01/2020,01/30/2021,United States,Male,15-24 years,362,26761,457,131,38,722,
02/03/2021,01/01/2020,01/30/2021,United States,Male,18-29 years,926,46774,1058,368,75,1683,
02/03/2021,01/01/2020,01/30/2021,United States,Male,25-34 years,1712,52565,1715,748,114,2782,
02/03/2021,01/01/2020,01/30/2021,United States,Male,30-49 years,10814,147889,9121,5090,427,15210,
02/03/2021,01/01/2020,01/30/2021,United States,Male,35-44 years,4664,69820,4039,2148,185,6715,
02/03/2021,01/01/2020,01/30/2021,United States,Male,45-54 years,13019,123007,10860,6465,446,17783,
02/03/2021,01/01/2020,01/30/2021,United States,Male,50-64 years,39456,353145,35763,20135,1203,56077,
02/03/2021,01/01/2020,01/30/2021,United States,Male,55-64 years,31466,279477,28913,16102,934,45048,
02/03/2021,01/01/2020,01/30/2021,United States,Male,65-74 years,55160,406425,51278,29064,1051,78239,
02/03/2021,01/01/2020,01/30/2021,United States,Male,75-84 years,65636,446966,60374,33795,962,93030,
02/03/2021,01/01/2020,01/30/2021,United States,Male,85 years and over,56724,413709,50570,26031,736,81898,
02/03/2021,01/01/2020,01/30/2021,United States,Female,All Ages,192545,1674673,166245,84890,4257,277712,
02/03/2021,01/01/2020,01/30/2021,United States,Female,Under 1 year,14,8475,84,2,11,107,
02/03/2021,01/01/2020,01/30/2021,United States,Female,0-17 years,77,13760,251,14,79,393,
02/03/2021,01/01/2020,01/30/2021,United States,Female,1-4 years,9,1469,64,1,21,93,
02/03/2021,01/01/2020,01/30/2021,United States,Female,5-14 years,29,2272,71,3,38,135,
02/03/2021,01/01/2020,01/30/2021,United States,Female,15-24 years,239,9408,302,93,43,490,
02/03/2021,01/01/2020,01/30/2021,United States,Female,18-29 years,554,17101,702,263,72,1062,
02/03/2021,01/01/2020,01/30/2021,United States,Female,25-34 years,965,21944,1104,458,119,1724,
02/03/2021,01/01/2020,01/30/2021,United States,Female,30-49 years,5503,78212,5626,2610,376,8869,
02/03/2021,01/01/2020,01/30/2021,United States,Female,35-44 years,2393,36674,2480,1094,169,3939,
02/03/2021,01/01/2020,01/30/2021,United States,Female,45-54 years,6434,72918,6617,3205,318,10129,
02/03/2021,01/01/2020,01/30/2021,United States,Female,50-64 years,21614,218426,22567,11156,880,33808,
02/03/2021,01/01/2020,01/30/2021,United States,Female,55-64 years,17665,174339,18424,9187,688,27515,
02/03/2021,01/01/2020,01/30/2021,United States,Female,65-74 years,34734,292492,33400,17684,832,51186,
02/03/2021,01/01/2020,01/30/2021,United States,Female,75-84 years,51465,409124,45230,24098,949,73435,
02/03/2021,01/01/2020,01/30/2021,United States,Female,85 years and over,78598,645558,58469,29065,1069,108959,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,All Ages,8,106,6,5,0,9,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,Under 1 year,0,33,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,0-17 years,0,34,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,15-24 years,0,2,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,18-29 years,0,3,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,25-34 years,0,4,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,30-49 years,0,6,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,35-44 years,0,3,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,45-54 years,1,4,1,1,0,1,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,50-64 years,1,11,1,1,0,1,
