Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26621,52.0%,847,52.1%,1047,51.5%,224,53.2%,24135,52.0%,642,55.3%,154,61.1%,1
Female,24573,48.0%,780,47.9%,986,48.5%,197,46.8%,22283,48.0%,518,44.7%,98,38.9%,2
Unknown Sex,10,0.0%,0,0.0%,0,0.0%,0,0.0%,10,0.0%,0,0.0%,0,0.0%,3
<10 Years,3322,6.5%,35,2.2%,141,6.9%,14,3.3%,3108,6.7%,10,0.9%,0,0.0%,4
10-19 Years,6096,11.9%,136,8.4%,247,12.1%,61,14.5%,5580,12.0%,9,0.8%,0,0.0%,5
20-29 Years,10641,20.8%,430,26.4%,498,24.5%,69,16.4%,9502,20.5%,53,4.6%,3,1.2%,6
30-39 Years,9767,19.1%,286,17.6%,356,17.5%,81,19.2%,8913,19.2%,91,7.8%,6,2.4%,7
40-49 Years,7086,13.8%,238,14.6%,251,12.3%,67,15.9%,6447,13.9%,105,9.1%,9,3.6%,8
50-59 Years,6623,12.9%,202,12.4%,259,12.7%,57,13.5%,6025,13.0%,191,16.5%,18,7.1%,9
60-69 Years,4719,9.2%,174,10.7%,143,7.0%,47,11.2%,4260,9.2%,256,22.1%,49,19.4%,10
70-79 Years,2071,4.0%,82,5.0%,86,4.2%,23,5.5%,1836,4.0%,261,22.5%,81,32.1%,11
80+ Years,879,1.7%,44,2.7%,52,2.6%,2,0.5%,757,1.6%,184,15.9%,86,34.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2757,5.4%,123,7.6%,181,8.9%,44,10.5%,2382,5.1%,59,5.1%,11,4.4%,14
Non-Hispanic,26753,52.2%,1288,79.2%,1575,77.5%,325,77.2%,23322,50.2%,874,75.3%,235,93.3%,15
UI Ethnicity,20724,40.5%,0,0.0%,0,0.0%,0,0.0%,20724,44.6%,207,17.8%,6,2.4%,16
Unknown Ethnicity,970,1.9%,216,13.3%,277,13.6%,52,12.4%,0,0.0%,20,1.7%,0,0.0%,17
White,15955,31.2%,727,44.7%,864,42.5%,259,61.5%,13927,30.0%,380,32.8%,102,40.5%,18
Black,1297,2.5%,93,5.7%,116,5.7%,21,5.0%,1052,2.3%,46,4.0%,9,3.6%,19
AI/AN,10966,21.4%,440,27.0%,503,24.7%,52,12.4%,9860,21.2%,313,27.0%,95,37.7%,20
Asian,2043,4.0%,80,4.9%,101,5.0%,19,4.5%,1820,3.9%,112,9.7%,27,10.7%,21
NHOPI,1405,2.7%,77,4.7%,139,6.8%,4,1.0%,1180,2.5%,120,10.3%,16,6.3%,22
Multiple,4019,7.8%,74,4.5%,93,4.6%,14,3.3%,3808,8.2%,69,5.9%,2,0.8%,23
Other,6418,12.5%,42,2.6%,55,2.7%,16,3.8%,6180,13.3%,47,4.1%,0,0.0%,24
UI Race,8601,16.8%,0,0.0%,0,0.0%,0,0.0%,8601,18.5%,64,5.5%,1,0.4%,25
Unknown Race,500,1.0%,94,5.8%,162,8.0%,36,8.6%,0,0.0%,9,0.8%,0,0.0%,26
