Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,9858,50.0%,738,52.4%,929,50.9%,195,53.0%,7925,49.6%,264,53.3%,55,59.8%,1,3236,49.7%
Female,9831,49.9%,670,47.6%,896,49.1%,173,47.0%,8031,50.3%,231,46.7%,37,40.2%,2,3275,50.3%
Unknown Sex,23,0.1%,0,0.0%,0,0.0%,0,0.0%,23,0.1%,0,0.0%,0,0.0%,3,1,0.0%
<10 Years,1096,5.6%,30,2.1%,121,6.6%,9,2.4%,933,5.8%,5,1.0%,0,0.0%,4,329,5.1%
10-19 Years,2338,11.9%,120,8.5%,211,11.6%,54,14.7%,1933,12.1%,3,0.6%,0,0.0%,5,693,10.6%
20-29 Years,4249,21.6%,399,28.3%,473,25.9%,62,16.8%,3281,20.5%,26,5.3%,1,1.1%,6,1559,23.9%
30-39 Years,3730,18.9%,258,18.3%,328,18.0%,75,20.4%,3044,19.1%,41,8.3%,2,2.2%,7,1255,19.3%
40-49 Years,2792,14.2%,214,15.2%,229,12.5%,58,15.8%,2271,14.2%,58,11.7%,6,6.5%,8,867,13.3%
50-59 Years,2520,12.8%,174,12.4%,238,13.0%,48,13.0%,2053,12.8%,84,17.0%,7,7.6%,9,855,13.1%
60-69 Years,1843,9.3%,144,10.2%,131,7.2%,39,10.6%,1517,9.5%,114,23.0%,17,18.5%,10,623,9.6%
70-79 Years,806,4.1%,52,3.7%,61,3.3%,22,6.0%,663,4.1%,96,19.4%,28,30.4%,11,243,3.7%
80+ Years,338,1.7%,17,1.2%,33,1.8%,1,0.3%,284,1.8%,68,13.7%,31,33.7%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1037,5.3%,110,7.8%,171,9.4%,38,10.3%,711,4.4%,26,5.3%,1,1.1%,14,597,9.2%
Non-Hispanic,8532,43.3%,1079,76.6%,1360,74.5%,280,76.1%,5744,35.9%,351,70.9%,77,83.7%,15,4967,76.3%
UI Ethnicity,9524,48.3%,0,0.0%,0,0.0%,0,0.0%,9524,59.6%,102,20.6%,11,12.0%,16,574,8.8%
Unknown Ethnicity,619,3.1%,219,15.6%,294,16.1%,50,13.6%,0,0.0%,16,3.2%,3,3.3%,17,374,5.7%
White,5388,27.3%,629,44.7%,767,42.0%,221,60.1%,3743,23.4%,136,27.5%,31,33.7%,18,2798,43.0%
Black,584,3.0%,89,6.3%,114,6.2%,21,5.7%,355,2.2%,26,5.3%,3,3.3%,19,292,4.5%
AI/AN,4534,23.0%,344,24.4%,407,22.3%,43,11.7%,3696,23.1%,143,28.9%,30,32.6%,20,1473,22.6%
Asian,730,3.7%,70,5.0%,94,5.2%,18,4.9%,546,3.4%,30,6.1%,8,8.7%,21,419,6.4%
NHOPI,673,3.4%,73,5.2%,132,7.2%,4,1.1%,462,2.9%,63,12.7%,9,9.8%,22,392,6.0%
Multiple,1102,5.6%,71,5.0%,88,4.8%,13,3.5%,925,5.8%,28,5.7%,4,4.3%,23,353,5.4%
Other,1074,5.4%,33,2.3%,48,2.6%,14,3.8%,978,6.1%,19,3.8%,1,1.1%,24,196,3.0%
UI Race,5274,26.8%,0,0.0%,0,0.0%,0,0.0%,5274,33.0%,42,8.5%,6,6.5%,25,367,5.6%
Unknown Race,353,1.8%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.6%,0,0.0%,26,222,3.4%
