Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28854,52.0%,924,52.3%,1129,51.3%,235,53.7%,26155,52.0%,670,55.2%,173,60.3%,1
Female,26646,48.0%,842,47.7%,1071,48.7%,203,46.3%,24173,48.0%,543,44.8%,114,39.7%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3743,6.7%,39,2.2%,159,7.2%,14,3.2%,3501,7.0%,11,0.9%,0,0.0%,4
10-19 Years,6780,12.2%,146,8.3%,264,12.0%,64,14.6%,6222,12.4%,9,0.7%,0,0.0%,5
20-29 Years,11398,20.5%,466,26.4%,533,24.2%,76,17.4%,10171,20.2%,49,4.0%,3,1.0%,6
30-39 Years,10530,19.0%,304,17.2%,377,17.1%,83,18.9%,9631,19.1%,95,7.8%,6,2.1%,7
40-49 Years,7641,13.8%,266,15.1%,269,12.2%,68,15.5%,6944,13.8%,114,9.4%,11,3.8%,8
50-59 Years,7162,12.9%,223,12.6%,272,12.4%,60,13.7%,6516,12.9%,195,16.1%,20,7.0%,9
60-69 Years,5084,9.2%,186,10.5%,161,7.3%,49,11.2%,4582,9.1%,269,22.2%,58,20.2%,10
70-79 Years,2228,4.0%,88,5.0%,94,4.3%,22,5.0%,1973,3.9%,271,22.3%,87,30.3%,11
80+ Years,941,1.7%,48,2.7%,71,3.2%,2,0.5%,795,1.6%,200,16.5%,102,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2844,5.1%,133,7.5%,195,8.9%,46,10.5%,2443,4.9%,62,5.1%,12,4.2%,14
Non-Hispanic,28189,50.8%,1391,78.8%,1700,77.3%,336,76.7%,24475,48.6%,913,75.3%,268,93.4%,15
UI Ethnicity,23417,42.2%,0,0.0%,0,0.0%,0,0.0%,23417,46.5%,219,18.1%,5,1.7%,16
Unknown Ethnicity,1057,1.9%,242,13.7%,305,13.9%,56,12.8%,0,0.0%,19,1.6%,2,0.7%,17
White,16986,30.6%,778,44.1%,920,41.8%,271,61.9%,14813,29.4%,403,33.2%,122,42.5%,18
Black,1363,2.5%,96,5.4%,117,5.3%,21,4.8%,1112,2.2%,45,3.7%,9,3.1%,19
AI/AN,12012,21.6%,495,28.0%,560,25.5%,52,11.9%,10783,21.4%,327,27.0%,104,36.2%,20
Asian,2195,4.0%,88,5.0%,124,5.6%,19,4.3%,1937,3.8%,117,9.6%,29,10.1%,21
NHOPI,1464,2.6%,79,4.5%,149,6.8%,4,0.9%,1224,2.4%,122,10.1%,16,5.6%,22
Multiple,4289,7.7%,82,4.6%,97,4.4%,15,3.4%,4063,8.1%,67,5.5%,4,1.4%,23
Other,6757,12.2%,51,2.9%,61,2.8%,16,3.7%,6492,12.9%,51,4.2%,1,0.3%,24
UI Race,9911,17.9%,0,0.0%,0,0.0%,0,0.0%,9911,19.7%,72,5.9%,1,0.3%,25
Unknown Race,530,1.0%,97,5.5%,172,7.8%,40,9.1%,0,0.0%,9,0.7%,1,0.3%,26
