ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,381,50.5%,94,49.7%,151,47.5%,69,59.0%,67,51.1%,36,59.0%,6,50.0%
2,Female,374,49.5%,95,50.3%,167,52.5%,48,41.0%,64,48.9%,25,41.0%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,23,3.0%,2,1.1%,13,4.1%,2,1.7%,6,4.6%,0,0.0%,0,0.0%
5,10-19 Years,56,7.4%,16,8.5%,25,7.9%,3,2.6%,12,9.2%,1,1.6%,0,0.0%
6,20-29 Years,141,18.7%,28,14.8%,67,21.1%,15,12.8%,31,23.7%,3,4.9%,0,0.0%
7,30-39 Years,147,19.5%,40,21.2%,55,17.3%,23,19.7%,29,22.1%,6,9.8%,2,16.7%
8,40-49 Years,117,15.5%,31,16.4%,39,12.3%,21,17.9%,26,19.8%,3,4.9%,0,0.0%
9,50-59 Years,125,16.6%,31,16.4%,65,20.4%,19,16.2%,10,7.6%,10,16.4%,1,8.3%
10,60-69 Years,84,11.1%,22,11.6%,32,10.1%,20,17.1%,10,7.6%,11,18.0%,1,8.3%
11,70-79 Years,45,6.0%,14,7.4%,14,4.4%,13,11.1%,4,3.1%,20,32.8%,6,50.0%
12,80+ Years,17,2.3%,5,2.6%,8,2.5%,1,0.9%,3,2.3%,7,11.5%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,52,6.9%,11,5.8%,29,9.1%,10,8.5%,2,1.5%,5,8.2%,0,0.0%
15,Non-Hispanic,578,76.6%,165,87.3%,274,86.2%,100,85.5%,39,29.8%,54,88.5%,12,100.0%
16,Unknown Ethnicity,125,16.6%,13,6.9%,15,4.7%,7,6.0%,90,68.7%,2,3.3%,0,0.0%
17,White,430,57.0%,118,62.4%,194,61.0%,94,80.3%,24,18.3%,37,60.7%,7,58.3%
18,Black,19,2.5%,7,3.7%,6,1.9%,5,4.3%,1,0.8%,0,0.0%,0,0.0%
19,AI/AN,83,11.0%,30,15.9%,34,10.7%,1,0.9%,18,13.7%,7,11.5%,2,16.7%
20,Asian,58,7.7%,12,6.3%,40,12.6%,5,4.3%,1,0.8%,8,13.1%,2,16.7%
21,NHOPI,18,2.4%,4,2.1%,12,3.8%,1,0.9%,1,0.8%,5,8.2%,1,8.3%
22,Multiple,26,3.4%,10,5.3%,11,3.5%,3,2.6%,2,1.5%,0,0.0%,0,0.0%
23,Other,16,2.1%,2,1.1%,9,2.8%,4,3.4%,1,0.8%,4,6.6%,0,0.0%
24,Unknown Race,105,13.9%,6,3.2%,12,3.8%,4,3.4%,83,63.4%,0,0.0%,0,0.0%
25,Grand Total,755,100.0%,189,100.0%,318,100.0%,117,100.0%,131,100.0%,61,100.0%,12,100.0%
