Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26235,52.0%,835,51.9%,1041,51.5%,221,53.5%,23781,52.0%,631,55.8%,140,61.4%,1
Female,24206,48.0%,774,48.1%,982,48.5%,192,46.5%,21942,48.0%,499,44.2%,88,38.6%,2
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,6,0.0%,0,0.0%,0,0.0%,3
<10 Years,3251,6.4%,35,2.2%,141,7.0%,14,3.4%,3037,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5998,11.9%,136,8.5%,247,12.2%,60,14.5%,5484,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10482,20.8%,429,26.7%,497,24.6%,67,16.2%,9349,20.4%,52,4.6%,3,1.3%,6
30-39 Years,9638,19.1%,286,17.8%,356,17.6%,81,19.6%,8788,19.2%,89,7.9%,6,2.6%,7
40-49 Years,6994,13.9%,237,14.7%,251,12.4%,65,15.7%,6358,13.9%,104,9.2%,8,3.5%,8
50-59 Years,6513,12.9%,202,12.6%,256,12.7%,54,13.1%,5923,13.0%,189,16.7%,18,7.9%,9
60-69 Years,4659,9.2%,169,10.5%,143,7.1%,47,11.4%,4209,9.2%,250,22.1%,41,18.0%,10
70-79 Years,2045,4.1%,75,4.7%,84,4.2%,23,5.6%,1823,4.0%,250,22.1%,71,31.1%,11
80+ Years,867,1.7%,40,2.5%,48,2.4%,2,0.5%,758,1.7%,177,15.7%,81,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2732,5.4%,122,7.6%,181,8.9%,44,10.7%,2359,5.2%,58,5.1%,10,4.4%,14
Non-Hispanic,26466,52.5%,1271,79.0%,1566,77.4%,317,76.8%,23084,50.5%,850,75.2%,212,93.0%,15
UI Ethnicity,20286,40.2%,0,0.0%,0,0.0%,0,0.0%,20286,44.4%,202,17.9%,5,2.2%,16
Unknown Ethnicity,963,1.9%,216,13.4%,276,13.6%,52,12.6%,0,0.0%,20,1.8%,1,0.4%,17
White,15770,31.3%,716,44.5%,855,42.3%,253,61.3%,13777,30.1%,369,32.7%,87,38.2%,18
Black,1286,2.5%,93,5.8%,116,5.7%,21,5.1%,1042,2.3%,45,4.0%,9,3.9%,19
AI/AN,10769,21.3%,437,27.2%,501,24.8%,51,12.3%,9675,21.2%,302,26.7%,90,39.5%,20
Asian,2013,4.0%,78,4.8%,101,5.0%,19,4.6%,1793,3.9%,109,9.6%,23,10.1%,21
NHOPI,1394,2.8%,76,4.7%,139,6.9%,4,1.0%,1170,2.6%,121,10.7%,16,7.0%,22
Multiple,3977,7.9%,73,4.5%,93,4.6%,13,3.1%,3768,8.2%,67,5.9%,2,0.9%,23
Other,6352,12.6%,42,2.6%,55,2.7%,16,3.9%,6115,13.4%,47,4.2%,0,0.0%,24
UI Race,8389,16.6%,0,0.0%,0,0.0%,0,0.0%,8389,18.3%,61,5.4%,0,0.0%,25
Unknown Race,497,1.0%,94,5.8%,163,8.1%,36,8.7%,0,0.0%,9,0.8%,1,0.4%,26
