Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26301,52.0%,835,51.9%,1042,51.5%,221,53.5%,23846,52.0%,637,55.9%,141,61.6%,1
Female,24263,48.0%,774,48.1%,982,48.5%,192,46.5%,21999,48.0%,501,44.0%,88,38.4%,2
Unknown Sex,8,0.0%,0,0.0%,0,0.0%,0,0.0%,8,0.0%,1,0.1%,0,0.0%,3
<10 Years,3270,6.5%,35,2.2%,141,7.0%,14,3.4%,3056,6.7%,11,1.0%,0,0.0%,4
10-19 Years,6022,11.9%,136,8.5%,247,12.2%,60,14.5%,5508,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10501,20.8%,429,26.7%,497,24.6%,67,16.2%,9368,20.4%,52,4.6%,3,1.3%,6
30-39 Years,9658,19.1%,286,17.8%,356,17.6%,81,19.6%,8808,19.2%,89,7.8%,6,2.6%,7
40-49 Years,7006,13.9%,237,14.7%,251,12.4%,65,15.7%,6370,13.9%,105,9.2%,8,3.5%,8
50-59 Years,6530,12.9%,202,12.6%,257,12.7%,54,13.1%,5939,13.0%,190,16.7%,18,7.9%,9
60-69 Years,4669,9.2%,169,10.5%,143,7.1%,47,11.4%,4219,9.2%,252,22.1%,42,18.3%,10
70-79 Years,2049,4.1%,75,4.7%,84,4.2%,23,5.6%,1827,4.0%,253,22.2%,71,31.0%,11
80+ Years,867,1.7%,40,2.5%,48,2.4%,2,0.5%,758,1.7%,179,15.7%,81,35.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2734,5.4%,122,7.6%,181,8.9%,44,10.7%,2361,5.1%,58,5.1%,10,4.4%,14
Non-Hispanic,26523,52.4%,1271,79.0%,1566,77.4%,317,76.8%,23141,50.5%,853,74.9%,212,92.6%,15
UI Ethnicity,20351,40.2%,0,0.0%,0,0.0%,0,0.0%,20351,44.4%,208,18.3%,6,2.6%,16
Unknown Ethnicity,964,1.9%,216,13.4%,277,13.7%,52,12.6%,0,0.0%,20,1.8%,1,0.4%,17
White,15795,31.2%,716,44.5%,856,42.3%,253,61.3%,13801,30.1%,372,32.7%,87,38.0%,18
Black,1286,2.5%,93,5.8%,116,5.7%,21,5.1%,1042,2.3%,45,4.0%,9,3.9%,19
AI/AN,10815,21.4%,437,27.2%,501,24.8%,51,12.3%,9721,21.2%,304,26.7%,90,39.3%,20
Asian,2019,4.0%,78,4.8%,101,5.0%,19,4.6%,1799,3.9%,109,9.6%,23,10.0%,21
NHOPI,1395,2.8%,76,4.7%,139,6.9%,4,1.0%,1171,2.6%,121,10.6%,16,7.0%,22
Multiple,3983,7.9%,73,4.5%,93,4.6%,13,3.1%,3774,8.2%,69,6.1%,2,0.9%,23
Other,6370,12.6%,42,2.6%,55,2.7%,16,3.9%,6133,13.4%,47,4.1%,0,0.0%,24
UI Race,8412,16.6%,0,0.0%,0,0.0%,0,0.0%,8412,18.3%,63,5.5%,1,0.4%,25
Unknown Race,497,1.0%,94,5.8%,163,8.1%,36,8.7%,0,0.0%,9,0.8%,1,0.4%,26
