Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,All Ages,217348,2386184,222821,98881,6764,347041,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,Under 1 year,25,13508,126,4,16,163,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,0-17 years,113,23950,368,18,124,587,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,1-4 years,15,2534,81,2,42,136,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,5-14 years,39,4036,114,7,53,199,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,15-24 years,400,25948,520,140,55,831,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,18-29 years,961,45839,1203,396,102,1860,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,25-34 years,1677,52969,1868,742,153,2941,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,30-49 years,9908,158701,9339,4457,572,15283,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,35-44 years,4333,74757,4184,1921,250,6817,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,45-54 years,11476,136615,10938,5408,586,17485,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,50-64 years,34552,394519,36205,16906,1607,55172,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,55-64 years,27569,312642,29284,13553,1250,44330,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,65-74 years,46988,473685,49811,23029,1465,74991,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,75-84 years,57866,576444,61038,27189,1495,92999,
11/04/2020,02/01/2020,10/31/2020,United States,All Sexes,85 years and over,66960,713046,64857,26886,1399,106149,
11/04/2020,02/01/2020,10/31/2020,United States,Male,All Ages,117553,1245527,122428,55970,3489,186879,
11/04/2020,02/01/2020,10/31/2020,United States,Male,Under 1 year,17,7491,74,3,8,96,
11/04/2020,02/01/2020,10/31/2020,United States,Male,0-17 years,66,14125,200,11,65,320,
11/04/2020,02/01/2020,10/31/2020,United States,Male,1-4 years,7,1476,39,1,25,70,
11/04/2020,02/01/2020,10/31/2020,United States,Male,5-14 years,25,2424,58,6,24,101,
11/04/2020,02/01/2020,10/31/2020,United States,Male,15-24 years,244,19225,315,84,27,499,
11/04/2020,02/01/2020,10/31/2020,United States,Male,18-29 years,613,33608,730,235,53,1154,
11/04/2020,02/01/2020,10/31/2020,United States,Male,25-34 years,1094,37438,1151,472,78,1841,
11/04/2020,02/01/2020,10/31/2020,United States,Male,30-49 years,6733,104231,5875,3041,309,9820,
11/04/2020,02/01/2020,10/31/2020,United States,Male,35-44 years,2926,49247,2634,1300,133,4371,
11/04/2020,02/01/2020,10/31/2020,United States,Male,45-54 years,7813,85960,6842,3701,350,11230,
11/04/2020,02/01/2020,10/31/2020,United States,Male,50-64 years,22517,243657,22125,10969,928,34406,
11/04/2020,02/01/2020,10/31/2020,United States,Male,55-64 years,17803,192360,17817,8689,710,27492,
11/04/2020,02/01/2020,10/31/2020,United States,Male,65-74 years,28759,274926,29949,14220,818,45148,
11/04/2020,02/01/2020,10/31/2020,United States,Male,75-84 years,31904,299428,34273,15435,743,51366,
11/04/2020,02/01/2020,10/31/2020,United States,Male,85 years and over,26961,275552,29276,12059,573,44665,
11/04/2020,02/01/2020,10/31/2020,United States,Female,All Ages,99789,1140564,100386,42907,3274,160152,
11/04/2020,02/01/2020,10/31/2020,United States,Female,Under 1 year,8,5994,52,1,8,67,
11/04/2020,02/01/2020,10/31/2020,United States,Female,0-17 years,47,9801,168,7,59,267,
