Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,8405,50.1%,738,52.5%,925,50.9%,195,53.1%,6484,49.7%,240,52.7%,51,60.7%,1,3215,49.7%
Female,8348,49.8%,667,47.5%,894,49.1%,172,46.9%,6564,50.3%,215,47.3%,33,39.3%,2,3260,50.3%
Unknown Sex,11,0.1%,0,0.0%,0,0.0%,0,0.0%,11,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,904,5.4%,30,2.1%,119,6.5%,8,2.2%,744,5.7%,4,0.9%,0,0.0%,4,326,5.0%
10-19 Years,1986,11.8%,120,8.5%,210,11.5%,54,14.7%,1585,12.1%,3,0.7%,0,0.0%,5,690,10.7%
20-29 Years,3633,21.7%,399,28.4%,472,25.9%,62,16.9%,2671,20.5%,23,5.1%,1,1.2%,6,1553,24.0%
30-39 Years,3155,18.8%,257,18.3%,328,18.0%,75,20.4%,2473,18.9%,40,8.8%,2,2.4%,7,1244,19.2%
40-49 Years,2349,14.0%,214,15.2%,227,12.5%,58,15.8%,1832,14.0%,54,11.9%,5,6.0%,8,864,13.3%
50-59 Years,2173,13.0%,173,12.3%,238,13.1%,48,13.1%,1707,13.1%,75,16.5%,7,8.3%,9,853,13.2%
60-69 Years,1587,9.5%,143,10.2%,131,7.2%,39,10.6%,1264,9.7%,104,22.9%,14,16.7%,10,617,9.5%
70-79 Years,683,4.1%,52,3.7%,61,3.4%,22,6.0%,543,4.2%,91,20.0%,27,32.1%,11,240,3.7%
80+ Years,294,1.8%,17,1.2%,33,1.8%,1,0.3%,240,1.8%,61,13.4%,28,33.3%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,948,5.7%,110,7.8%,171,9.4%,38,10.4%,622,4.8%,21,4.6%,1,1.2%,14,597,9.2%
Non-Hispanic,7686,45.8%,1077,76.7%,1358,74.7%,279,76.0%,4915,37.6%,330,72.5%,71,84.5%,15,4941,76.3%
UI Ethnicity,7522,44.9%,0,0.0%,0,0.0%,0,0.0%,7522,57.6%,88,19.3%,9,10.7%,16,568,8.8%
Unknown Ethnicity,608,3.6%,218,15.5%,290,15.9%,50,13.6%,0,0.0%,16,3.5%,3,3.6%,17,369,5.7%
White,4810,28.7%,628,44.7%,767,42.2%,221,60.2%,3167,24.3%,118,25.9%,31,36.9%,18,2795,43.2%
Black,550,3.3%,89,6.3%,114,6.3%,21,5.7%,321,2.5%,22,4.8%,3,3.6%,19,290,4.5%
AI/AN,3815,22.8%,343,24.4%,405,22.3%,42,11.4%,2993,22.9%,141,31.0%,27,32.1%,20,1451,22.4%
Asian,675,4.0%,70,5.0%,94,5.2%,18,4.9%,491,3.8%,29,6.4%,8,9.5%,21,418,6.5%
NHOPI,633,3.8%,73,5.2%,132,7.3%,4,1.1%,422,3.2%,61,13.4%,7,8.3%,22,390,6.0%
Multiple,879,5.2%,71,5.1%,88,4.8%,13,3.5%,702,5.4%,26,5.7%,3,3.6%,23,353,5.5%
Other,775,4.6%,33,2.3%,47,2.6%,14,3.8%,680,5.2%,15,3.3%,1,1.2%,24,196,3.0%
UI Race,4283,25.5%,0,0.0%,0,0.0%,0,0.0%,4283,32.8%,35,7.7%,4,4.8%,25,364,5.6%
Unknown Race,344,2.1%,98,7.0%,172,9.5%,34,9.3%,0,0.0%,8,1.8%,0,0.0%,26,218,3.4%
