FID,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,311,49.8%,82,50.3%,122,47.1%,62,59.0%,45,45.9%,30,58.8%,6,50.0%
2,Female,314,50.2%,81,49.7%,137,52.9%,43,41.0%,53,54.1%,21,41.2%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,19,3.0%,2,1.2%,13,5.0%,1,1.0%,3,3.1%,0,0.0%,0,0.0%
5,10-19 Years,45,7.2%,15,9.2%,23,8.9%,3,2.9%,4,4.1%,1,2.0%,0,0.0%
6,20-29 Years,115,18.4%,24,14.7%,56,21.6%,14,13.3%,21,21.4%,3,5.9%,0,0.0%
7,30-39 Years,123,19.7%,35,21.5%,48,18.5%,21,20.0%,19,19.4%,5,9.8%,2,16.7%
8,40-49 Years,89,14.2%,27,16.6%,26,10.0%,20,19.0%,16,16.3%,2,3.9%,0,0.0%
9,50-59 Years,109,17.4%,28,17.2%,52,20.1%,16,15.2%,13,13.3%,9,17.6%,1,8.3%
10,60-69 Years,71,11.4%,19,11.7%,26,10.0%,17,16.2%,9,9.2%,9,17.6%,1,8.3%
11,70-79 Years,39,6.2%,9,5.5%,12,4.6%,12,11.4%,6,6.1%,17,33.3%,6,50.0%
12,80+ Years,15,2.4%,4,2.5%,3,1.2%,1,1.0%,7,7.1%,5,9.8%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,45,7.2%,10,6.1%,26,10.0%,8,7.6%,1,1.0%,4,7.8%,0,0.0%
15,Non-Hispanic,502,80.3%,144,88.3%,225,86.9%,90,85.7%,43,43.9%,45,88.2%,12,100.0%
16,Unknown Ethnicity,78,12.5%,9,5.5%,8,3.1%,7,6.7%,54,55.1%,2,3.9%,0,0.0%
17,White,367,58.7%,100,61.3%,156,60.2%,85,81.0%,26,26.5%,29,56.9%,7,58.3%
18,Black,17,2.7%,7,4.3%,2,0.8%,5,4.8%,3,3.1%,0,0.0%,0,0.0%
19,AI/AN,69,11.0%,25,15.3%,29,11.2%,1,1.0%,14,14.3%,7,13.7%,2,16.7%
20,Asian,58,9.3%,12,7.4%,39,15.1%,4,3.8%,3,3.1%,7,13.7%,2,16.7%
21,NHOPI,17,2.7%,3,1.8%,10,3.9%,1,1.0%,3,3.1%,4,7.8%,1,8.3%
22,Multiple,24,3.8%,9,5.5%,9,3.5%,3,2.9%,3,3.1%,0,0.0%,0,0.0%
23,Other,12,1.9%,2,1.2%,8,3.1%,2,1.9%,0,0.0%,4,7.8%,0,0.0%
24,Unknown Race,61,9.8%,5,3.1%,6,2.3%,4,3.8%,46,46.9%,0,0.0%,0,0.0%
25,Grand Total,625,100.0%,163,100.0%,259,100.0%,105,100.0%,98,100.0%,51,100.0%,12,100.0%
