Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4025,50.6%,506,53.0%,652,51.0%,145,50.3%,2687,50.1%,159,54.1%,38,66.7%,1,2115,49.1%
Female,3923,49.4%,449,47.0%,626,49.0%,143,49.7%,2677,49.9%,135,45.9%,19,33.3%,2,2195,50.9%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,405,5.1%,16,1.7%,77,6.0%,8,2.8%,303,5.6%,3,1.0%,0,0.0%,4,218,5.1%
10-19 Years,820,10.3%,76,8.0%,128,10.0%,42,14.6%,561,10.5%,2,0.7%,0,0.0%,5,468,10.9%
20-29 Years,1958,24.6%,268,28.1%,346,27.1%,53,18.4%,1277,23.8%,17,5.8%,0,0.0%,6,1051,24.4%
30-39 Years,1499,18.9%,190,19.9%,239,18.7%,56,19.4%,1002,18.7%,26,8.8%,2,3.5%,7,855,19.8%
40-49 Years,1075,13.5%,147,15.4%,150,11.7%,45,15.6%,721,13.4%,40,13.6%,4,7.0%,8,575,13.3%
50-59 Years,1031,13.0%,115,12.0%,173,13.5%,37,12.8%,705,13.1%,54,18.4%,6,10.5%,9,552,12.8%
60-69 Years,713,9.0%,97,10.2%,93,7.3%,29,10.1%,490,9.1%,56,19.0%,10,17.5%,10,387,9.0%
70-79 Years,313,3.9%,36,3.8%,44,3.4%,17,5.9%,213,4.0%,60,20.4%,21,36.8%,11,152,3.5%
80+ Years,134,1.7%,10,1.0%,28,2.2%,1,0.3%,92,1.7%,36,12.2%,14,24.6%,12,52,1.2%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,623,7.8%,79,8.3%,129,10.1%,30,10.4%,378,7.0%,17,5.8%,1,1.8%,14,448,10.4%
Non-Hispanic,4441,55.9%,730,76.4%,932,72.9%,214,74.3%,2531,47.2%,234,79.6%,50,87.7%,15,3198,74.2%
UI Ethnicity,2455,30.9%,0,0.0%,0,0.0%,0,0.0%,2455,45.8%,27,9.2%,1,1.8%,16,411,9.5%
Unknown Ethnicity,429,5.4%,146,15.3%,217,17.0%,44,15.3%,0,0.0%,16,5.4%,5,8.8%,17,253,5.9%
White,2590,32.6%,410,42.9%,538,42.1%,186,64.6%,1439,26.8%,83,28.2%,23,40.4%,18,1907,44.2%
Black,351,4.4%,66,6.9%,91,7.1%,18,6.3%,172,3.2%,8,2.7%,2,3.5%,19,224,5.2%
AI/AN,1728,21.7%,237,24.8%,259,20.3%,20,6.9%,1195,22.3%,92,31.3%,20,35.1%,20,883,20.5%
Asian,341,4.3%,34,3.6%,62,4.9%,9,3.1%,234,4.4%,18,6.1%,4,7.0%,21,226,5.2%
NHOPI,402,5.1%,61,6.4%,97,7.6%,2,0.7%,241,4.5%,50,17.0%,7,12.3%,22,275,6.4%
Multiple,350,4.4%,51,5.3%,53,4.1%,10,3.5%,233,4.3%,12,4.1%,0,0.0%,23,205,4.8%
Other,272,3.4%,21,2.2%,34,2.7%,12,4.2%,204,3.8%,11,3.7%,0,0.0%,24,147,3.4%
UI Race,1646,20.7%,0,0.0%,0,0.0%,0,0.0%,1646,30.7%,11,3.7%,0,0.0%,25,272,6.3%
Unknown Race,268,3.4%,75,7.9%,144,11.3%,31,10.8%,0,0.0%,9,3.1%,1,1.8%,26,171,4.0%
