Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,24808,52.1%,805,52.2%,1002,51.1%,218,53.7%,22438,52.1%,587,55.2%,135,60.8%,1
Female,22822,47.9%,736,47.8%,957,48.9%,188,46.3%,20636,47.9%,476,44.7%,87,39.2%,2
Unknown Sex,30,0.1%,0,0.0%,0,0.0%,0,0.0%,27,0.1%,1,0.1%,0,0.0%,3
<10 Years,3018,6.3%,32,2.1%,135,6.9%,13,3.2%,2815,6.5%,11,1.0%,0,0.0%,4
10-19 Years,5604,11.8%,133,8.6%,230,11.7%,60,14.8%,5111,11.9%,8,0.8%,0,0.0%,5
20-29 Years,9869,20.7%,419,27.2%,488,24.9%,65,16.0%,8759,20.3%,48,4.5%,3,1.4%,6
30-39 Years,9163,19.2%,274,17.8%,340,17.4%,81,20.0%,8345,19.4%,88,8.3%,5,2.3%,7
40-49 Years,6652,14.0%,228,14.8%,246,12.6%,64,15.8%,6032,14.0%,98,9.2%,8,3.6%,8
50-59 Years,6164,12.9%,192,12.5%,253,12.9%,53,13.1%,5592,13.0%,171,16.1%,18,8.1%,9
60-69 Years,4412,9.3%,161,10.4%,140,7.1%,45,11.1%,3980,9.2%,235,22.1%,41,18.5%,10
70-79 Years,1947,4.1%,65,4.2%,80,4.1%,23,5.7%,1741,4.0%,238,22.4%,68,30.6%,11
80+ Years,831,1.7%,37,2.4%,47,2.4%,2,0.5%,726,1.7%,167,15.7%,79,35.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2500,5.2%,120,7.8%,180,9.2%,42,10.3%,2133,4.9%,52,4.9%,9,4.1%,14
Non-Hispanic,23815,50.0%,1215,78.8%,1514,77.3%,312,76.8%,20555,47.7%,789,74.2%,208,93.7%,15
UI Ethnicity,20413,42.8%,0,0.0%,0,0.0%,0,0.0%,20413,47.4%,205,19.3%,3,1.4%,16
Unknown Ethnicity,932,2.0%,206,13.4%,265,13.5%,52,12.8%,0,0.0%,18,1.7%,2,0.9%,17
White,14421,30.3%,692,44.9%,833,42.5%,248,61.1%,12483,29.0%,342,32.1%,83,37.4%,18
Black,1218,2.6%,92,6.0%,116,5.9%,21,5.2%,975,2.3%,40,3.8%,9,4.1%,19
AI/AN,9824,20.6%,402,26.1%,466,23.8%,48,11.8%,8811,20.4%,279,26.2%,83,37.4%,20
Asian,1868,3.9%,75,4.9%,100,5.1%,19,4.7%,1653,3.8%,100,9.4%,20,9.0%,21
NHOPI,1330,2.8%,74,4.8%,138,7.0%,4,1.0%,1109,2.6%,117,11.0%,15,6.8%,22
Multiple,3799,8.0%,75,4.9%,91,4.6%,13,3.2%,3590,8.3%,68,6.4%,7,3.2%,23
Other,6052,12.7%,40,2.6%,55,2.8%,16,3.9%,5816,13.5%,46,4.3%,4,1.8%,24
UI Race,8664,18.2%,0,0.0%,0,0.0%,0,0.0%,8664,20.1%,63,5.9%,0,0.0%,25
Unknown Race,484,1.0%,91,5.9%,160,8.2%,37,9.1%,0,0.0%,9,0.8%,1,0.5%,26
