Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30786,52.0%,1015,51.9%,1263,50.6%,247,52.9%,27813,52.1%,732,55.1%,183,59.4%,1
Female,28357,47.9%,939,48.1%,1231,49.4%,220,47.1%,25560,47.9%,597,44.9%,125,40.6%,2
Unknown Sex,22,0.0%,0,0.0%,0,0.0%,0,0.0%,22,0.0%,0,0.0%,0,0.0%,3
<10 Years,4082,6.9%,50,2.6%,199,8.0%,16,3.4%,3782,7.1%,14,1.1%,0,0.0%,4
10-19 Years,7425,12.5%,179,9.2%,301,12.1%,65,13.9%,6784,12.7%,11,0.8%,0,0.0%,5
20-29 Years,12066,20.4%,498,25.5%,570,22.9%,82,17.6%,10744,20.1%,53,4.0%,3,1.0%,6
30-39 Years,11220,19.0%,337,17.2%,414,16.6%,87,18.6%,10239,19.2%,107,8.1%,6,1.9%,7
40-49 Years,8132,13.7%,285,14.6%,304,12.2%,72,15.4%,7366,13.8%,129,9.7%,12,3.9%,8
50-59 Years,7635,12.9%,241,12.3%,324,13.0%,61,13.1%,6908,12.9%,220,16.6%,20,6.5%,9
60-69 Years,5335,9.0%,207,10.6%,179,7.2%,57,12.2%,4780,9.0%,300,22.6%,60,19.5%,10
70-79 Years,2304,3.9%,101,5.2%,115,4.6%,25,5.4%,2005,3.8%,284,21.4%,95,30.8%,11
80+ Years,966,1.6%,56,2.9%,88,3.5%,2,0.4%,787,1.5%,211,15.9%,112,36.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3165,5.3%,138,7.1%,213,8.5%,50,10.7%,2735,5.1%,69,5.2%,13,4.2%,14
Non-Hispanic,32233,54.5%,1558,79.7%,1920,77.0%,358,76.7%,28056,52.5%,1021,76.8%,289,93.8%,15
UI Ethnicity,22604,38.2%,0,0.0%,0,0.0%,0,0.0%,22604,42.3%,219,16.5%,4,1.3%,16
Unknown Ethnicity,1163,2.0%,258,13.2%,361,14.5%,59,12.6%,0,0.0%,20,1.5%,2,0.6%,17
White,19579,33.1%,836,42.8%,1016,40.7%,284,60.8%,17219,32.2%,467,35.1%,130,42.2%,18
Black,1471,2.5%,96,4.9%,127,5.1%,21,4.5%,1210,2.3%,48,3.6%,10,3.2%,19
AI/AN,12704,21.5%,608,31.1%,671,26.9%,60,12.8%,11195,21.0%,362,27.2%,113,36.7%,20
Asian,2398,4.1%,90,4.6%,161,6.5%,20,4.3%,2099,3.9%,117,8.8%,30,9.7%,21
NHOPI,1578,2.7%,80,4.1%,154,6.2%,4,0.9%,1331,2.5%,130,9.8%,17,5.5%,22
Multiple,4571,7.7%,87,4.5%,105,4.2%,17,3.6%,4328,8.1%,71,5.3%,5,1.6%,23
Other,7108,12.0%,56,2.9%,71,2.8%,18,3.9%,6822,12.8%,57,4.3%,1,0.3%,24
UI Race,9191,15.5%,0,0.0%,0,0.0%,0,0.0%,9191,17.2%,68,5.1%,1,0.3%,25
Unknown Race,565,1.0%,101,5.2%,189,7.6%,43,9.2%,0,0.0%,9,0.7%,1,0.3%,26
