,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=783,962",,"N=118,960",,"N=9,431",,"N=2,613",,"N=312,122",,"N=198,869",,"N=498,575",
0-4,25610,3%,2719,2%,78,1%,<5,--,0,0%,0,0%,0,0%
5-9,33691,4%,3390,3%,24,<1%,0,0%,0,0%,0,0%,0,0%
10-14,35058,4%,4334,4%,35,<1%,<5,--,<5,--,0,0%,<5,--
15-18,40237,5%,5851,5%,63,1%,0,0%,1381,<1%,552,<1%,1885,<1%
19-24,84233,11%,14009,12%,241,3%,<5,--,10257,3%,6117,3%,15873,3%
25-29,65554,8%,10590,9%,301,3%,<5,--,11856,4%,7747,4%,19125,4%
30-39,116981,15%,18609,16%,583,6%,11,<1%,28003,9%,17247,9%,43931,9%
40-49,95534,12%,15899,13%,814,9%,33,1%,31038,10%,18191,9%,47526,10%
50-59,111873,14%,17653,15%,1347,14%,115,4%,46781,15%,25726,13%,68830,14%
60-69,93166,12%,12683,11%,1820,19%,311,12%,82559,26%,46915,24%,125980,25%
70-79,50010,6%,6677,6%,1934,21%,594,23%,64058,21%,46917,24%,110127,22%
80-89,21945,3%,4192,4%,1509,16%,832,32%,27793,9%,22446,11%,49995,10%
90+,8939,1%,2351,2%,677,7%,707,27%,8391,3%,7011,4%,15298,3%
Pending further information,1131,--,<5,--,5,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,58141,16%,30865,30%,1983,26%,217,10%,26069,9%,14749,8%,38965,9%
American Indian or Alaska Native*,4820,1%,312,<1%,25,<1%,<5,--,834,<1%,483,<1%,1283,<1%
Asian*,9439,3%,2344,2%,174,2%,42,2%,5477,2%,3174,2%,8397,2%
Black or African American*,19512,6%,7674,7%,631,8%,107,5%,10127,4%,6337,4%,15895,4%
Native Hawaiian or Other Pacific Islander*,544,<1%,0,0%,0,0%,0,0%,435,<1%,269,<1%,692,<1%
White*,235939,67%,59184,57%,4598,60%,1879,84%,224958,80%,143853,81%,360602,81%
Other race*,21085,6%,2299,2%,204,3%,<5,--,13928,5%,8554,5%,21819,5%
Multiple race*,4966,1%,1199,1%,49,1%,<5,--,--,--,--,--,--,--
Declined,10561,--,2447,--,100,--,0,--,0,--,0,--,0,--
Unknown or pending further information,418955,--,12636,--,1667,--,359,--,30294,--,21450,--,50922,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,361804,54%,61133,53%,4500,50%,1344,52%,184739,59%,120201,60%,297913,60%
Male,307450,46%,53716,47%,4516,50%,1264,48%,127100,41%,78511,40%,200241,40%
Other,196,<1%,161,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,114512,--,3950,--,401,--,<5,--,283,--,157,--,421,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,2923,5%,108,3%,--,--,--,--,--,--,--,--
No,--,--,59480,95%,3335,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,56557,--,5988,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,38663,53%,4707,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,33642,46%,4707,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,530,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,226,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,21427,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,24472,--,15,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,39,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,600,1%,8,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1074,2%,42,1%,--,--,--,--,--,--,--,--
Queer,--,--,126,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,62952,96%,3548,98%,--,--,--,--,--,--,--,--
Other,--,--,582,1%,18,<1%,--,--,--,--,--,--,--,--
Declined,--,--,26421,--,2211,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,27166,--,3598,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,3/31/2021,,,,,,,,,,,,,
