Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,31508,52.1%,1069,52.0%,1326,50.5%,261,52.0%,28386,52.2%,749,55.0%,184,59.5%,1
Female,28970,47.9%,986,48.0%,1302,49.5%,241,48.0%,26007,47.8%,613,45.0%,125,40.5%,2
Unknown Sex,13,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0.0%,0,0.0%,0,0.0%,3
<10 Years,4201,6.9%,59,2.9%,231,8.8%,18,3.6%,3852,7.1%,14,1.0%,0,0.0%,4
10-19 Years,7657,12.7%,200,9.7%,333,12.7%,66,13.1%,6959,12.8%,13,1.0%,0,0.0%,5
20-29 Years,12318,20.4%,521,25.4%,583,22.2%,85,16.9%,10953,20.1%,54,4.0%,3,1.0%,6
30-39 Years,11475,19.0%,357,17.4%,426,16.2%,88,17.5%,10456,19.2%,113,8.3%,6,1.9%,7
40-49 Years,8319,13.8%,292,14.2%,312,11.9%,77,15.3%,7525,13.8%,133,9.8%,12,3.9%,8
50-59 Years,7788,12.9%,254,12.4%,340,12.9%,66,13.1%,7024,12.9%,228,16.7%,20,6.5%,9
60-69 Years,5404,8.9%,213,10.4%,190,7.2%,65,12.9%,4813,8.8%,306,22.5%,61,19.7%,10
70-79 Years,2347,3.9%,103,5.0%,118,4.5%,33,6.6%,2032,3.7%,288,21.1%,95,30.7%,11
80+ Years,982,1.6%,56,2.7%,95,3.6%,4,0.8%,792,1.5%,213,15.6%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3197,5.3%,138,6.7%,216,8.2%,53,10.6%,2760,5.1%,71,5.2%,13,4.2%,14
Non-Hispanic,32726,54.1%,1644,80.0%,2038,77.5%,383,76.3%,28292,52.0%,1032,75.8%,290,93.9%,15
UI Ethnicity,23354,38.6%,0,0.0%,0,0.0%,0,0.0%,23354,42.9%,239,17.5%,4,1.3%,16
Unknown Ethnicity,1214,2.0%,273,13.3%,374,14.2%,66,13.1%,0,0.0%,20,1.5%,2,0.6%,17
White,19967,33.0%,862,41.9%,1048,39.9%,301,60.0%,17521,32.2%,479,35.2%,131,42.4%,18
Black,1494,2.5%,96,4.7%,131,5.0%,21,4.2%,1229,2.3%,50,3.7%,10,3.2%,19
AI/AN,12897,21.3%,678,33.0%,747,28.4%,71,14.1%,11204,20.6%,369,27.1%,113,36.6%,20
Asian,2438,4.0%,91,4.4%,163,6.2%,20,4.0%,2134,3.9%,119,8.7%,30,9.7%,21
NHOPI,1600,2.6%,80,3.9%,160,6.1%,4,0.8%,1347,2.5%,130,9.5%,17,5.5%,22
Multiple,4647,7.7%,88,4.3%,112,4.3%,19,3.8%,4393,8.1%,70,5.1%,5,1.6%,23
Other,7217,11.9%,56,2.7%,72,2.7%,19,3.8%,6929,12.7%,60,4.4%,1,0.3%,24
UI Race,9649,16.0%,0,0.0%,0,0.0%,0,0.0%,9649,17.7%,76,5.6%,1,0.3%,25
Unknown Race,582,1.0%,104,5.1%,195,7.4%,47,9.4%,0,0.0%,9,0.7%,1,0.3%,26
