ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,995,48.8%,194,50.0%,268,48.5%,94,54.3%,437,47.4%,60.0%,50.0%,63,9,366,49.7%
2,Female,1046,51.2%,194,50.0%,285,51.5%,79,45.7%,484,52.6%,40.0%,50.0%,42,9,371,50.3%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,96,4.7%,7,1.8%,35,6.3%,2,1.2%,52,5.6%,0.0%,0.0%,0,0,27,3.7%
5,10-19 Years,196,9.6%,32,8.2%,44,8.0%,18,10.4%,102,11.1%,1.0%,0.0%,1,0,64,8.7%
6,20-29 Years,498,24.4%,96,24.7%,125,22.6%,25,14.5%,250,27.1%,8.6%,0.0%,9,0,159,21.6%
7,30-39 Years,399,19.5%,74,19.1%,105,19.0%,35,20.2%,182,19.8%,10.5%,11.1%,11,2,151,20.5%
8,40-49 Years,283,13.9%,67,17.3%,69,12.5%,32,18.5%,115,12.5%,6.7%,0.0%,7,0,113,15.3%
9,50-59 Years,256,12.5%,53,13.7%,91,16.5%,24,13.9%,88,9.6%,21.0%,11.1%,22,2,104,14.1%
10,60-69 Years,188,9.2%,32,8.2%,54,9.8%,22,12.7%,79,8.6%,18.1%,11.1%,19,2,78,10.6%
11,70-79 Years,94,4.6%,21,5.4%,21,3.8%,14,8.1%,38,4.1%,24.8%,50.0%,26,9,34,4.6%
12,80+ Years,31,1.5%,6,1.5%,9,1.6%,1,0.6%,15,1.6%,9.5%,16.7%,10,3,7,0.9%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,117,5.7%,29,7.5%,50,9.0%,21,12.1%,17,1.8%,6.7%,0.0%,7,0,71,9.6%
15,Non-Hispanic,1022,50.1%,320,82.5%,433,78.3%,135,78.0%,130,14.1%,80.0%,100.0%,84,18,614,83.3%
16,Unknown Ethnicity,902,44.2%,39,10.1%,70,12.7%,17,9.8%,774,84.0%,13.3%,0.0%,14,0,52,7.1%
17,White,738,36.2%,209,53.9%,308,55.7%,125,72.3%,94,10.2%,44.8%,61.1%,47,11,458,62.1%
18,Black,48,2.4%,19,4.9%,9,1.6%,9,5.2%,10,1.1%,1.0%,0.0%,1,0,21,2.8%
19,AI/AN,269,13.2%,79,20.4%,80,14.5%,6,3.5%,103,11.2%,20.0%,22.2%,21,4,90,12.2%
20,Asian,67,3.3%,17,4.4%,43,7.8%,5,2.9%,2,0.2%,8.6%,11.1%,9,2,55,7.5%
21,NHOPI,69,3.4%,16,4.1%,28,5.1%,1,0.6%,24,2.6%,11.4%,5.6%,12,1,25,3.4%
22,Multiple,58,2.8%,18,4.6%,22,4.0%,7,4.0%,11,1.2%,0.0%,0.0%,0,0,33,4.5%
23,Other,38,1.9%,7,1.8%,14,2.5%,8,4.6%,9,1.0%,4.8%,0.0%,5,0,20,2.7%
24,Unknown Race,754,36.9%,23,5.9%,49,8.9%,12,6.9%,668,72.5%,9.5%,0.0%,10,0,35,4.7%
