Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29760,52.0%,964,51.8%,1179,51.2%,240,53.3%,26953,52.0%,695,55.2%,179,59.5%,1
Female,27443,48.0%,897,48.2%,1123,48.8%,210,46.7%,24838,47.9%,563,44.8%,122,40.5%,2
Unknown Sex,13,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0.0%,0,0.0%,0,0.0%,3
<10 Years,3918,6.8%,44,2.4%,167,7.3%,14,3.1%,3663,7.1%,12,1.0%,0,0.0%,4
10-19 Years,7086,12.4%,158,8.5%,273,11.9%,65,14.4%,6502,12.6%,9,0.7%,0,0.0%,5
20-29 Years,11685,20.4%,478,25.7%,547,23.8%,78,17.3%,10424,20.1%,50,4.0%,3,1.0%,6
30-39 Years,10860,19.0%,323,17.4%,388,16.9%,85,18.9%,9926,19.2%,100,7.9%,6,2.0%,7
40-49 Years,7883,13.8%,277,14.9%,275,11.9%,70,15.6%,7165,13.8%,119,9.5%,12,4.0%,8
50-59 Years,7367,12.9%,233,12.5%,290,12.6%,61,13.6%,6687,12.9%,206,16.4%,20,6.6%,9
60-69 Years,5198,9.1%,196,10.5%,166,7.2%,52,11.6%,4675,9.0%,275,21.9%,59,19.6%,10
70-79 Years,2264,4.0%,98,5.3%,110,4.8%,23,5.1%,1979,3.8%,279,22.2%,93,30.9%,11
80+ Years,955,1.7%,54,2.9%,86,3.7%,2,0.4%,783,1.5%,208,16.5%,108,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2870,5.0%,141,7.6%,201,8.7%,49,10.9%,2451,4.7%,66,5.2%,13,4.3%,14
Non-Hispanic,28622,50.0%,1466,78.8%,1774,77.1%,343,76.2%,24738,47.8%,945,75.1%,281,93.4%,15
UI Ethnicity,24615,43.0%,0,0.0%,0,0.0%,0,0.0%,24615,47.5%,228,18.1%,5,1.7%,16
Unknown Ethnicity,1109,1.9%,254,13.6%,327,14.2%,58,12.9%,0,0.0%,19,1.5%,2,0.7%,17
White,17531,30.6%,830,44.6%,968,42.1%,279,62.0%,15236,29.4%,425,33.8%,126,41.9%,18
Black,1386,2.4%,95,5.1%,120,5.2%,21,4.7%,1133,2.2%,45,3.6%,9,3.0%,19
AI/AN,12235,21.4%,522,28.0%,579,25.2%,52,11.6%,10951,21.1%,337,26.8%,111,36.9%,20
Asian,2241,3.9%,89,4.8%,137,6.0%,19,4.2%,1969,3.8%,116,9.2%,29,9.6%,21
NHOPI,1485,2.6%,80,4.3%,150,6.5%,4,0.9%,1242,2.4%,128,10.2%,17,5.6%,22
Multiple,4355,7.6%,86,4.6%,101,4.4%,15,3.3%,4122,8.0%,67,5.3%,5,1.7%,23
Other,6891,12.0%,58,3.1%,64,2.8%,18,4.0%,6613,12.8%,54,4.3%,1,0.3%,24
UI Race,10538,18.4%,0,0.0%,0,0.0%,0,0.0%,10538,20.3%,77,6.1%,2,0.7%,25
Unknown Race,554,1.0%,101,5.4%,183,7.9%,42,9.3%,0,0.0%,9,0.7%,1,0.3%,26
