Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4512,50.1%,550,52.7%,711,51.2%,165,51.9%,3043,49.2%,166,52.9%,39,65.0%,1,2524,50.0%
Female,4493,49.9%,493,47.3%,678,48.8%,153,48.1%,3137,50.8%,148,47.1%,21,35.0%,2,2524,50.0%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,474,5.3%,21,2.0%,90,6.5%,8,2.5%,352,5.7%,3,1.0%,0,0.0%,4,248,4.9%
10-19 Years,939,10.4%,89,8.5%,139,10.0%,45,14.2%,653,10.6%,2,0.6%,0,0.0%,5,532,10.5%
20-29 Years,2203,24.5%,291,27.9%,371,26.7%,55,17.3%,1468,23.8%,18,5.7%,0,0.0%,6,1222,24.2%
30-39 Years,1708,19.0%,200,19.2%,257,18.5%,65,20.4%,1171,18.9%,27,8.6%,2,3.3%,7,997,19.8%
40-49 Years,1209,13.4%,159,15.2%,167,12.0%,52,16.4%,818,13.2%,42,13.4%,4,6.7%,8,669,13.3%
50-59 Years,1154,12.8%,126,12.1%,188,13.5%,41,12.9%,797,12.9%,56,17.8%,6,10.0%,9,650,12.9%
60-69 Years,816,9.1%,107,10.3%,102,7.3%,32,10.1%,570,9.2%,63,20.1%,11,18.3%,10,473,9.4%
70-79 Years,357,4.0%,39,3.7%,47,3.4%,19,6.0%,249,4.0%,67,21.3%,23,38.3%,11,190,3.8%
80+ Years,145,1.6%,11,1.1%,28,2.0%,1,0.3%,102,1.7%,36,11.5%,14,23.3%,12,67,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,718,8.0%,86,8.2%,142,10.2%,34,10.7%,449,7.3%,19,6.1%,1,1.7%,14,520,10.3%
Non-Hispanic,5224,58.0%,794,76.1%,1020,73.4%,241,75.8%,3129,50.6%,249,79.3%,52,86.7%,15,3839,76.0%
UI Ethnicity,2602,28.9%,0,0.0%,0,0.0%,0,0.0%,2602,42.1%,29,9.2%,2,3.3%,16,415,8.2%
Unknown Ethnicity,461,5.1%,163,15.6%,227,16.3%,43,13.5%,0,0.0%,17,5.4%,5,8.3%,17,274,5.4%
White,3019,33.5%,441,42.3%,581,41.8%,195,61.3%,1782,28.8%,88,28.0%,24,40.0%,18,2242,44.4%
Black,389,4.3%,69,6.6%,96,6.9%,19,6.0%,201,3.3%,9,2.9%,2,3.3%,19,251,5.0%
AI/AN,2042,22.7%,281,26.9%,301,21.7%,31,9.7%,1408,22.8%,99,31.5%,21,35.0%,20,1090,21.6%
Asian,411,4.6%,38,3.6%,70,5.0%,16,5.0%,286,4.6%,23,7.3%,5,8.3%,21,270,5.3%
NHOPI,469,5.2%,64,6.1%,107,7.7%,3,0.9%,293,4.7%,51,16.2%,7,11.7%,22,342,6.8%
Multiple,387,4.3%,53,5.1%,54,3.9%,11,3.5%,266,4.3%,11,3.5%,0,0.0%,23,236,4.7%
Other,321,3.6%,24,2.3%,40,2.9%,12,3.8%,244,3.9%,11,3.5%,0,0.0%,24,168,3.3%
UI Race,1700,18.9%,0,0.0%,0,0.0%,0,0.0%,1700,27.5%,13,4.1%,0,0.0%,25,277,5.5%
Unknown Race,267,3.0%,73,7.0%,140,10.1%,31,9.7%,0,0.0%,9,2.9%,1,1.7%,26,172,3.4%
