Last updated: 6/1/2020,Cases,,Hospitalizations,,Deaths,
Sex,N=14508,,N=1724,,N=720,
Female,"8,018",56%,769,45%,383,53%
Male,"6,327",44%,925,55%,337,47%
Pending further information,163,--,30,--,0,--
Age Group,,,,,,
0-9,351,2%,8,<1%,0,0%
10-19,696,5%,12,1%,0,0%
20-29,"2,151",15%,61,4%,<5,--
30-39,"2,296",16%,121,7%,8,1%
40-49,"2,230",15%,197,11%,9,1%
50-59,"2,304",16%,289,17%,35,5%
60-69,"1,642",11%,363,21%,74,10%
70-79,1114,8%,336,20%,185,26%
80-89,1020,7%,233,14%,226,31%
90-99,656,5%,93,5%,171,24%
100+,48,<1%,<5,--,11,2%
Pending further information,0,--,7,--,0,--
Race and Ethnicity,,,,,,
Hispanic/Latinx (any race),"5,009",45%,439,33%,69,11%
Black (non-Hispanic or ethnicity unknown),1399,13%,153,11%,37,6%
White (non-Hispanic or ethnicity unknown),"4,052",36%,655,49%,507,82%
Other race (non-Hispanic or ethnicity unknown),416,4%,45,3%,7,1%
Multiple races (non-Hispanic or ethnicity unknown),287,3%,50,4%,0,0%
"Unknown, declined, or pending further information","3,345",--,382,--,100,--
Source: RIDOH,,,,,,
"-- Percentages for counts of less than five are not shown. Percentages do not include cases with unknown or declined demographics or those that are pending further information. COVID-19 cases and COVID-19 involved deaths exclude out of state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,
