Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34386,52.1%,1124,52.0%,1453,50.0%,286,52.6%,31007,52.2%,829,55.0%,207,60.3%,1
Female,31599,47.9%,1039,48.0%,1453,50.0%,258,47.4%,28371,47.8%,679,45.0%,136,39.7%,2
Unknown Sex,19,0.0%,0,0.0%,0,0.0%,0,0.0%,19,0.0%,0,0.0%,0,0.0%,3
<10 Years,4810,7.3%,69,3.2%,274,9.4%,18,3.3%,4403,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8600,13.0%,216,10.0%,386,13.3%,72,13.2%,7821,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13531,20.5%,537,24.8%,625,21.5%,92,16.9%,12077,20.3%,62,4.1%,6,1.7%,6
30-39 Years,12450,18.9%,377,17.4%,471,16.2%,95,17.5%,11345,19.1%,121,8.0%,7,2.0%,7
40-49 Years,8984,13.6%,299,13.8%,341,11.7%,82,15.1%,8135,13.7%,153,10.1%,16,4.7%,8
50-59 Years,8365,12.7%,270,12.5%,358,12.3%,75,13.8%,7544,12.7%,264,17.5%,23,6.7%,9
60-69 Years,5759,8.7%,228,10.5%,216,7.4%,69,12.7%,5111,8.6%,337,22.3%,67,19.5%,10
70-79 Years,2481,3.8%,107,4.9%,133,4.6%,36,6.6%,2140,3.6%,316,21.0%,105,30.6%,11
80+ Years,1024,1.6%,60,2.8%,102,3.5%,5,0.9%,821,1.4%,224,14.9%,119,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3349,5.1%,138,6.4%,221,7.6%,57,10.5%,2898,4.9%,76,5.0%,16,4.7%,14
Non-Hispanic,34650,52.5%,1739,80.4%,2280,78.5%,412,75.7%,29806,50.2%,1124,74.5%,321,93.6%,15
UI Ethnicity,26693,40.4%,0,0.0%,0,0.0%,0,0.0%,26693,44.9%,286,19.0%,4,1.2%,16
Unknown Ethnicity,1312,2.0%,286,13.2%,405,13.9%,75,13.8%,0,0.0%,22,1.5%,2,0.6%,17
White,21819,33.1%,896,41.4%,1140,39.2%,322,59.2%,19193,32.3%,551,36.5%,152,44.3%,18
Black,1594,2.4%,98,4.5%,132,4.5%,22,4.0%,1324,2.2%,53,3.5%,10,2.9%,19
AI/AN,13736,20.8%,741,34.3%,896,30.8%,77,14.2%,11801,19.9%,388,25.7%,120,35.0%,20
Asian,2529,3.8%,94,4.3%,171,5.9%,25,4.6%,2208,3.7%,125,8.3%,33,9.6%,21
NHOPI,1698,2.6%,81,3.7%,161,5.5%,4,0.7%,1443,2.4%,136,9.0%,20,5.8%,22
Multiple,4957,7.5%,89,4.1%,126,4.3%,22,4.0%,4679,7.9%,79,5.2%,6,1.7%,23
Other,7646,11.6%,56,2.6%,75,2.6%,21,3.9%,7352,12.4%,70,4.6%,1,0.3%,24
UI Race,11397,17.3%,0,0.0%,0,0.0%,0,0.0%,11397,19.2%,97,6.4%,0,0.0%,25
Unknown Race,628,1.0%,108,5.0%,205,7.1%,51,9.4%,0,0.0%,9,0.6%,1,0.3%,26
