Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27403,51.9%,882,51.9%,1085,51.5%,227,52.9%,24824,51.9%,652,55.1%,168,60.6%,1
Female,25367,48.1%,816,48.1%,1022,48.5%,202,47.1%,22985,48.1%,531,44.9%,109,39.4%,2
Unknown Sex,5,0.0%,0,0.0%,0,0.0%,0,0.0%,5,0.0%,0,0.0%,0,0.0%,3
<10 Years,3468,6.6%,38,2.2%,151,7.2%,14,3.3%,3240,6.8%,10,0.8%,0,0.0%,4
10-19 Years,6325,12.0%,145,8.5%,257,12.2%,63,14.7%,5785,12.1%,9,0.8%,0,0.0%,5
20-29 Years,10944,20.7%,449,26.4%,510,24.2%,73,17.0%,9765,20.4%,52,4.4%,3,1.1%,6
30-39 Years,10039,19.0%,293,17.3%,364,17.3%,81,18.9%,9168,19.2%,92,7.8%,6,2.2%,7
40-49 Years,7281,13.8%,250,14.7%,256,12.1%,68,15.9%,6619,13.8%,109,9.2%,11,4.0%,8
50-59 Years,6824,12.9%,212,12.5%,263,12.5%,59,13.8%,6205,13.0%,194,16.4%,21,7.6%,9
60-69 Years,4859,9.2%,179,10.5%,152,7.2%,48,11.2%,4381,9.2%,262,22.1%,54,19.5%,10
70-79 Years,2132,4.0%,86,5.1%,91,4.3%,21,4.9%,1884,3.9%,265,22.4%,86,31.0%,11
80+ Years,903,1.7%,46,2.7%,63,3.0%,2,0.5%,767,1.6%,190,16.1%,96,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2791,5.3%,127,7.5%,187,8.9%,44,10.3%,2406,5.0%,62,5.2%,12,4.3%,14
Non-Hispanic,27338,51.8%,1343,79.1%,1624,77.1%,329,76.7%,23776,49.7%,896,75.7%,258,93.1%,15
UI Ethnicity,21632,41.0%,0,0.0%,0,0.0%,0,0.0%,21632,45.2%,206,17.4%,7,2.5%,16
Unknown Ethnicity,1014,1.9%,228,13.4%,296,14.0%,56,13.1%,0,0.0%,19,1.6%,0,0.0%,17
White,16299,30.9%,746,43.9%,885,42.0%,265,61.8%,14207,29.7%,392,33.1%,114,41.2%,18
Black,1320,2.5%,94,5.5%,116,5.5%,21,4.9%,1074,2.2%,46,3.9%,9,3.2%,19
AI/AN,11456,21.7%,480,28.3%,543,25.8%,51,11.9%,10266,21.5%,320,27.0%,103,37.2%,20
Asian,2089,4.0%,81,4.8%,103,4.9%,19,4.4%,1862,3.9%,112,9.5%,29,10.5%,21
NHOPI,1418,2.7%,79,4.7%,141,6.7%,4,0.9%,1188,2.5%,121,10.2%,16,5.8%,22
Multiple,4110,7.8%,79,4.7%,95,4.5%,14,3.3%,3891,8.1%,68,5.7%,4,1.4%,23
Other,6516,12.3%,46,2.7%,56,2.7%,16,3.7%,6268,13.1%,50,4.2%,1,0.4%,24
UI Race,9058,17.2%,0,0.0%,0,0.0%,0,0.0%,9058,18.9%,66,5.6%,1,0.4%,25
Unknown Race,509,1.0%,93,5.5%,168,8.0%,39,9.1%,0,0.0%,8,0.7%,0,0.0%,26
