Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,4342,50.4%,515,52.9%,661,50.8%,147,50.7%,2984,49.9%,164,54.5%,38,65.5%,1,2429,50.0%
Female,4271,49.6%,459,47.1%,640,49.2%,143,49.3%,3000,50.1%,137,45.5%,20,34.5%,2,2427,50.0%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,440,5.1%,17,1.7%,80,6.1%,8,2.8%,334,5.6%,3,1.0%,0,0.0%,4,243,5.0%
10-19 Years,889,10.3%,80,8.2%,131,10.1%,42,14.5%,623,10.4%,2,0.7%,0,0.0%,5,513,10.6%
20-29 Years,2125,24.7%,274,28.1%,351,27.0%,53,18.3%,1433,23.9%,17,5.6%,0,0.0%,6,1186,24.4%
30-39 Years,1633,19.0%,193,19.8%,241,18.5%,57,19.7%,1130,18.9%,26,8.6%,2,3.4%,7,959,19.7%
40-49 Years,1160,13.5%,150,15.4%,151,11.6%,46,15.9%,800,13.4%,41,13.6%,4,6.9%,8,640,13.2%
50-59 Years,1114,12.9%,115,11.8%,177,13.6%,37,12.8%,784,13.1%,54,17.9%,6,10.3%,9,622,12.8%
60-69 Years,775,9.0%,99,10.2%,95,7.3%,29,10.0%,548,9.2%,58,19.3%,11,19.0%,10,448,9.2%
70-79 Years,335,3.9%,36,3.7%,47,3.6%,17,5.9%,232,3.9%,64,21.3%,21,36.2%,11,184,3.8%
80+ Years,142,1.6%,10,1.0%,28,2.2%,1,0.3%,100,1.7%,36,12.0%,14,24.1%,12,61,1.3%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,699,8.1%,83,8.5%,132,10.1%,30,10.3%,447,7.5%,19,6.3%,1,1.7%,14,504,10.4%
Non-Hispanic,4968,57.7%,747,76.7%,967,74.3%,218,75.2%,3000,50.1%,238,79.1%,51,87.9%,15,3675,75.7%
UI Ethnicity,2537,29.5%,0,0.0%,0,0.0%,0,0.0%,2537,42.4%,29,9.6%,1,1.7%,16,425,8.8%
Unknown Ethnicity,409,4.7%,144,14.8%,202,15.5%,42,14.5%,0,0.0%,15,5.0%,5,8.6%,17,252,5.2%
White,2893,33.6%,416,42.7%,556,42.7%,187,64.5%,1715,28.7%,84,27.9%,23,39.7%,18,2161,44.5%
Black,376,4.4%,66,6.8%,94,7.2%,18,6.2%,194,3.2%,8,2.7%,2,3.4%,19,246,5.1%
AI/AN,1904,22.1%,251,25.8%,269,20.7%,21,7.2%,1346,22.5%,93,30.9%,21,36.2%,20,1027,21.1%
Asian,392,4.6%,35,3.6%,63,4.8%,9,3.1%,283,4.7%,22,7.3%,4,6.9%,21,262,5.4%
NHOPI,448,5.2%,62,6.4%,100,7.7%,3,1.0%,282,4.7%,51,16.9%,7,12.1%,22,327,6.7%
Multiple,362,4.2%,51,5.2%,50,3.8%,10,3.4%,248,4.1%,11,3.7%,0,0.0%,23,227,4.7%
Other,308,3.6%,23,2.4%,37,2.8%,12,4.1%,235,3.9%,11,3.7%,0,0.0%,24,163,3.4%
UI Race,1681,19.5%,0,0.0%,0,0.0%,0,0.0%,1681,28.1%,13,4.3%,0,0.0%,25,278,5.7%
Unknown Race,249,2.9%,70,7.2%,132,10.1%,30,10.3%,0,0.0%,8,2.7%,1,1.7%,26,165,3.4%
