Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,22970,52.2%,756,52.4%,959,51.2%,199,52.8%,20756,52.2%,527,54.3%,122,61.3%,1
Female,21003,47.7%,687,47.6%,913,48.8%,178,47.2%,18964,47.7%,443,45.6%,77,38.7%,2
Unknown Sex,17,0.0%,0,0.0%,0,0.0%,0,0.0%,17,0.0%,1,0.1%,0,0.0%,3
<10 Years,2724,6.2%,30,2.1%,124,6.6%,9,2.4%,2547,6.4%,9,0.9%,0,0.0%,4
10-19 Years,5125,11.7%,122,8.5%,212,11.3%,56,14.9%,4668,11.7%,8,0.8%,0,0.0%,5
20-29 Years,9029,20.5%,404,28.0%,477,25.5%,62,16.4%,7971,20.1%,46,4.7%,3,1.5%,6
30-39 Years,8505,19.3%,260,18.0%,331,17.7%,78,20.7%,7727,19.4%,84,8.7%,5,2.5%,7
40-49 Years,6196,14.1%,218,15.1%,235,12.6%,58,15.4%,5613,14.1%,89,9.2%,8,4.0%,8
50-59 Years,5704,13.0%,177,12.3%,242,12.9%,50,13.3%,5173,13.0%,155,16.0%,13,6.5%,9
60-69 Years,4111,9.3%,150,10.4%,138,7.4%,40,10.6%,3708,9.3%,218,22.5%,40,20.1%,10
70-79 Years,1827,4.2%,56,3.9%,72,3.8%,22,5.8%,1644,4.1%,211,21.7%,60,30.2%,11
80+ Years,769,1.7%,26,1.8%,41,2.2%,2,0.5%,686,1.7%,151,15.6%,70,35.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2414,5.5%,115,8.0%,175,9.3%,41,10.9%,2059,5.2%,47,4.8%,6,3.0%,14
Non-Hispanic,22837,51.9%,1124,77.9%,1427,76.2%,288,76.4%,19834,49.9%,718,73.9%,165,82.9%,15
UI Ethnicity,17844,40.6%,0,0.0%,0,0.0%,0,0.0%,17844,44.9%,186,19.2%,17,8.5%,16
Unknown Ethnicity,895,2.0%,204,14.1%,270,14.4%,48,12.7%,0,0.0%,20,2.1%,11,5.5%,17
White,13749,31.3%,654,45.3%,797,42.6%,226,59.9%,11947,30.1%,311,32.0%,73,36.7%,18
Black,1163,2.6%,91,6.3%,116,6.2%,21,5.6%,923,2.3%,38,3.9%,8,4.0%,19
AI/AN,8885,20.2%,354,24.5%,427,22.8%,44,11.7%,7986,20.1%,255,26.3%,74,37.2%,20
Asian,1791,4.1%,74,5.1%,97,5.2%,18,4.8%,1586,4.0%,90,9.3%,19,9.5%,21
NHOPI,1282,2.9%,73,5.1%,134,7.2%,4,1.1%,1067,2.7%,108,11.1%,11,5.5%,22
Multiple,3512,8.0%,72,5.0%,91,4.9%,13,3.4%,3306,8.3%,65,6.7%,5,2.5%,23
Other,5658,12.9%,37,2.6%,50,2.7%,16,4.2%,5432,13.7%,45,4.6%,3,1.5%,24
UI Race,7490,17.0%,0,0.0%,0,0.0%,0,0.0%,7490,18.8%,51,5.3%,5,2.5%,25
Unknown Race,460,1.0%,88,6.1%,160,8.5%,35,9.3%,0,0.0%,8,0.8%,1,0.5%,26
