ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1689,49.0%,269,48.5%,375,48.3%,111,54.1%,916,48.7%,59.9%,64.0%,82,16,496,48.8%
2,Female,1760,51.0%,286,51.5%,401,51.7%,94,45.9%,965,51.3%,40.1%,36.0%,55,9,521,51.2%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,165,4.8%,9,1.6%,49,6.3%,3,1.5%,104,5.5%,0.0%,0.0%,0,0,42,4.1%
5,10-19 Years,357,10.4%,46,8.3%,69,8.9%,21,10.2%,213,11.3%,0.7%,0.0%,1,0,95,9.3%
6,20-29 Years,851,24.7%,142,25.6%,199,25.6%,33,16.1%,468,24.9%,6.6%,0.0%,9,0,234,23.0%
7,30-39 Years,653,18.9%,115,20.7%,148,19.1%,43,21.0%,342,18.2%,10.9%,8.0%,15,2,213,20.9%
8,40-49 Years,471,13.7%,88,15.9%,91,11.7%,37,18.0%,249,13.2%,8.8%,4.0%,12,1,144,14.2%
9,50-59 Years,438,12.7%,70,12.6%,115,14.8%,28,13.7%,224,11.9%,19.0%,12.0%,26,3,138,13.6%
10,60-69 Years,318,9.2%,50,9.0%,68,8.8%,25,12.2%,173,9.2%,19.0%,12.0%,26,3,105,10.3%
11,70-79 Years,146,4.2%,27,4.9%,25,3.2%,14,6.8%,80,4.3%,24.8%,48.0%,34,12,39,3.8%
12,80+ Years,50,1.4%,8,1.4%,12,1.5%,1,0.5%,28,1.5%,10.2%,16.0%,14,4,7,0.7%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,181,5.2%,44,7.9%,72,9.3%,25,12.2%,38,2.0%,5.8%,0.0%,8,0,105,10.3%
15,Non-Hispanic,1411,40.9%,434,78.2%,554,71.4%,151,73.7%,259,13.8%,79.6%,100.0%,109,25,808,79.4%
16,UI Ethnicity,1584,45.9%,0,0.0%,0,0.0%,0,0.0%,1584,84.2%,10.9%,0.0%,15,0,1,0.1%
17,Unknown Ethnicity,273,7.9%,77,13.9%,150,19.3%,29,14.1%,0,0.0%,3.6%,0.0%,5,0,103,10.1%
18,White,944,27.4%,266,47.9%,359,46.3%,142,69.3%,173,9.2%,35.8%,44.0%,49,11,551,54.2%
19,Black,108,3.1%,36,6.5%,29,3.7%,13,6.3%,28,1.5%,2.9%,0.0%,4,0,47,4.6%
20,AI/AN,461,13.4%,123,22.2%,130,16.8%,9,4.4%,192,10.2%,26.3%,36.0%,36,9,160,15.7%
21,Asian,98,2.8%,21,3.8%,47,6.1%,8,3.9%,21,1.1%,8.0%,8.0%,11,2,64,6.3%
22,NHOPI,137,4.0%,31,5.6%,52,6.7%,1,0.5%,53,2.8%,15.3%,12.0%,21,3,45,4.4%
23,Multiple,101,2.9%,24,4.3%,33,4.3%,8,3.9%,35,1.9%,0.0%,0.0%,0,0,44,4.3%
24,Other,73,2.1%,9,1.6%,22,2.8%,9,4.4%,32,1.7%,2.9%,0.0%,4,0,31,3.0%
25,UI Race,1347,39.1%,0,0.0%,0,0.0%,0,0.0%,1347,71.6%,5.8%,0.0%,8,0,3,0.3%
26,Unknown Race,180,5.2%,45,8.1%,104,13.4%,15,7.3%,0,0.0%,2.9%,0.0%,4,0,72,7.1%
