Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3259,50.6%,431,51.6%,550,50.0%,138,51.3%,2109,50.4%,139,55.6%,27,61.4%,1,1065,48.5%
Female,3184,49.4%,404,48.4%,550,50.0%,131,48.7%,2073,49.6%,111,44.4%,17,38.6%,2,1133,51.5%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,313,4.9%,15,1.8%,67,6.1%,8,3.0%,222,5.3%,1,0.4%,0,0.0%,4,101,4.6%
10-19 Years,662,10.3%,69,8.3%,103,9.4%,39,14.5%,439,10.5%,1,0.4%,0,0.0%,5,252,11.5%
20-29 Years,1603,24.9%,215,25.7%,300,27.3%,51,19.0%,1023,24.5%,15,6.0%,0,0.0%,6,566,25.8%
30-39 Years,1222,19.0%,171,20.5%,205,18.6%,52,19.3%,783,18.7%,23,9.2%,2,4.5%,7,435,19.8%
40-49 Years,866,13.4%,135,16.2%,126,11.5%,41,15.2%,553,13.2%,33,13.2%,3,6.8%,8,289,13.1%
50-59 Years,831,12.9%,103,12.3%,146,13.3%,36,13.4%,545,13.0%,47,18.8%,4,9.1%,9,272,12.4%
60-69 Years,585,9.1%,81,9.7%,87,7.9%,26,9.7%,387,9.3%,48,19.2%,5,11.4%,10,183,8.3%
70-79 Years,258,4.0%,36,4.3%,39,3.5%,15,5.6%,167,4.0%,52,20.8%,17,38.6%,11,77,3.5%
80+ Years,104,1.6%,10,1.2%,27,2.5%,1,0.4%,64,1.5%,30,12.0%,13,29.5%,12,23,1.0%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,303,4.7%,62,7.4%,99,9.0%,26,9.7%,113,2.7%,13,5.2%,1,2.3%,14,157,7.1%
Non-Hispanic,2249,34.9%,600,71.9%,732,66.5%,185,68.8%,708,16.9%,184,73.6%,40,90.9%,15,1274,58.0%
UI Ethnicity,3362,52.2%,0,0.0%,0,0.0%,0,0.0%,3362,80.4%,38,15.2%,1,2.3%,16,454,20.7%
Unknown Ethnicity,530,8.2%,173,20.7%,269,24.5%,58,21.6%,0,0.0%,15,6.0%,2,4.5%,17,313,14.2%
White,1415,22.0%,340,40.7%,437,39.7%,171,63.6%,457,10.9%,72,28.8%,18,40.9%,18,826,37.6%
Black,210,3.3%,54,6.5%,65,5.9%,15,5.6%,72,1.7%,8,3.2%,0,0.0%,19,101,4.6%
AI/AN,1115,17.3%,193,23.1%,191,17.4%,15,5.6%,703,16.8%,70,28.0%,16,36.4%,20,316,14.4%
Asian,148,2.3%,31,3.7%,55,5.0%,9,3.3%,52,1.2%,15,6.0%,3,6.8%,21,86,3.9%
NHOPI,246,3.8%,56,6.7%,82,7.5%,2,0.7%,105,2.5%,43,17.2%,5,11.4%,22,119,5.4%
Multiple,221,3.4%,38,4.6%,41,3.7%,10,3.7%,131,3.1%,4,1.6%,0,0.0%,23,77,3.5%
Other,184,2.9%,17,2.0%,29,2.6%,10,3.7%,127,3.0%,7,2.8%,0,0.0%,24,56,2.5%
UI Race,2536,39.4%,0,0.0%,0,0.0%,0,0.0%,2536,60.6%,22,8.8%,1,2.3%,25,389,17.7%
Unknown Race,369,5.7%,106,12.7%,200,18.2%,37,13.8%,0,0.0%,9,3.6%,1,2.3%,26,228,10.4%
