,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=603,629",,"N=88,677",,"N=6,806",,"N=1,839",
0-4,17116,3%,1831,2%,52,1%,<5,--
5-9,21249,4%,2199,2%,16,<1%,0,0%
10-14,21969,4%,2968,3%,28,<1%,<5,--
15-18,29329,5%,3981,4%,43,1%,0,0%
19-24,68933,11%,9712,11%,168,2%,<5,--
25-29,52957,9%,8071,9%,201,3%,<5,--
30-39,92681,15%,14089,16%,422,6%,10,1%
40-49,74614,12%,12250,14%,601,9%,26,1%
50-59,87786,15%,13473,15%,964,14%,77,4%
60-69,72562,12%,9594,11%,1326,19%,218,12%
70-79,38705,6%,5092,6%,1385,20%,419,23%
80-89,17494,3%,3392,4%,1105,16%,585,32%
90+,7531,1%,2019,2%,494,7%,496,27%
Pending further information,703,--,6,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,44117,17%,24390,34%,1539,30%,164,10%
American Indian or Alaska Native*,4532,2%,184,<1%,11,<1%,<5,--
Asian*,6212,2%,1554,2%,110,2%,26,2%
Black or African American*,15042,6%,5819,8%,484,10%,88,6%
Native Hawaiian or Other Pacific Islander*,470,<1%,0,0%,0,0%,0,0%
White*,167950,66%,38145,53%,2816,55%,1319,83%
Other race*,17023,7%,1334,2%,99,2%,<5,--
Multiple race*,274,<1%,741,1%,24,<1%,<5,--
Declined,5416,--,1436,--,47,--,0,--
Unknown or pending further information,342593,--,15074,--,1676,--,238,--
Sex Assigned at Birth,,,,,,,,
Female,304097,54%,45941,54%,3258,49%,937,51%
Male,254125,46%,39622,46%,3336,50%,901,49%
Other,109,<1%,95,<1%,19,<1%,<5,--
Pending further information,45298,--,3019,--,193,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,1864,4%,58,3%,--,--
No,--,--,40713,96%,2041,97%,--,--
Unknown or pending,--,--,46100,--,4707,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,26475,54%,3384,50%,--,--
Cisgender man,--,--,22156,45%,3415,50%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,303,1%,0,0%,--,--
Other,--,--,139,<1%,<5,--,--,--
Declined,--,--,11797,--,0,--,--,--
Unknown or pending,--,--,27807,--,<5,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,22,<1%,<5,--,--,--
Bisexual,--,--,393,1%,<5,--,--,--
Lesbian or gay,--,--,698,2%,20,1%,--,--
Queer,--,--,81,<1%,<5,--,--,--
Straight,--,--,42191,96%,2122,99%,--,--
Other,--,--,375,1%,12,1%,--,--
Declined,--,--,15242,--,961,--,--,--
Unknown or pending,--,--,29675,--,3684,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,1/6/2021,,,,,,,
