Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,24651,52.1%,804,52.2%,1000,51.2%,218,53.7%,22303,52.1%,581,55.1%,134,61.2%,1
Female,22655,47.9%,736,47.8%,952,48.8%,188,46.3%,20495,47.9%,472,44.8%,85,38.8%,2
Unknown Sex,28,0.1%,0,0.0%,0,0.0%,0,0.0%,27,0.1%,1,0.1%,0,0.0%,3
<10 Years,3001,6.3%,32,2.1%,133,6.8%,13,3.2%,2801,6.5%,11,1.0%,0,0.0%,4
10-19 Years,5563,11.8%,133,8.6%,230,11.8%,60,14.8%,5071,11.8%,8,0.8%,0,0.0%,5
20-29 Years,9798,20.7%,419,27.2%,485,24.8%,65,16.0%,8700,20.3%,47,4.5%,3,1.4%,6
30-39 Years,9096,19.2%,273,17.7%,339,17.4%,81,20.0%,8290,19.4%,88,8.3%,5,2.3%,7
40-49 Years,6608,14.0%,228,14.8%,246,12.6%,64,15.8%,5994,14.0%,96,9.1%,8,3.7%,8
50-59 Years,6127,12.9%,192,12.5%,252,12.9%,53,13.1%,5561,13.0%,169,16.0%,15,6.8%,9
60-69 Years,4384,9.3%,161,10.5%,141,7.2%,45,11.1%,3958,9.2%,234,22.2%,41,18.7%,10
70-79 Years,1933,4.1%,65,4.2%,79,4.0%,23,5.7%,1731,4.0%,237,22.5%,68,31.1%,11
80+ Years,824,1.7%,37,2.4%,47,2.4%,2,0.5%,719,1.7%,164,15.6%,79,36.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2494,5.3%,120,7.8%,180,9.2%,42,10.3%,2127,5.0%,52,4.9%,9,4.1%,14
Non-Hispanic,23690,50.0%,1214,78.8%,1506,77.2%,312,76.8%,20460,47.8%,785,74.5%,205,93.6%,15
UI Ethnicity,20238,42.8%,0,0.0%,0,0.0%,0,0.0%,20238,47.3%,199,18.9%,3,1.4%,16
Unknown Ethnicity,912,1.9%,206,13.4%,266,13.6%,52,12.8%,0,0.0%,18,1.7%,2,0.9%,17
White,14337,30.3%,691,44.9%,833,42.7%,248,61.1%,12422,29.0%,339,32.2%,83,37.9%,18
Black,1212,2.6%,92,6.0%,116,5.9%,21,5.2%,970,2.3%,39,3.7%,9,4.1%,19
AI/AN,9765,20.6%,402,26.1%,459,23.5%,48,11.8%,8763,20.5%,277,26.3%,80,36.5%,20
Asian,1858,3.9%,75,4.9%,100,5.1%,19,4.7%,1648,3.8%,99,9.4%,20,9.1%,21
NHOPI,1326,2.8%,74,4.8%,138,7.1%,4,1.0%,1106,2.6%,117,11.1%,15,6.8%,22
Multiple,3774,8.0%,75,4.9%,91,4.7%,13,3.2%,3565,8.3%,68,6.5%,7,3.2%,23
Other,6001,12.7%,40,2.6%,55,2.8%,16,3.9%,5765,13.5%,45,4.3%,4,1.8%,24
UI Race,8586,18.1%,0,0.0%,0,0.0%,0,0.0%,8586,20.0%,61,5.8%,0,0.0%,25
Unknown Race,475,1.0%,91,5.9%,160,8.2%,37,9.1%,0,0.0%,9,0.9%,1,0.5%,26
