Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28601,52.0%,911,52.2%,1116,51.5%,235,53.7%,25931,52.0%,668,55.3%,173,60.5%,1
Female,26401,48.0%,834,47.8%,1053,48.5%,203,46.3%,23957,48.0%,539,44.7%,113,39.5%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3694,6.7%,39,2.2%,159,7.3%,14,3.2%,3452,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6696,12.2%,146,8.4%,262,12.1%,64,14.6%,6140,12.3%,9,0.7%,0,0.0%,5
20-29 Years,11314,20.6%,460,26.4%,523,24.1%,76,17.4%,10104,20.3%,49,4.1%,3,1.0%,6
30-39 Years,10431,19.0%,302,17.3%,372,17.2%,83,18.9%,9539,19.1%,94,7.8%,6,2.1%,7
40-49 Years,7579,13.8%,260,14.9%,262,12.1%,68,15.5%,6897,13.8%,114,9.4%,11,3.8%,8
50-59 Years,7099,12.9%,219,12.6%,268,12.4%,60,13.7%,6463,13.0%,196,16.2%,20,7.0%,9
60-69 Years,5046,9.2%,184,10.5%,159,7.3%,49,11.2%,4549,9.1%,266,22.0%,58,20.3%,10
70-79 Years,2215,4.0%,87,5.0%,94,4.3%,22,5.0%,1961,3.9%,269,22.3%,86,30.1%,11
80+ Years,935,1.7%,48,2.8%,70,3.2%,2,0.5%,790,1.6%,199,16.5%,102,35.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2830,5.1%,129,7.4%,194,8.9%,46,10.5%,2434,4.9%,62,5.1%,12,4.2%,14
Non-Hispanic,28010,50.9%,1378,79.0%,1672,77.1%,336,76.7%,24342,48.8%,909,75.3%,267,93.4%,15
UI Ethnicity,23119,42.0%,0,0.0%,0,0.0%,0,0.0%,23119,46.3%,216,17.9%,5,1.7%,16
Unknown Ethnicity,1050,1.9%,238,13.6%,303,14.0%,56,12.8%,0,0.0%,20,1.7%,2,0.7%,17
White,16844,30.6%,772,44.2%,903,41.6%,271,61.9%,14697,29.5%,400,33.1%,121,42.3%,18
Black,1359,2.5%,96,5.5%,117,5.4%,21,4.8%,1108,2.2%,46,3.8%,9,3.1%,19
AI/AN,11920,21.7%,490,28.1%,556,25.6%,52,11.9%,10700,21.4%,325,26.9%,104,36.4%,20
Asian,2180,4.0%,83,4.8%,121,5.6%,19,4.3%,1930,3.9%,116,9.6%,29,10.1%,21
NHOPI,1454,2.6%,79,4.5%,148,6.8%,4,0.9%,1214,2.4%,122,10.1%,16,5.6%,22
Multiple,4261,7.7%,80,4.6%,95,4.4%,15,3.4%,4039,8.1%,67,5.6%,4,1.4%,23
Other,6711,12.2%,49,2.8%,58,2.7%,16,3.7%,6452,12.9%,51,4.2%,1,0.3%,24
UI Race,9755,17.7%,0,0.0%,0,0.0%,0,0.0%,9755,19.6%,71,5.9%,1,0.3%,25
Unknown Race,525,1.0%,96,5.5%,171,7.9%,40,9.1%,0,0.0%,9,0.7%,1,0.3%,26
