ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,769,50.0%,153,49.5%,212,46.9%,82,55.4%,322,51.3%,57.5%,52.9%,50,9,308,49.7%
2,Female,769,50.0%,156,50.5%,240,53.1%,66,44.6%,305,48.6%,42.5%,47.1%,37,8,312,50.3%
3,Unknown Sex,1,0.1%,0,0.0%,0,0.0%,0,0.0%,1,0.2%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,62,4.0%,4,1.3%,24,5.3%,2,1.4%,32,5.1%,0.0%,0.0%,0,0,18,2.9%
5,10-19 Years,142,9.2%,22,7.1%,37,8.2%,11,7.4%,72,11.5%,1.1%,0.0%,1,0,47,7.6%
6,20-29 Years,354,23.0%,66,21.4%,98,21.7%,20,13.5%,170,27.1%,9.2%,0.0%,8,0,122,19.7%
7,30-39 Years,296,19.2%,61,19.7%,82,18.1%,29,19.6%,122,19.4%,9.2%,11.8%,8,2,125,20.2%
8,40-49 Years,229,14.9%,58,18.8%,62,13.7%,29,19.6%,80,12.7%,4.6%,0.0%,4,0,101,16.3%
9,50-59 Years,216,14.0%,45,14.6%,79,17.5%,21,14.2%,71,11.3%,21.8%,5.9%,19,1,100,16.1%
10,60-69 Years,144,9.4%,29,9.4%,45,10.0%,22,14.9%,48,7.6%,18.4%,11.8%,16,2,71,11.5%
11,70-79 Years,72,4.7%,19,6.1%,16,3.5%,13,8.8%,24,3.8%,27.6%,52.9%,24,9,29,4.7%
12,80+ Years,24,1.6%,5,1.6%,9,2.0%,1,0.7%,9,1.4%,8.0%,17.6%,7,3,7,1.1%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,88,5.7%,21,6.8%,38,8.4%,19,12.8%,10,1.6%,8.0%,0.0%,7,0,58,9.4%
15,Non-Hispanic,858,55.8%,260,84.1%,375,83.0%,119,80.4%,103,16.4%,80.5%,100.0%,70,17,527,85.0%
16,Unknown Ethnicity,593,38.5%,28,9.1%,39,8.6%,10,6.8%,515,82.0%,11.5%,0.0%,10,0,35,5.6%
17,White,636,41.3%,187,60.5%,265,58.6%,113,76.4%,70,11.1%,52.9%,64.7%,46,11,396,63.9%
18,Black,36,2.3%,14,4.5%,8,1.8%,7,4.7%,7,1.1%,1.1%,0.0%,1,0,18,2.9%
19,AI/AN,184,12.0%,52,16.8%,59,13.1%,2,1.4%,71,11.3%,18.4%,17.6%,16,3,66,10.6%
20,Asian,64,4.2%,15,4.9%,41,9.1%,5,3.4%,3,0.5%,9.2%,11.8%,8,2,55,8.9%
21,NHOPI,41,2.7%,10,3.2%,20,4.4%,1,0.7%,10,1.6%,8.0%,5.9%,7,1,17,2.7%
22,Multiple,43,2.8%,13,4.2%,17,3.8%,7,4.7%,6,1.0%,0.0%,0.0%,0,0,28,4.5%
23,Other,32,2.1%,4,1.3%,12,2.7%,8,5.4%,8,1.3%,4.6%,0.0%,4,0,17,2.7%
24,Unknown Race,503,32.7%,14,4.5%,30,6.6%,5,3.4%,453,72.1%,5.7%,0.0%,5,0,23,3.7%
