Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/08/2020,02/01/2020,07/04/2020,United States,All,Under 1 year,9,7174,67,2,14,88,
07/08/2020,02/01/2020,07/04/2020,United States,All,1-4 years,7,1361,48,2,40,93,
07/08/2020,02/01/2020,07/04/2020,United States,All,5-14 years,14,2081,68,3,46,125,
07/08/2020,02/01/2020,07/04/2020,United States,All,15-24 years,149,12958,257,48,51,405,
07/08/2020,02/01/2020,07/04/2020,United States,All,25-34 years,795,27384,966,356,149,1541,
07/08/2020,02/01/2020,07/04/2020,United States,All,35-44 years,2026,38899,2160,859,235,3537,
07/08/2020,02/01/2020,07/04/2020,United States,All,45-54 years,5650,73179,5695,2509,565,9300,
07/08/2020,02/01/2020,07/04/2020,United States,All,55-64 years,13808,170463,15724,6348,1207,24180,
07/08/2020,02/01/2020,07/04/2020,United States,All,65-74 years,23866,260514,27063,10981,1406,41127,
07/08/2020,02/01/2020,07/04/2020,United States,All,75-84 years,30369,322323,34418,13558,1436,52470,
07/08/2020,02/01/2020,07/04/2020,United States,All,85 years and over,38048,408622,39402,14957,1343,63672,
07/08/2020,02/01/2020,07/04/2020,United States,All,All Ages,114741,1324958,125868,49623,6492,196538,
07/08/2020,02/01/2020,07/04/2020,United States,Male,Under 1 year,5,4013,44,2,8,55,
07/08/2020,02/01/2020,07/04/2020,United States,Male,1-4 years,3,789,23,1,24,49,
07/08/2020,02/01/2020,07/04/2020,United States,Male,5-14 years,11,1256,33,3,19,60,
07/08/2020,02/01/2020,07/04/2020,United States,Male,15-24 years,95,9584,159,27,27,251,
07/08/2020,02/01/2020,07/04/2020,United States,Male,25-34 years,539,19209,605,243,76,968,
07/08/2020,02/01/2020,07/04/2020,United States,Male,35-44 years,1431,25526,1389,604,123,2320,
07/08/2020,02/01/2020,07/04/2020,United States,Male,45-54 years,3947,45956,3579,1764,333,6026,
07/08/2020,02/01/2020,07/04/2020,United States,Male,55-64 years,9109,104977,9590,4148,686,15093,
07/08/2020,02/01/2020,07/04/2020,United States,Male,65-74 years,14803,151179,16223,6830,783,24832,
07/08/2020,02/01/2020,07/04/2020,United States,Male,75-84 years,16542,167433,19175,7574,715,28748,
07/08/2020,02/01/2020,07/04/2020,United States,Male,85 years and over,14783,157410,17251,6342,547,26160,
07/08/2020,02/01/2020,07/04/2020,United States,Male,All ages,61268,687332,68071,27538,3341,104562,
07/08/2020,02/01/2020,07/04/2020,United States,Female,Under 1 year,4,3149,23,0,6,33,
07/08/2020,02/01/2020,07/04/2020,United States,Female,1-4 years,4,572,25,1,16,44,
07/08/2020,02/01/2020,07/04/2020,United States,Female,5-14 years,3,825,35,0,27,65,
07/08/2020,02/01/2020,07/04/2020,United States,Female,15-24 years,54,3373,98,21,24,154,
07/08/2020,02/01/2020,07/04/2020,United States,Female,25-34 years,256,8174,361,113,73,573,
07/08/2020,02/01/2020,07/04/2020,United States,Female,35-44 years,595,13371,771,255,112,1217,
07/08/2020,02/01/2020,07/04/2020,United States,Female,45-54 years,1703,27221,2116,745,232,3274,
07/08/2020,02/01/2020,07/04/2020,United States,Female,55-64 years,4699,65481,6133,2200,520,9085,
07/08/2020,02/01/2020,07/04/2020,United States,Female,65-74 years,9063,109328,10840,4151,623,16295,
07/08/2020,02/01/2020,07/04/2020,United States,Female,75-84 years,13826,154882,15242,5983,721,23721,
07/08/2020,02/01/2020,07/04/2020,United States,Female,85 years and over,23263,251192,22150,8614,796,37510,
07/08/2020,02/01/2020,07/04/2020,United States,Female,All ages,53470,637568,57794,22083,3150,91971,
07/08/2020,02/01/2020,07/04/2020,United States,Unknown,All ages,3,58,3,2,1,5,
07/08/2020,02/01/2020,07/04/2020,United States Total,All,All Ages,114741,1324958,125868,49623,6492,196538,
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,Under 1 year,0,74,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,1-4 years,0,16,0,0,0,0,
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,5-14 years,0,31,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,15-24 years,0,192,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,25-34 years,,340,,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,35-44 years,,491,27,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,45-54 years,43,888,44,11,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,55-64 years,72,2096,138,18,15,207,
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,65-74 years,137,2810,215,37,15,330,
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,75-84 years,137,2923,248,41,,351,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,85 years and over,109,2104,165,34,,246,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Male,All ages,511,11965,848,148,56,1266,
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,Under 1 year,0,47,0,0,0,0,
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,1-4 years,0,16,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,5-14 years,0,16,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,15-24 years,,69,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,25-34 years,,158,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,35-44 years,13,291,13,,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,45-54 years,27,605,33,,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,55-64 years,60,1383,127,14,,181,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,65-74 years,108,2154,144,35,12,229,
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,75-84 years,109,2883,200,42,,272,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,85 years and over,138,3574,189,39,,290,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alabama,Female,All ages,459,11196,715,140,39,1071,
07/08/2020,02/01/2020,07/04/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
07/08/2020,02/01/2020,07/04/2020,Alabama Total,All,All Ages,970,23161,1563,288,95,2337,
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,15-24 years,0,31,0,0,0,0,
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,25-34 years,0,41,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,35-44 years,0,40,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,45-54 years,0,73,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,55-64 years,0,177,10,0,0,10,
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,65-74 years,,212,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/08/2020,02/01/2020,07/04/2020,Alaska,Male,75-84 years,,235,12,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
