Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,19969,51.8%,744,52.5%,936,51.1%,196,52.7%,17847,51.7%,467,54.8%,96,61.1%,1
Female,18591,48.2%,673,47.5%,896,48.9%,176,47.3%,16623,48.2%,385,45.2%,61,38.9%,2
Unknown Sex,24,0.1%,0,0.0%,0,0.0%,0,0.0%,24,0.1%,0,0.0%,0,0.0%,3
<10 Years,2319,6.0%,30,2.1%,121,6.6%,9,2.4%,2148,6.2%,8,0.9%,0,0.0%,4
10-19 Years,4557,11.8%,121,8.5%,210,11.5%,55,14.8%,4111,11.9%,7,0.8%,0,0.0%,5
20-29 Years,7948,20.6%,403,28.4%,475,25.9%,62,16.7%,6912,20.0%,44,5.2%,2,1.3%,6
30-39 Years,7373,19.1%,260,18.3%,327,17.8%,77,20.7%,6615,19.2%,75,8.8%,5,3.2%,7
40-49 Years,5497,14.2%,215,15.2%,232,12.7%,58,15.6%,4928,14.3%,80,9.4%,7,4.5%,8
50-59 Years,4997,13.0%,175,12.4%,239,13.0%,49,13.2%,4482,13.0%,139,16.3%,10,6.4%,9
60-69 Years,3595,9.3%,144,10.2%,134,7.3%,39,10.5%,3218,9.3%,190,22.3%,31,19.7%,10
70-79 Years,1618,4.2%,52,3.7%,61,3.3%,22,5.9%,1457,4.2%,183,21.5%,47,29.9%,11
80+ Years,680,1.8%,17,1.2%,33,1.8%,1,0.3%,623,1.8%,126,14.8%,55,35.0%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1945,5.0%,113,8.0%,174,9.5%,39,10.5%,1601,4.6%,40,4.7%,4,2.5%,14
Non-Hispanic,18014,46.7%,1102,77.8%,1390,75.9%,286,76.9%,15126,43.9%,597,70.1%,124,79.0%,15
UI Ethnicity,17767,46.0%,0,0.0%,0,0.0%,0,0.0%,17767,51.5%,200,23.5%,26,16.6%,16
Unknown Ethnicity,858,2.2%,202,14.3%,268,14.6%,47,12.6%,0,0.0%,15,1.8%,3,1.9%,17
White,11209,29.1%,638,45.0%,781,42.6%,225,60.5%,9481,27.5%,262,30.8%,54,34.4%,18
Black,1007,2.6%,91,6.4%,115,6.3%,21,5.6%,772,2.2%,34,4.0%,7,4.5%,19
AI/AN,7793,20.2%,348,24.6%,409,22.3%,43,11.6%,6928,20.1%,226,26.5%,58,36.9%,20
Asian,1463,3.8%,72,5.1%,95,5.2%,18,4.8%,1272,3.7%,67,7.9%,15,9.6%,21
NHOPI,1106,2.9%,73,5.2%,133,7.3%,4,1.1%,893,2.6%,96,11.3%,10,6.4%,22
Multiple,2808,7.3%,71,5.0%,90,4.9%,13,3.5%,2607,7.6%,59,6.9%,6,3.8%,23
Other,4717,12.2%,36,2.5%,49,2.7%,15,4.0%,4501,13.0%,38,4.5%,3,1.9%,24
UI Race,8040,20.8%,0,0.0%,0,0.0%,0,0.0%,8040,23.3%,63,7.4%,4,2.5%,25
Unknown Race,441,1.1%,88,6.2%,160,8.7%,33,8.9%,0,0.0%,7,0.8%,0,0.0%,26
